title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"20th Century Video Almanac","","Region Not Set","","The Software Toolworks","","1993-01-01","1","No","Life Simulation","E - Everyone","An Encyclopedic look at the most important events of the century in over 100 Videos and 2000 Photos"
"3D Atlas","","Region Not Set","","EA Games","EA","1994-01-01","1","No","","E - Everyone","The World Isn't Flat. Why Should Your Atlas Be?

Multidimensional Imagery and Navigation
- 3D spinning globes
- Nine zoom levels of detail
- Thousands of satellite images
- 3D flights

Integrated Geographical Approach
- Environmental globe
- Physical globe
- Political globe

Interactive Multimedia Exhibits
- Satellite photos of major cities
- Dozens of video documentaries
- Time lapse photography
- Thousands of statistics

Examine our world in 3 different visual contexts - environmental, physical and political."
"3DO Action Pak","","Region Not Set","","The 3DO Company","","1995-01-01","1","No","Action","Not Rated","This is a four-game compilation pack that contains the following 3DO games:

    Slayer
    Shanghai: Triple-Threat
    Soccer Kid
    Dragon's Lair"
"3DO Buffet","","Region Not Set","","","","1995-04-27","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Game Guru","","Region Not Set","","","","1996-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Interactive Sampler 1","","Region Not Set","","","","1994-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Interactive Sampler 2","","Region Not Set","","","","1994-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Interactive Sampler 3","","Region Not Set","","","","1994-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Interactive Sampler 4","","Region Not Set","","","","1994-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3DO Maniac Pack","","Region Not Set","","Interplay Entertainment Corp.","","1995-01-01","1","No","Action | Adventure | Horror","Not Rated","This is a four-game compilation pack that contains the following 3DO games:

    Alone In The Dark
    Battle Chess
    Out Of This World
    Way Of The Warrior"
"Advanced Dungeons & Dragons: DeathKeep","","Region Not Set","","Strategic Simulations, Inc.","Lion Entertainment","1995-11-01","1","No","Action | Role-Playing","T - Teen","Deathkeep is a first-person perspective single-player role-playing game with a touch of medieval AD&D gameplay in a full 3D environment.

Apparently, another hero is stuck in an underground cavern crawling with monsters. This time they have to defeat an evil Necromancer located somewhere in the lower levels. To get to him they have to fight through 25 dungeons (each 8 floors) filled with horrific monsters who never heard of dental care.

Three different characters can be chosen as the hero:
1. Dwarven male Fighter
2. Half-Elven male Fighter
3. Elven female Mage

These classes offer different combat capabilities:
The Dwarven Fighter focuses more on melee close combat with minimal (ax-throwing) ranged and almost no magical capabilities.
The Half-elven Fighter, or more precisely Ranger, focuses on non-magical ranged combat with his favorite bow. Possesses medium melee combat capabilities and some magical capabilities.
The Elven Mage focuses all her might in magical offense and defense. Spells may be found or learned as experience grows. Don't get too close to the enemy since a walking stick doesn't do much damage to bloodthirsty monsters!
Gameplay consists mostly of adventuring and flattening every living and non-living creature in your way. Destroying monsters allows the character to level up and become more powerful as well as gain new spells. The dungeons are filled with traps, streams, caverns, ledges, and every possible obstacle to cause the player to lose their way in this maze of mazes."
"Advanced Dungeons & Dragons: Slayer","","Region Not Set","","Strategic Designs Ltd.","Lion Entertainment","1994-01-01","1","No","Action | Role-Playing","Not Rated","Slayer is a first-person action RPG using the AD&D 2nd Edition license and rules. Choose from the usual assortment of AD&D character races and classes and venture into randomly generated dungeons, fighting monsters, and finding items. Dungeon parameters and difficulty are customizable."
"AI Shougi","","Region Not Set","","Taito Corporation","Taito Corporation","1995-09-14","1","No","Board","Not Rated","AI Shogi is a Miscellaneous game, developed and published by Taito Corporation, which was released in Japan in 1995."
"Akagi: Topaiten","","Region Not Set","","Micronet Co. Ltd.","Micronet Co. Ltd.","1996-01-13","1","No","Puzzle","E - Everyone","Akagi: Topaiten is a Board game, developed and published by Micronet, which was released in Japan in 1996."
"Alfred Hitchcock Presents","","Region Not Set","","","","1993-01-01","1","No","Action","Not Rated","Alfred Hitchcock Presents is a 3DO game that feeds of famous name of Alfred Hitchcock. Surprisingly though the game itself has little to do with a mystery/thriller theme we usually connect with master Hitchcock. The game is unoriginal take on the classic game Memory. You are overturning cards and try to match pairs. When you are successful, a clip of Alfred Hitchcock talking is revealed. Nothing more, nothing less. It was developed by Toyota, the car manufacturer. This leads me to believe the game was made somehow as a promotional effort but the connection is eluding me completely. Hitchcock, Toyota, Memory? It doesn’t make any sense! Maybe there is a hidden message that I cannot decipher as I do not speak Japanese or it is some sort of practical joke."
"Alone in the Dark","","Region Not Set","","Interplay Entertainment Corp.","Infogrames Europe SA","1994-08-03","1","No","Action | Adventure | Horror","Not Rated","Alone in the Dark is an action-adventure survival horror game. The action is displayed from a number of fixed viewpoints. The backgrounds are 2D painted images, while the player character, all items and monsters are rendered as 3D models.

To escape the mansion, you'll have to solve a number of puzzles. They usually involve finding an item and using it in a proper place. Apart from items necessary for the puzzles, you can also find books and documents that can be read, healing items which can be consumed to restore hit points, and weapons."
