title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"'88 Games","88 Games | Konami Games","Region Not Set","","Konami","Konami","1988-01-01","2","No","Sports","","Konami '88 (also known as '88 Games or Hyper Sports Special) is the third in the Track & Field game series by Konami, where you test your Olympic skills against other world-class athletes. As the name implies, it is loosely based on (and not licensed by) the 1988 Summer Olympics in Seoul, South Korea. Bronze or silver medals are not good enough - you have to go for the gold to get to the next event. However, you must at least qualify in each event in order to compete in the next event."
"'99 : The Last War","","Region Not Set","","Sega","Proma","1985-09-01","1","No","Shooter","","'99: The Last War is an Action game, published by Kyugo Boueki, which was released in 1985."
"005","","Region Not Set","","Sega","Sega","1981-12-01","2","No","Puzzle | Stealth","","005 is a 1981 arcade game by Sega, in which the player's mission is to take a briefcase of secret documents to a waiting helicopter. It is one of the first examples of a stealth game. The player controls a spy who must avoid the enemies as he makes his way through buildings and warehouses, where he will have to dodge the enemies' flashlights and use boxes as hiding spots."
"1 On 1 Government","","Region Not Set","","Tecmo","Tecmo","2000-01-01","2","No","Sports","","1 on 1 Government was produced by Tecmo in 2000"
"10-Yard Fight","","Region Not Set","","","","1983-01-01","2","No","Sports","","The game is viewed in a top-down perspective and is vertical scrolling. The player does not select plays for either offense or defense. On offense, the player simply receives the ball upon the snap and either attempt to run with the quarterback, toss the ball to a running back, or throw the ball to the one long distance receiver - basically the option offense. On defense, the player chooses one of two players to control, and the computer manipulates the others. The ball can also be punted or a field goal can be attempted.
10-Yard Fight has five levels of difficulty; from easiest to most difficult: high school, college, professional, playoff, and Super Bowl. If the player wins both halves of an ""accelerated real time"" 30-minute half at an easier level, the player advanced to the next level of difficulty, like a career mode."
"18 Wheeler: American Pro Trucker","","Region Not Set","","Sega","Sega","2001-11-11","","No","Action | Racing","","The main purpose is to make it to the finish line with your cargo within a given time.

There are special vehicles that you can ram into that will add three seconds to your time. They look like purple Chevy Astro Vans. After Stage 1, the game gives the player a choice of trailer. One trailer is harder to haul, but provides a bigger payoff while the other choice is easier to haul but provides a smaller payoff. Money is deducted from the total when the trailer is hit."
"1941: Counter Attack","1941","Region Not Set","","Capcom","Capcom","1990-02-01","2","Yes","Shooter","","The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). One is only able to perform three loops per level and a bonus is awarded at the end of the level for unused loops. Player 1 uses a P-38 Lightning and Player 2 uses a Mosquito Mk IV. The game shifts from the original Pacific Front setting with that of the Western Front.

The game consists of six levels.

It was the first shoot 'em up to add +1 to the score when a continue is used.[1]"
"1942","1942 (Romstar)","NTSC-U","United States of America","Romstar Incorporated","Capcom","1985-06-01","2","No","Action | Shooter","E - Everyone","1942 is a 1985 arcade video game developed by Capcom and released by Romstar in the USA on June 1, 1985.

The player pilots a Lockheed P-38 Lightning dubbed the ""Super Ace"". The player has to shoot down enemy planes and avoid enemy fire: a single hit on the plane or a collision with another aircraft causes the loss of one life. During the game, the player may collect a series of power-ups, one of them allowing the plane to be escorted by two other smaller fighters in a Tip Tow formation. Enemies included: Kawasaki Ki-61s, Mitsubishi A6M Zeros and Kawasaki Ki-48s. The boss plane is a Nakajima G10N.

The game has ""a special roll button that allows players to avoid dangerous situations by temporarily looping out of"" the playfield. In addition to the standard high score, it also has a separate percentage high score, recording the best ratio of enemy fighters to enemies shot down."
"1942","","NTSC-J","Japan","Capcom","Capcom","1984-12-01","2","No","Action | Shooter","E - Everyone","1942 is a 1984 arcade video game developed and released by Capcom in Japan on December 1, 1984."
"1942 (Williams Electronics)","","NTSC-U","United States of America","Williams Electronic Games, Inc.","Capcom","1985-03-01","2","No","Action | Shooter","E - Everyone","1942 is a 1985 arcade video game developed by Capcom and released by Williams Electronics in the USA on March 1, 1985."
