title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"2048 - Atari 7800 Edition","2048","NTSC-U","United States of America","AtariAge","AtariAge","2021-11-13","1","No","Puzzle | Unofficial","Not Rated","Make a 2048 tile!

The game is played on a 4 x 4 board and the player starts with two number 2 tiles. 
Each turn where the player makes a valid move, another number 2 tile is added to the game board (a valid move is moving the tiles, or combining tiles). If you try to move in such a way that no move is completed, a turn is not registered and no new number ""2"" is added to the board.
You make new tiles by combining the tiles already on the board. Combine 2 and 2 to make a 4, combine 4 and 4 to make an 8 and so on, combine a 1024 and 1024 to make a 2048.
Game over occurs when the board is full and you no longer have a valid move available (ie no way to move or combine tiles)."
"32 in 1","","Region Not Set","","Atari, Inc.","Atari","1988-01-01","2","No","Action","E - Everyone","PAL only release. Includes UFO, Fun with Numbers, Flag Capture, Golf, Adventure, Freeway rabbit, Football, Fishing, Boxing, Freeway Chicken, Combat, Skiing, Soccer, Skydiver, Basketball, Bowling, Human Cannonball, 3D Tic-Tac-Toe, Reversi (original name - othello), Surround, Blackjack, Miniaturer Golf, Slot Racers, Space War, Air-Sea Battle, Tennis, Slot Machine, Stampede, Fish Derby, Laser Blast, Ant Party  (original name - Cosmic Swarm) and Homerun. 

Selecting Games on the Atari 7800

1. Insert the 32 in 1 games cartridge.
2. Toggle the ON/OFF switch on the console between the ON and OFF positions. The 32 games will appear in sequential order.
3. Press the RESET button on the console to begin playing a game."
"3D Asteroids","","Region Not Set","","Atari, Inc.","Atari","1987-01-01","1","No","Shooter","E - Everyone","This is a pre-release prototype of Asteroids. Like the release version, this game title screen has a copyright date of 1984, but the rom file name indicates 1987. Apparently, this was another one of the projects halted when Jack Tramiel took over Atari."
"A.R.T.I.","Archaeological Rescue Team International","NTSC","United States of America","AtariAge","","2023-10-01","1","No","Adventure | Puzzle","Not Rated","No overview is currently available for this title, please feel free to add one."
"Ace of Aces","","Region Not Set","","Atari, Inc.","Artech Studios","1988-06-01","1","No","Flight Simulator","","Trump That Ace!

It's World War II and Britain's Royal Air Force is up to its neck in Axis attacks. As one of the RAF's most aggressive pilots, you're in on flying the most crucial missions to stall the enemy.

They attack by land, air, and sea. Your only allies are your DeHavilland Mosquito, your weapons, and your wits. Chase the Nazi bombers, sink the U-boats before they can dive, outrun the V-1 buzz bombs, and stop the POW trains from reaching the enemy lines.

Choose your ammunition and fuel wisely -- once you're on a mission, there's no turning back. To be an Ace, you need four enemy defeats. To be Ace of Aces, you've got to be the best!"
"Alien Brigade","","Region Not Set","","Atari, Inc.","Atari","1990-07-02","1","No","Action","","The Plutoid Alien Zombie force has infiltrated the Army. They look like soldiers but are actually Aliens from outer space.

You control a special task force to destroy the Aliens. As you shoot away at nasty enemies, you can earn powerful weapons, rescue hostages and most of all, stay alive. The challenge is there--beat the Aliens or you'll have to join them."
"Alpha Race","","Region Not Set","","","","2015-09-11","1","No","Action","Not Rated","Destroy the droid ships while avoiding space mines and strategically bouncing off the edge barriers. Alpha Race plays similar to Omega Race, except that Alpha Race has an actual race against the timer component that adds extra tension. Plus, after destroying all the enemies on a particular level, you must escape by flying into a warp gate before the new more aggressive opponent blasts you out of the sky!"
"Arkanoid","","Region Not Set","","","","2019-01-01","1","No","Action","Not Rated","The era and time of this story is unknown. After the mothership “Arkanoid” was destroyed, a spacecraft “Vaus” scrambled away from it. But only to be trapped in space warped by someone..."
"Armor Attack II","","Region Not Set","","AtariAge","Bob DeCrescenzo","2013-01-01","2","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Asteroids","","Region Not Set","","Atari, Inc.","Atari","1987-11-01","2","Yes","Action | Shooter","","Start blasting! It's your only way out of this cloud of hurtling astral bodies. Peripheral vision. Lightning reflexes. And cool control. That's what it takes to save your ship. And your life!

 - 8 waves of devastating asteroids.
 - For 1 or 2 players.
 - Competing player ships can appear on screen simultaneously."
