title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"1943: The Battle Of Midway","","NTSC","","","","2015-12-11","2","No","Shooter","E - Everyone","1943: The Battle Of Midway is an Atari ST port made playable on the Atari Jaguar."
"AirCars","","Region Not Set","","Midnight Software, Inc.","MidNite Software","1997-05-27","4","No","Shooter","E - Everyone","In the wake of a nuclear holocaust an organization known as E.B.N.E.R.S. was established with the goal of encouraging all mankind to live together in peace. E.B.N.E.R.S. membership included many members of the nuclear scientific community who wished that their work no longer be used for destructive purposes. The E.B.N.E.R.S. suggested that society should be structured to eliminate all possibility of hostility. This strutured society was deemed unrealistic in a free world and ridiculed. E.B.N.E.R.S. became known as a fringe organization of radical scientists trying to restructure society.

You will pilot an aircar which will be teleported into an E.B.N.E.R.S. complex. You will then proceed to destroy key installations within this complex. After these primary targets have been destroyed you will use the complex's teleportation system to get to the next base. We know there are at least 28 bases around the World. Each of these bases must be knocked out if the world is to be saved from the E.B.N.E.R.S. threat."
"Alien Syndrome","","NTSC","","","","2015-12-11","2","Yes","Action","E - Everyone","Alien Syndrome is an Atari ST port made playable on the Atari Jaguar"
"Alien vs. Predator","","Region Not Set","","Atari, Inc.","Rebellion","1994-10-20","1","No","Shooter","Not Rated","Choose your weapon and brawl with the notorious warriors of the big screen! Commission the Colonial Marine and use your weapons and your wits to destroy the base--and survive. Be an Alien and use your voracious instincts to defend the hive and rescure your Queen. Or play a Predator and use your grisly arsenal to acquire the ultimate trophy...the skull of the Alien Queen."
"Another World","","Region Not Set","","Retro-gaming Connexion","The Removers","2012-12-20","1","No","Action | Adventure | Platform","","Another World bridges the gap between Cinema and Action Adventure games with a completely new style of fluid, cinematic storytelling.

Following a freak accident, scientist Lester Chaykin materialises, dazed and confused in unfamiliar surroundings. This is not Earth. This is Another World. The fight for survival as begun."
"Ants","","NTSC","United States of America","","","1970-01-01","1","No","Action","Not Rated","Why spend hundreds of dollars on pest control? Why hire strange, overweight, smelly men with tanks on their backs to come into your home, squirting fowl smelling liquids all over your precious preciouses? THAT'S RIGHT! You have the power to stop your home infestation and free yourself from these ant invaders! JUST SQUISH THEM WITH YOUR FINGER! That's right, that same finger you just had crammed up your nose for the last 15 minutes! Put that picker to work and get to squishing!

Ants is a unique game about getting rid of common household pests using nothing but your finger. The game contains options designed to drastically change the gameplay depending on what options you select prior to play. Not all options will be available the first time you play. You will need to unlock all of the special options by achieving certain high scores throughout the game.

These special options include:
Bees on/off - turns bees off making the game appear easier, but adds a game timer for an extra challenge.
Finger Gun - turns your index finger into an imaginary gun that shoots REAL bullets to kill the ants with.
Big Bugs - makes normal ants much bigger making them easier to kill but also makes hostile bugs larger increasing the hazard difficulty
5XSPEED - speeds the entire game up to ludicrous speeds
Psychedelic Mode - makes the entire game a trippy experience!

Game contains 2 bosses!
Antzilla and Bossquito! See if you can beat them both"
"Asteroite","","NTSC-U","United States of America","Songbird Productions","?","2022-03-22","1","No","Action | Platform | Vehicle Simulation | Unofficial","T - Teen","Asteroite is a sci-fi action adventure that puts you in the role of a legendary bounty hunter exploring a strange alien world. Gain vital skills while navigating treacherous tunnels and abandoned factories. Look for clues as to what happened here, and challenge a seemingly endless swarm of foes. Discover advanced technology tubes to save your progress to EEPROM on the cartridge. Do you accept this challenge of wit, skill, and mind?"
"AstroStorm","","Region Not Set","","AtariAge","","2017-10-20","1","No","Shooter","Not Rated","Sometime in the future, aliens arrive.

A high quantity of large rocks have started raining from the sky causing devastation all around Earth. You must command the Earth Defense Craft to search our solar system and destroy any anomalous rocks or aliens before it's too late. Is this our last stand?"
"Atari Karts","","Region Not Set","","Atari, Inc.","Miracle Designs","1995-12-20","2","No","Racing","E - Everyone","A go-cart free for all! In Atari Karts you'll race around the track with some of the craziest creatures around. Watch out for the objects lying on the road. Some are bonuses that will help you get ahead, but those hazards can be nasty. They'll cause you to slow down or mess with your driving controls. Try to outdistance your competition and finish fourth or better to move on to the next course. Kids of all ages will love this game!"
"Attack of the Mutant Penguins","","Region Not Set","","Atari, Inc.","Sunrise Games","1996-03-01","1","No","Action | Puzzle","","In the distant galaxy of Bleurggh, an evil (but reasonably stupid) band of aliens picked up some of Earth's television signals. Unfortunately for them, they could only tune in a wildlife program. They figured the Earth would be a pushover to invade, so they disguised themselves as its inhabitants -- penguins! Word of the invasion has reached those champions of intergalactic do-goodery, Bernard and Rodney. Now, with their help, you must prevent the alien mutant penguins from triggering the Doomscale and destroying the Earth. Are you up to the challenge?"
"Badlands","","Region Not Set","","","","2017-01-01","2","No","Action | Racing","Not Rated","Badlands is effectively the spiritual successor to Atari's previous racing games Super Sprint and Championship Sprint. Similarly to the Sprint titles, Badlands pits three cars against each other in a three lap race around a small, single-screen circuit. Bonuses are present in the form of wrenches which can be traded for goods such as extra speed, extra acceleration or better tires

Unlike the Sprint games, Badlands expands upon the formula, taking place in a post-apocalyptic environment and equipping each of the players with cannons. In reality, the cannons do little except to slow cars down by repeatedly shooting at them, but the shop between levels offers the possibility of arming the car with missiles which will destroy the target car, placing it at a severe disadvantage as a replacement is brought onto the track, taking a few seconds.

The tracks also featured a number of new obstacles, including mines and retractable barricades."
"BattleSphere","","NTSC-U","United States of America","4Play/ScatoLogic","4Play/Scatologic","2000-02-29","32","Yes","Shooter","E10+ - Everyone 10+","BattleSphere is a 3D space combat simulator for the Atari Jaguar console by 4Play/ScatoLOGIC Inc., released in 2000. 
800 years in the future, the seven dominant races of the galaxy are at war. Stealing a plot idea from an ancient Star Trek episode, they have agreed to confine their hostilities to Sector 51, a spherical sector of space formerly used by the Earth government to secretly test new weapons and starships. Each race has sent its best soldiers and military hardware to participate in a tournament of space battles in this Battle Sphere. The race that wins the tournament will be given control of the galaxy."
"BattleSphere Gold","","NTSC-U","United States of America","4 Play","4Play/Scatologic","2002-03-15","1","No","Shooter | Flight Simulator","Not Rated","BattleSphere is a 3D space combat simulator for the Atari Jaguar console by 4Play/ScatoLOGIC Inc., released in 2000. Released after the Jaguar's demise, cartridge components and other supplies needed to manufacture the game were scarce, resulting in not enough copies to meet demand. A second edition of the game, with additional features and improvements, was released as BattleSphere Gold in 2002. Although Scatologic will not release sales figures, a few hundred copies are known to have been manufactured."
"Beast Busters","","NTSC","","","","2015-12-11","2","Yes","Shooter","E - Everyone","Beast Busters is an Atari ST port made playable on the Atari Jaguar."
"Bionic Commando","","NTSC","","","","2015-12-11","1","No","Action","E - Everyone","Bionic Commando is an Atari ST port made playable on the Atari Jaguar."
"Breakout 2000","","Region Not Set","","Telegames, Inc.","L4 Software","1996-12-01","2","No","Puzzle","E - Everyone","SMASH! POW! CRUNCH! Is your hand/eye coordination up to demolishing field after field of bricks? Breakout 2000 brings back the nostalgia of early gaming days but adds 90's challenges, such as a three-dimensional field and bricks that resist breaking, as well as many powerups and hazards. You can also test your skill against a buddy. Break through your own wall and start working on his. You'll gain bonus points, and he'll go nuts! Who ever said life was fair never played Breakout 2000."
"Brett Hull NHL Hockey","","Region Not Set","","Accolade, Inc.","Ringler Studios","2004-01-09","2","No","Sports | Unofficial","Not Rated","This is the unreleased Atari Jaguar port of Brett Hull Hockey, an ice hockey game that is played from a vertical perspective in a two-dimensional environment with sprites. Featuring NHL and NHLPA licensing and updated graphics and sound compared to the SNES original, this version was never commercially released."
"Brutal Sports Football","","NTSC","United States of America","Atari, Inc.","Millennium Interactive Ltd","1994-01-01","2","No","Fighting | Sports","Not Rated","Do you like action but reckon that chainsaw massacres are for grannies' tea parties? If you do then brutal sports football is for you, league, knockout or unfriendly tournaments.
This is an all action, crunch 'em, stamp 'em, no holds barred game of mutant football where heads roll and where injury time means just that.
FAQs, Guides, Cheats, and S"
"Bubsy in Fractured Furry Tales","","NTSC","","Accolade, Inc.","Imagitec Design Inc.","1994-01-01","1","No","Platform","E - Everyone","Only Bubsy can protect the world's kids from these silly stories and tangled-up tales as he leaps and bounds his way through 15 frantic chapters of fabulous furry fun. In Fairytaleland, Bubsy attends a twisted tea party, climbs a giant beanstalk, voyages under the sea (without getting his paws wet), head to Ali Baba's desert and even meets Hansel and Gretel, who should be up on kidnapping charges."
"Cannon Fodder","","Region Not Set","","Virgin Interactive Entertainment, Inc.","Sensible Software","1995-01-01","1","No","Action | Strategy","E - Everyone","""Don't wait 'til you see the whites of their eyes... Don't kid yourself it will be over by Christmas... Don't try to shut out the screams... And don't forget to wash your hand afterwards..."""
"Checkered Flag","","NTSC","United States of America","Atari Games","Rebellion","1994-01-01","1","No","Racing | Sports","E - Everyone","Get ready to burn rubber! Race for the Checkered Flag behind the wheel of a turbo-powered speedway racer in real-time, 3D-rendered action. Choose from 10 high-performance tracks and see the speedway from 6 distinct views. Alter features and attributes on your racer to improve your times or even change the weather conditions. Action is so intense and realistic you'll swear you feel the wind in your hair as your tires screech around the curves. Keep your sweaty palms on the controller!"
"Club Drive","","NTSC","","Atari, Inc.","Atari","1994-01-01","2","No","Racing","E - Everyone","Sure, you've always wanted to blaze down the streets of San Francisco in a souped-up hot rod, just like in those action movies. But have you ever wanted to scramble across the living room floor playing tag in a minature racing car with a buddy? Or plow through an Old West town in a futuristic speed machine picking up randomly placed energy Powerballs? Strap in and join the 64-bit club!"
"Commando","","Region Not Set","","","","2017-01-01","1","No","Action | Shooter","Not Rated","Atari ST port of Commando.

Commando, released in Japan as Senjō no Ōkami (Japanese: 戦場の狼, lit. ""Wolf of the Battlefield""), is a run and gun, vertically scrolling arcade game released in 1985, unrelated to the 1985 film of the same name. Its influence can be seen in various later games in the shooter game genre. Versions were released for various home computers and consoles. The game also appears on Capcom Classics Collection, Activision Anthology, and on the Wii Virtual Console Arcade, as well as Capcom Arcade Cabinet for PlayStation 3 and Xbox 360."
"Custodian","","Region Not Set","","","Piko Interactive","2017-01-09","1","No","Action | Platform","","Custodian is the very first release for the Atari Jaguar by Piko Interactive.

The game is an Arcade shooter in which you have to protect energy bases from parasites that are trying to drain it dry!

It features 4 area levels, many weapons and power ups, and awesome chiptune music!"
"Cybermorph","","Region Not Set","","Atari, Inc.","Attention to Detail Limited","1993-01-01","1","No","Shooter","E - Everyone","Cybermorph was the first game released for Atari's Jaguar console. It's a 3D sci-fi shoot-'em-up. The story goes like this: The evil Pernitia Empire is swallowing up the galaxy's planets left and right. What's worse, the resistance forces have had their secret weapons stolen from them and put into pods spread out on many different planets. You must pilot the T-Griffon morphing attack craft to each planet and recover the pods to stop the Pernitians.

So, in each planet, or level, you must collect a certain number of pods and make it to the exit before the enemies shoot you down. Fortunately, there are power-ups that can strategically enhance the T-Griffon's offensive capabilities. After clearing 8 planets, you take on a boss creature/ship before moving on to the next sector. There are 4 levels like this to clear, each with progressively increasing difficulty."
"Defender 2000","","Region Not Set","","Atari, Inc. | 																Williams Electronic Games, Inc.","Atari","1996-01-01","2","No","Shooter","E - Everyone","You whomped the aliens from the Alpha Proximian Empire in classic Defender and sent them home to cry. Now they want the planets that Earth is mining for desperately needed, life-sustaining minerals. Your job is to protect the space miners as they perform their vital work. The aliens will try to capture them and use their life-energy to turn their ships into hyper-fast mutants. Rescure the captives and destroy the aliens or Earth is history!"
"Defender Of The Crown","","NTSC","","","Cinemaware","2015-12-11","1","No","Strategy","E - Everyone","IT IS A TIME OF LEGENDS. A time for heroes. A time of bitter strife, when great men rise above their peers to perform great deeds. A chapter of history is in the making.

Your liege the king is dead, the throne vacant. Britain enters a season of destruction, a winter of killing that can end only when the last brave Saxon knight lies dead or the castles of the Normans lie in heaps of rubble, emptied of the foul oppressors that have enslaved your people. It is a time when foreign invaders shall learn truths administered by the shining blades of Saxon swords. It is a time when heroes are made, and legends are born."
"Doom","","Region Not Set","","Atari, Inc.","id Software","1994-01-01","","No","Shooter","M - Mature 17+","From outside the base you hear the carnage: guns firing, men screaming, bones cracking...then silence. Suddenly you're the last surviving marine thrust into a bloody, gore-ridden underworld 50 million miles into the future. It's Doom to the 64th power with 16-bit true color, advanced lighting effects...and some new parts of Hell you'll wish we didn't include in this version."
"Double Dragon V: The Shadow Falls","","Region Not Set","","Tradewest, Inc.","Leland Interactive Media","1995-04-01","2","No","Fighting","T - Teen","Double Dragon is back and better than ever! Featuring 12 BIG, lightning fast characters! Four to six special moves for each fighter, and you can set your own strength, defense and more! Customizable controls and three different fighting modes to choose from. Over 130 sound effects and HOT rock music tracks!"
"Downfall+","Downfall","NTSC","","AtariAge","","2011-01-01","1","No","Platform","E - Everyone","The object of Downfall is to guide your character through a never-ending chasm on a series of platforms, carefully avoiding rising above or dropping below the viewable area of the screen."
"Dragon Breed","","NTSC","","","","2015-12-11","1","No","Shooter","E - Everyone","Dragon Breed is an Atari ST port made playable on the Atari Jaguar."
"Dragon: The Bruce Lee Story","","Region Not Set","","Atari, Inc.","Virgin Interactive Entertainment","1994-11-01","2","No","Fighting","T - Teen","The spirit of martial arts Master Bruce Lee lives on in DRAGON: a dangerously life-like combat simulation based on his biographical film. Apply discipline and a devastating array of age-old fighting techniques to subdue opponents more cunning than the real Bruce Lee ever faced. Unite your spiritual and physical strength to confront The Phantom, the mythical samurai which has plagued your thoughts and dreams, in a jeet kune do duel to the death!"
"Elansar","","Region Not Set","","","OrionSoft","2013-06-01","1","No","Puzzle","","Elansar is a small myst like ""point & click"" adventure game. Explore an island and solve puzzles. Will you uncover the Island's mystery ?"
"Escape From The Planet Of The Robot Monsters","","NTSC","","","","1970-01-01","2","Yes","Action","E - Everyone","Escape From The Planet Of The Robot Monsters is an Atari ST port made playable on the Atari Jaguar."
"Evolution: Dino Dudes","","NTSC-U","","Atari, Inc.","Imagitec Design Inc.","1994-01-01","1","No","Puzzle","Not Rated","The gameplay of The Humans has similarities to Lode Runner and Lemmings. Your job in this action puzzler is to help prehistoric man to evolve by helping them discover tools, the wheel, weapons, or even fire. Each level in the game will have a given task to help in this, and you are allotted a number of characters who must accomplish the task. The player can switch from person to person while moving the characters around each scrolling puzzle, and teamwork is essential to success."
"Fantasy World Dizzy","","NTSC","United States of America","AtariAge","Codemasters Software","2019-01-01","1","No","Adventure","Not Rated","Dizzy's Cartoon Adventure on Fantasy World!

Dizzy & Daisy strolled through the enchanted forest without a care in the world...

But suddenly the Evil King's trolls seized poor Daisy! She was sent to the Wizards Weird's Tallest Tower, while Dizzy was dragged away and thrown into the deepest, darkest, dankest of the King's Dungeons in the bowels of Fantasy World.

Dizzy was frightened! Who knew what fate awaited him...and he still hadn't done this week's homework!

But then he remembered that he had a fresh green apple that he had planned to give to his teacher to escape detention, and he cheered up. And there was some bread and water on the table!

A cunning plan began to brew in his mind..."
"Fast food","","NTSC","United States of America","","Wave 1 Games","2017-01-01","1","Yes","Unofficial","E - Everyone","Burgers, fries, shakes, pizza... flying by at sub-gastronomical speeds! You and Mighty Mouth have to catch'em all if you can. The higher the calorie count, the better your score will be. The more calories you consume, the faster the food flies! But watch out for the purple pickles! Catch too many and your binge is over!"
"Fever Pitch Soccer","","Region Not Set","","U.S. Gold Ltd.","U.S. Gold Ltd.","1995-12-01","","No","Sports","E - Everyone","Create a killer game plan and take on over 50 of the world's top soccer teams. Dribble, pass and kick your way down the field and take your best shot on goal. Wathc out for the star players - they're extra tough! Block, steal, even slide tackle and rough up the other team, but try to avoid the foul. Check the instant replay and devise your next attack. The clock's ticking!"
"Fight for Life","","Region Not Set","","Atari, Inc.","Atari","1996-01-01","2","No","Fighting","T - Teen","Life in the afterlife can be a nightmare for anybody -- especially if real life was a mess. In the Spectre Zone, eight people compete in the annual Hell Fighting Tournament for the amusement of the Gatekeeper. The prize is a second chance at life! Defeat each opponent and steal two of their special fighting moves to prepare for the final challenge -- a battle against the son of the devil himself. Show no mercy. There will be only one victor, only one new life... it must be yours!"
