title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"A Bug's Trip Redux","","Other","","Songbird Productions","","2020-11-10","1","No","Puzzle","E - Everyone","A Bug’s Trip has been developed and enhanced by long-time Lynx programmer Fadest over many years. What started as a simple clear the maze game has grown into an addictive, polished product. Fans of Pac-man or Ladybug will feel right at home with A Bug’s Trip!

This game is part of our Redux branding where we make great games even better! That means this version contains all new features and improvements such as:

    40 re-designed levels filled with pesky beetles and deadly traps
    New music & sound f/x
    Improved scoring system including extra life award
    Overhauled game controls
    Bug fixes (pun intended!)
    EEPROM support"
"A.P.B. - All Points Bulletin","A.P.B. | APB  - All Points Bulletin | All Points Bulletin","Region Not Set","","Atari, Inc.","Atari","1991-08-01","","No","Action | Racing | Shooter","","In this real arcade game you and Officer Bob must search out and collar the perps who've engaged in such heinous criminal activities as littering, speeding, and assorted other forms of misconduct too despicable to mention! But while you're out there, patrolling the streets in Officer Bob's police car, don't forget to refuel! Stop in at your friendly neighborhood donut shop and gain extra time.
There are innocent bystanders and vehicles in A.P.B. If you hit one you get demerits."
"Alien vs. Predator","","Region Not Set","","Atari SA","Rebellion","2003-03-13","1","No","Action","T - Teen","Choose your weapon and brawl with the notorious warriors of the big screen! Commission the Colonial Marine and use your weapons and your wits to destroy the base--and survive. Be an Alien and use your voracious instincts to defend the hive and rescure your Queen. Or play a Predator and use your grisly arsenal to acquire the ultimate trophy...the skull of the Alien Queen."
"Alpine Games","","Other","United States of America","Songbird Productions","","2004-01-25","1","No","Sports","Not Rated","Alpine Games is now back for the Atari Lynx! This fan favorite collection of winter sports includes:

    Biathlon
    Snowboard
    Ski-jumping
    Slalom
    Bobsleigh Race
    Figure Skating
    Aerial Freestyle
    Speed-skating
    Snowboard Halfpipe

This groundbreaking game shows off the true power of the Lynx:

    512 KB (4 Mbit) Module size
    Hi-color mode uses more than 16 simultaneous colors
    4 channel digitized music (MOD)
    Rendered graphics
    Transparency effects
    Compatible with Lynx I and Lynx II"
"Awesome Golf","","PAL","","Atari, Inc.","Hand Made Software","1991-03-14","4","No","Sports","E - Everyone","You are on the 18th tee, one stroke behind the defending champion. Do you take your caddy’s advice and play it safe, or do you risk the water? Awesome Golf provides great realism and a challenge for one to four players."
"Baseball Heroes","","Region Not Set","","Atari, Inc.","Atari","1992-02-10","2","No","Sports","E - Everyone","Hit, run, dive, jump, catch and throw. Pitch for the strikeout record and swing for the fences! Play baseball against the Lynx or take on a friend. Four different games with super graphics!"
"Basketbrawl","","Region Not Set","","Atari, Inc.","Atari","1992-03-01","","No","Fighting | Sports","","Vinnie and Slash are bleeding from knife wounds and the ref is out cold! No wonder the gang members nicknamed this game ""Basketbrawl."" To them it's not a game--it's a street fight!"
"Batman Returns","","NTSC-U","United States of America","Atari, Inc.","Atari","1992-06-19","1","No","Action | Fighting","E - Everyone","Gotham City is in desperate trouble again. Catwoman and The Penguin have joined forces to terrorize the entire metropolis! Only you can help Batman foil their deadly scheme and save the city from their fiendish clutches."
"Battle Wheels","","Region Not Set","","Atari, Inc.","Beyond Games","1993-10-01","1","No","Action","","Battlewheels is an Action game, developed by Beyond Games and published by Atari, which was released in 1992."
"Battlezone 2000","","Region Not Set","","","Atari","1995-08-03","","No","Action","","2005 A.D. A deadly virus has infected the Supertank's ultrasophisticated computer systems, turning these mighty weapons of destruction against their creators. Humankind is on the brink of extinction. Free the battle zones from this robotic plague!"
