title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Baseball Stars - Pocket Sports Series","Baseball Stars","Region Not Set","","SNK","SNK","1998-10-28","2","No","Sports","","Baseball Stars is sports game about baseball. Game is similar to Baseball Stars from NES but has less realistic characters and gameplay's style. You manage own baseball team and play in series of matches. Game has typical baseball rules - one player throws the ball, second hits the ball, someone else grabs it etc. Each character has own statistics, like stamina."
"King of Fighters R-1 - Pocket Fighting Series","King of Fighters Round R-1 | King of Fighters R-1","Region Not Set","","SNK","SNK","1999-03-16","2","No","Fighting","E - Everyone","The King of Fighters: R1 marks SNK's first time bringing the KOF series onto a handheld... and what better system than their own Neo Geo Pocket to do just that? 14 of the most well known KOF characters make their appearance in KOF: R-1, along with some recognizable backgrounds and gameplay features based on The King of Fighters '97. Players can choose from ""Extra"" & ""Advance"" play modes similar to KOF '97, and most characters play closely to their original versions."
"King of Fighters R-1 - Pocket Fighting Series & Melon-chan no Seichou Nikki","","Region Not Set","","SNK","SNK","1998-01-01","2","No","Life Simulation | Fighting","","This is a Prototype / Demo game which contained:

King of Fighters R-1 is a fighting game developed and released by SNK in 1998 for the Neo-Geo Pocket handheld system.

Melon-chan no Seichou Nikki is a Life simulation game it is comparable to Tamagotchi and other virtual life simulations. In Melon Chan's Growth Diary the player raises and nurtures little girl Melon Chan. The games was only released in Japan and was one of the earliest titles released for the Neo Geo Pocket."
"Melon-chan no Seichou Nikki","Melon Chan's Growth Diary","Region Not Set","","SNK","ADK","1998-01-01","1","No","Life Simulation","","Melon Chan's Growth Diary (Japan: Melon-chan no Seichouki) is a Life simulation game it is comparable to Tamagotchi and other virtual life simulations. In Melon Chan's Growth Diary the player raises and nurtures little girl Melon Chan. The games was only released in Japan and was one of the earliest titles released for the Neo Geo Pocket.

The game was released for the Neo Geo Pocket and features monochrome graphics; however the Neo Geo Pocket Color is backwards compatible with the game."
"Neo Cherry Master - Pocket Casino Series","Neo Cherry Master - Real Casino Series | Neo Cherry Master","Region Not Set","","SNK","Dyna Corporation","1998-12-25","1","No","Puzzle","","Neo Cherry Master (or Real Casino Series: Neo Cherry Master) is a fruit machine/""one-armed bandit"" simulator. Simple - spin the reels and wait for luck - identical fruits in the row. Controls are simple: player push A button to spin the reels and the B button to increase ""credits"". No real gambling – player can't lose real money."
"Neo Geo Cup '98","Neo Geo Cup '98 Plus","Region Not Set","","SNK","SNK","1998-01-01","2","No","Sports","E - Everyone","Neo Geo Cup '98 Plus is a soccer game for the Neo Geo Pocket. The game features single match play, head-to-head play (using a link cable), and story mode. You can choose to play one of 16 international teams. Each team has their own collective stats. On the field you can perform passes, shots, dribbles, slidings and charges. In the story mode you have to win as many matches as possible in a series of tournaments. Before and during matches you can change the field formations and switch players. Each won match gives you prize money, this can be used to buy items for your team. These items usually improve one stat, but decrease another."
"Pocket Tennis - Pocket Sports Series","Pocket Tennis","Region Not Set","","SNK","Yumekobo Co., Ltd.","1998-01-01","2","No","Sports","E - Everyone","Pocket Tennis a simple tennis game with two play modes: Exhibition and Tournament.

Exhibition is a single match against computer or human opponent (requires link cable). There do exist eight player characters with different skills (human player must select one of those eight characters too) and four (five in the color version) different courts. Also amount of sets per game can be selected (1, 3 or 5).

Tournament is only against computer. Human player can pick his/her character but not the computer opponent. Also selection of courts and amount of sets is missing. Three games will be played: quarter and semifinals and of course the final."
"Renketsu Puzzle Tsunagete Pon!","Puzzle Link","Region Not Set","","SNK","Yumekobo Co., Ltd.","1998-01-01","2","No","Puzzle","E - Everyone","Renketsu Puzzle Tsunagete Pon! is a game where blocks  have to be dissolved. New blocks constantly scroll into the screen from the top. The game is over when the first blocks reach the bottom of the screen."
"Samurai Shodown!","Samurai Spirits! - Pocket Kakutou Series | Samurai Shodown! - Pocket Fighting Series","Region Not Set","","SNK","SNK","1998-12-25","2","No","Fighting","","Iza To! En Garde! Dude! Twelve of the mightiest samurai, ninja, knights, and warriors from Japan, France, the United States, and China lock swords in NEO GEO's SAMURAI SHODOWN. With blades, bare knuckles, rage, and various Methods of Mayhem, fight your way to the final battle with Satan's Shogun. Use all powers at your disposal to get a head!"
"Shogi no Tatsujin","Shogi no Tatsujin: Master of Syougi","NTSC-J","Japan","SNK","ADK","1998-11-20","2","No","Strategy | Board","Not Rated","Shogi no Tatsujin is a Japanese style chess game. In single player mode the player must compete against computerized opponents (represented by a digitized photograph) to win the tournament. In two player mode, each player competes against each another."
