title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"2020 Super Baseball","2020bb | Super Baseball 2020","Region Not Set","","SNK","Pallas","1991-10-25","2","No","Sports","","EXTREMELY POWERFUL PLAY & EXCEPTIONAL CYBORG SPEED! THE YEAR IS 2020, & BASEBALL HAS FINALLY EVOLVED.

Conventional Baseball no longer exists in the year 2020. The “Super Baseball Association"" has been very profitable over the years with robotics power players up against the strongest of athletes. Due to the secret manipulation of certain robotics team players. abilities have been computer controlled to decide the outcome of certain games, benefiting the SBA.

Die hard players discovered the SBA’s cheating and have now disconnected several parts of the computers to achieve fair and challenging play. Now the games may continue in the famed ""Cyber Egg” Stadium where only power and skill will determine the winner!"
"3 Count Bout","Fire Suplex","NTSC","United States of America","SNK","SNK","1993-04-23","2","No","Fighting","Not Rated","3 Count Bout is a one-on-one fighting game. Choose from ten wrestlers who have their own power attacks. There are ten rounds in the game, and each one of them has you fighting other wrestlers that are much tougher than the previous ones. You defeat each one by biting, kicking, and performing other moves to the point where their damage meter is empty. But just because it is empty doesn't mean that you win. You have to pin him for the infamous-three count. Also features competitive play and tag match battles."
"Aero Fighters 2","Sonic Wings 2","NTSC","","Video System Co., Ltd.","Video System Co., Ltd.","1994-08-26","2","Yes","Action | Shooter","Not Rated","The game is played with two buttons, with the A button firing bullets from the plane and the B button launching a special bomb attack which uses a bomb from a limited stock of bombs. Power bullets can be obtained by destroying buildings and armored enemy planes. There are 2 types of Power bullets: ""P"" Power bullets, that increases the plane's firepower by one level, and ""F"" Power bullets, that increases the plane's firepower to the maximum level instantly. The maximum level only lasts for a limited amount of shots.
When certain ground enemies and buildings are destroyed, money bonuses appear which give a random amount of points each. When the player reaches the end of the stage, the player has to face a boss ship."
"Aero Fighters 3","Sonic Wings 3","NTSC","","Video System Co., Ltd.","Video System Co., Ltd.","1995-01-01","2","Yes","Action | Shooter","E - Everyone","The world seems to be free from the menace of the evil alien forces. However, they are not willing to give up and launch a surprise attack against the Aero Fighters' base, effectively destroying their aircraft. Unable to counter the attack, they must use old WWII-era warplanes with strange modifications, in a desperate scramble for victory."
"Aggressors of Dark Kombat","aodk | Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyok","NTSC","","SNK","ADK","1994-01-01","2","No","Fighting","Not Rated","Aggressors of Dark Kombat is another one-on-one street fighting beat 'em up from the Neo-Geo's seemingly endless library of fighters.

It pits 8 fighters of different styles and strengths against each other in a tournament to see who's the toughest mofo on the streets of Tokyo. Your objective as usual is to deplete your opponent's health bar within the time limit by using your basic attacks and special moves (triggered by specific controller motions) while avoiding his moves and attacks.

Unique to Aggressors of Dark Kombat is the combination of traditional side-scrolling beat 'em up elements, meaning characters can freely move in an isometric space instead of being restricted to a single plane of movement. Weapons and throw-able items are usually thrown into the arena by the crowds and you can pick them up and wield them for added damage. Additionally, matches are 1-round only affairs, with an extended multi-layered health bar that allows for longer rounds than usual."
"Alpha Mission II","","Region Not Set","","SNK","SNK","1991-07-01","2","No","Shooter","","The lunar nightmare of a bloody 200-year space war was thought to be over in the ""original"" ALPHA MISSION. But now with the advent of more technically sophisticated weapons, the evil ""Fulvar"" and his ""Seven Star Alliance"" have returned to destroy all planets that stand in their way of the ultimate target... Earth! Now in the year of 2525! Your mission as pilot of the new SYD-FX fighter is to use every weapon at your disposal to rid the galaxy once and for all of the evil that now dominates and threatens Earth. So suit up, hold your breath, and stand ready for unbelievable graphics and stereo sound that'll suck you into the far reaches of deep, dark inner space. Be prepared... you may never come back!"
"Andro Dunos","","Region Not Set","","SNK","Visco Corporation","1992-07-17","1","No","Shooter","","The player controls a futuristic fighter spacecraft with different weapon settings that you can switch between, and shoot enemies, collect power-ups, and defeat bosses to advance levels."
"Art Of Fighting","aof | Art of Fighting / Ryuuko no Ken","NTSC","","SNK of America","SNK","1992-09-24","2","No","Fighting","M - Mature 17+","Yuri Sakazaki has been kidnapped! Her big brother Ryo Sakazaki and Robert Garcia, his best friend, go search for her on the streets of South Town. As they go deeper and deeper they will find clues as to who ordered the kidnapping, the Sakazaki family's relation to the mob, and a person from their past.

This fighting game is a coin-op conversion of the Neo-Geo hit of the same name, and has all characters, stages, and moves featured in the arcade unit. Unlike the original arcade version, players can now play as Mr. Big and the elusive Mr. Karate.

The gameplay differs from most fighting games. In this game, you have a Spirit meter. A Spirit meter is in the game and will decrease as you perform special moves. It can be recharged, but doing so leaves you open to attack. When your health is almost gone, you can perform a secret combination that will unleash a deadly attack on your opponent - provided you have a full Spirit meter."
"Art of Fighting 2","aof2 | Ryuuko no Ken 2 | Art of Fighting 2 / Ryuko no Ken 2","NTSC","","SNK","SNK","1994-03-11","2","No","Fighting","Not Rated","In this sequel to the original Art of Fighting, and prequel to the original Fatal Fury, we learn that Mr. Karate, the final boss of the original game, behind the mask, is really Takuma Sakazaki, Ryo and Yuri's father, that Takuma was being used by Geese Howard for his own evil intentions, and that Mr. Big was the one who had originally kidnapped Yuri."
"Art of Fighting 3","aof3 | Art of Fighting 3: The Path of the Warrior | Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden","NTSC","","SNK","SNK","1996-04-26","2","No","Fighting","T - Teen","In this third and final entry in the Art of Fighting series, the story shifts from Ryo Sakazaki to his best friend and rival, Robert Garcia, as he ventures into Mexico to try and locate Freia Lawrence, a childhood friend, who asked for his help. However, he leaves without the consent of The Garcia Foundation, which sends an agent named Karman Cole to get him back. But not everything is as simple as it looks... because Robert is not the only one looking for Freia.

Art of Fighting 3: The Path of The Warrior features ten playable characters with different fighting styles, a completely new fighting system based on joystick and button combinations, and incredibly detailed graphics and animation."
