title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"001 Pokemon Stadium","","PAL","Japan","Nintendo","Nintendo","1999-04-30","1","No","Adventure | Role-Playing","E - Everyone","Benvenuti alla più appassionante lotta Pokémon! Ecco finalmente i tuoi Pokémon preferiti in uno stadio con una splendida animazione tridimensionale! Sia che lotti contro un amico, un Capopalestra o un altro sfidante, assisterai alle battaglie Pokémon più spettacolari della storia! 
E con il Transfer Pak Nintendo64 potrai portare in scena dal tuo Game Boy i Pokémon che hai allenato tu stesso. Cosi i tuoi fedeli amici ti seguiranno anche in questo sensazionale evento tridimensionale! Sfida tutti i Capopalestra fino alla lotta finale contro il tuo eterno rivale, Ash! Vivrai così l'esperienza più emozionante della tua vita!"
"002 Pokemon Stadium 2","","PAL","Japan","Nintendo","Nintendo","2000-12-14","1","No","Adventure | Role-Playing","E - Everyone","Tutti i Pokémon diOro e Argento in 3D! Centinaia di Pokémon in tre dimensioni! Cos'è più esaltante di vincere in una lotta di Pokémon? 
È semplice: vincere in una lotta di Pokémon in 30, sul tuo N64! Tu decidi la strategia, i Pokémon la mettono in pratica! I Pokémon che tu hai allenato lotteranno in un ambiente completamente tridimensionale!"
"003 Dragon Ball Kart","","PAL","Japan","Romhacking","Nintendo","1996-12-14","1","No","Sports | Unofficial","E - Everyone","Goku, Piccolo, Vegeta o Mr.Satan, scegliete con quale tra i personaggi più famosi della mitica serie Dragon Ball scendere in pista per questa entusiasmante sfida a bordo di kart da corsa. Il primo classificato avrà diritto a ben 10 punti, il secondo a 5, e il terzo a 3.
Per vincere, oltre alla vostra abilità di piloti, durante la gara potrete utilizzare l'energia speciale in vostro possesso per combattere i vostri avversari e frenarli nella loro corsa; ma fate attenzione ai loro attacchi perchè anche i vostri nemici cercheranno di mandarvi K.O.!!"
"007: The World Is Not Enough","","NTSC","United States of America","Electronic Arts","Eurocom","2000-10-17","4","No","Action | Shooter","T - Teen","Bond Is Back

Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of Q-Lab gadgets and weaponry, you must be suave, resourceful and lethal as you carry out action-packed missions based on the blockbuster movie. Are you cool under pressure? Deadly when necessary? Of course you are - you're Bond... James Bond 

• Bond's Best Missions! Battle through 14 dangerous levels with dynamic objectives based on your skill level.
• Over 40 Q-Lab Gadgets and Weapons! Bond's P2K, X-Ray Glasses, Watch Stunner, and many more.
• Action-packed Multiplayer! Customizable multiplayer modes for 1 to 4 players plus AI controlled bots.
• Authentic Dialogue! Interact with you favorite characters and experience movie-like 3D cinematics with full speech.
• Expansion Pak Support for enhanced graphics and visual effects.
• Saves via Controller Pak"
"007: World Is Not Enough [Gray Cart]","","NTSC-U","United States of America","Electronic Arts","","2000-10-17","4","No","Shooter","T - Teen","The World Is Not Enough is a first-person shooter video game developed by Eurocom and based on the 1999 James Bond film of the same name. It was published by Electronic Arts and released for the Nintendo 64 on October 17, 2000, shortly before the release of its PlayStation counterpart."
"1080° Snowboarding","テン・エイティ　スノーボーディング | Ten Eiti Sunōbōdingu | 1080 TenEighty Snowboarding","NTSC-J","Japan","Nintendo","Nintendo EAD","1998-02-28","4","No","Racing","E - Everyone","1080° Snowboarding is a 1998 snowboarding video game developed by Nintendo EAD and published by Nintendo. It was released for the Nintendo 64 and re-released in 2008 for the Wii's Virtual Console. In the game, the player controls one of five snowboarders from a third-person perspective, using a combination of buttons to jump and perform tricks over eight levels."
"1080° Snowboarding [Player's Choice]","","NTSC-U","United States of America","Nintendo","Nintendo EAD","1999-01-01","2","No","Sports","E - Everyone","You’re taking a Tahoe 155 snowboard down a steep, bumpy incline at night and you’re about to top off an Indy Nosebone with a 360° Air, and you haven’t even left your living room!  You’re Playing 1080° (Ten Eighty) Snowboarding, a game so intense you’ll be brushing the snow off your goggles.  With five different boarders, eight different Lamar snowboards, more than 25 tricks, a Half-Pipe and six different courses, this is as close as you’ll get to the real thing without hopping on the next ski lift.

• Six game modes and courses!
• 2-Player simultaneous play!
• Over 25 different tricks!
• Compatible with Rumble Pak accessory."
"19XX","","Other","","","","2015-01-05","4","No","Fighting | Platform | Party","E - Everyone","19XX is a mod of Super Smash Bros. It is the first notable mod for the game, with development having started in May of 2015. 

Several versions exist:
19XXTE is based on 20XX Tournament Edition; that is, the purpose of the mod is to assist in running tournaments, help players learn the game, and add other cosmetic changes instead of exclusively modifying characters or stages. 19XXTE has seen tournament use, being notably used at GENESIS 3 and Super Smash Con 2016; its most important feature is the ability to add a timer to a stock match like in later games, saving tournament organizers from the trouble of keeping track of match time externally.

19XXCE, includes more features than 19XXTE, but is more opted for use in casual play, training and combo contests.

19XXNE (Netplay Edition), is based on CE but has VS Mode Combo Meter off and stage hazards off by default."
"40 Winks","","Region Not Set","","GT Interactive Software Corp.","Piko Interactive","2018-11-01","2","Yes","Platform","E - Everyone","Originally cancelled, the game was later released by Piko Interactive in 2018.

40 Winks is a 3D action-platform game in which you play as Ruff or Tumble, two children who must battle ghosts, goblins and other monsters in their dream-world. They must try to capture 40 winks scattered around the world in order to stop an evil old man named Nitekap. Nitekap wants to turn the winks into hood-winks, the things responsible for nightmares. You also have to find the 12 dream keys to unlock the boss level. A unique aspect of the game allows the players to temporarily morph into different costumes with special abilities. The costumes include a Prehistoric Man, Jester, Super Hero, and Ninja."
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","Tamagotchi 64","NTSC-J","Japan","Bandai Co., Ltd.","Bandai Co., Ltd.","1997-12-19","1","No","Life Simulation","Not Rated","64 de Hakken!! Tamagotchi: Minna de Tamagotchi World is a Nintendo 64 game released only in Japan in 1997. It is a virtual board game based on the Tamagotchi toy."
