title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Animal Crossing: Wild World","","PAL","","Nintendo","Nintendo EAD","2006-03-31","4","No","Life Simulation","E - Everyone","Animal Crossing: Wild World (おいでよ どうぶつの森 Oideyo Dōbutsu no mori?, ""Come to Animal Forest"") is a 2005 social simulation video game developed and published by Nintendo for the Nintendo DS handheld game console, and is the second game in the Animal Crossing series.

Wild World focuses on living in a remote village populated with anthropomorphic animals, where the player is encouraged to perform any number of tasks, such as collecting and planting. Like all Animal Crossing titles, the game is synced to the console's clock and calendar, allowing the game to be played in real-time, which affects the occurrence of in-game events based on the current time of day or season. Wild World also utilizes Nintendo Wi-Fi Connection, which notably allows players to travel and visit the villages of other players via online play.

The game was released in Europe on March 31st 2006."
"Heroes of Hellas 2: Olympia","","PAL","United Kingdom of Great Britain and Northern Ireland","Purple Hills","Alaware Games","2012-01-13","1","No","Puzzle","E - Everyone","Grab hold of your Nintendo DS because the gods are counting on you!

A great misfortune is befalling Ancient Greece: the influence of a powerful demon is spreading, taking possession of ordinary citizens' thoughts and destroying cities. A whole civilization is staring its downfall in the face...

The levels in this match-3 game are full of surprises and tough tasks that will stretch you to the limit in a race against time. Various mini-games provide further, wide-ranging entertainment on the Nintendo DS, along with some great surprises."
"Katekyō Hitman Reborn! DS Flame Rumble Mukuro Kyoushuu","","NTSC-J","Japan","Takara Tomy","Takara Tomy","2007-06-28","4","No","Fighting","E - Everyone","Katekyō Hitman Reborn! DS Flame Rumble Mukuro Kyoushuu is the first ever game of the Flame Rumble series. The game's plot is based upon the canon storyline's Kokuyo Arc."
"Les Incollables CM1-CM2","","PAL","France","Mindscape, Inc.","Kaolink","2008-04-23","1","No","Puzzle | Education","Not Rated","Et toi, es-tu incollable ?
- Active tes neurones pour réussir le jeu de piste et progresser dans l'aventure !
- Dégaine ton stylet pour débloquer de nouveaux niveaux et des parties en mode rapide !
- Décroche les meilleurs scores et défie le chronomètre !
- Défie tes amis en mode multijoueur dans des parties endiablées : pluie de lettres, ça balance, la roue tourne...
- 3000 questions/réponses inédites
- 18 modes de jeu originaux et amusants
- 5 thèmes : français, mathématiques, sciences, histoire/géographie, culture générale
- 4 niveaux de difficulté"
"Plus Belle La Vie: Le Secret du Dr Livia","","PAL","France","Mindscape, Inc.","Mindscape","2008-11-20","1","No","Adventure | Puzzle","Not Rated","L'inquiétude règne : un vol au bar du Mistral a été commis et Roland a disparu... Et si tout était lié au Dr Livia ?
Aidez Chloé, une amie de Ninon, à couvrir l'affaire pour la Dépêche Marseillaise. Partez à la rencontre des personnages du feuilleton et vivez avec eux des rebondissements incroyables ! Les habitants du quartier du Mistral comptent sur vous pour résoudre cette énigme !

Une histoire écrite en collaboration avec les scénaristes du feuilleton !"
"Titeuf le film","","PAL","France","KOCH Media","Deep Silver","2011-04-21","1","No","Party","Not Rated","Join Titeuf and his friends in a crazy video game adapted from Titeuf, the film!

Take on mega challenges: exterminate Aliens, participate in a Mammoth Rodeo or cheat in a surprise math quiz!
- Crazy games and multiple difficulty levels
- Unlock cards to learn all about Titeuf and his band
- Discover excerpts from Titeuf, the film!"
"¡Cocina conmigo! ¿Qué prepararemos hoy?","","NTSC","","Nintendo","Nintendo EAD","2008-11-24","1","No","Family","E - Everyone","Cooking Guide: Can't Decide What to Eat?, released in North America as Personal Trainer: Cooking, is a digital cookbook for the Nintendo DS"
"001 Pokemon Oro","","PAL","Japan","Nintendo","Game Freak","2009-09-12","1","No","Adventure | Role-Playing","E - Everyone","Cattura, allena e lotta con i Pokémon mentre esplori la regione di Johto in lungo e in largo insieme ai tuoi Pokémon preferiti! Invoca il Pokémon leggendario ai confini del cielo!"
"002 Pokemon Argento","","PAL","Japan","Nintendo","Game Freak","2009-09-12","1","No","Adventure | Role-Playing","E - Everyone","Cattura, allena e lotta con i Pokémon mentre esplori la regione di Johto in lungo e in largo insieme ai tuoi Pokémon preferiti! Invoca il Pokémon leggendario ai confini del cielo!"
"003 Pokemon Diamante","","PAL","Japan","Nintendo","Game Freak","2006-09-28","1","No","Adventure | Role-Playing","E - Everyone","Cattura e allena i Pokémon nei panni di un Allenatore alle prime armi e cimentati in fantastiche lotte fino a diventare Campione della Lega Pokémon. In Pokémon Diamante, la ricerca del Pokémon padrone del tempo sarà un'avventura costellata di numerose sfide."
