title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Snow Bros.","Snow Bros.: Nick & Tom","NTSC-J","Japan","Toaplan Co., Ltd.","Toaplan Co., Ltd.","1990-04-01","2","Yes","Platform","Not Rated","Burning with the ambition of world domination, King Atchich of the Kingdom of Hotda abducted the two beautiful princesses of Snowland as the beginning of the invasion and imprisoned them deep inside the castle of the Kingdom of Hotda. Snowland, who lost the princess who controls the magic of snow, begins to melt little by little. At this rate, the kingdom will soon disappear! Nick and Tom, the snowmen, felt unprecedented resentment at being robbed of the princesses in front of them. They vowed to rescue the princesses from the hands of the villains, and set out for the kingdom of Hotda, where the enemy was waiting.

The home of the enemy, Hotda Castle, is a 70-store stone tower. A fire-breathing monster is roaming, and Atchich is worried about the fire and built the castle out of stone. It's more like a fortress than a castle because it's durable first, so it's not a very elegant castle. The snowmen, who are not good at hot places, tried to infiltrate the hot castle of Atchich with courage."
"'89 Dennou Kyuusei Uranai","89 電脳九星占い | Cyber Horoscope Fortune '89","NTSC-J","Japan","Jingukan Polaris","Micronics","1988-12-10","1","No","Life Simulation","Not Rated","'89 Dennou Kyuusei Uranai is one of those horoscope sims that used to be very popular in Japan in the early days of home consoles. They still exist today, but they tend to be extended to more interactive dating sims rather than just walls of text to read.

This game being released in December 1988 and namely so, it was designed to predict your fortune for the upcoming year 1989. This makes attempting to play it already kind of useless once the year had passed. Therefore one can only look back at what the computer predicted for you back in 1989."
"[Welcome To] Eville","Welcome To Eville | Eville","NTSC-U","United States of America","","KHAN Games","2013-03-01","1","No","Music","Not Rated","The echos from previous albums decay into chaos as the opening dystopic collapse of [Welcome to] Eville escorts the listener through a celebration of evil. No heros have arrived to restore order, no last-ditch-efforts planned, no small-town nobodies with nothing to lose are out killing honest working henchmen and well-meaning mini-bosses. Eville is an audible commemoration to the iron-fist rule of the Boss, of a simpler time when villagers knew their place and no one had the guts to stand up and fight.

Eville was made with the Famitracker and uses only the original NES chipset."
"0-to-X","","Other","","Sole Goose Productions","nemesys","2016-01-01","1","No","Puzzle | Unofficial","Not Rated","Based on a hit internet phenomenon, 0-to-X is an addictive puzzler developed by nemesys. In addition to tile mashing fun, the game features an amazing soundtrack by Memblers. Some of it is almost twenty years old too, finally seeing the light of day with this release. Flash saves will store your high scores for years to come, thanks to the capabilities of Memblers’ GTROM boards."
"10-Yard Fight","10ヤードファイト","NTSC","United States of America","Nintendo","Irem Corp.","1985-10-18","2","No","Sports","E - Everyone","The game is viewed in a top-down perspective and is vertical scrolling. The player does not select plays for either offense or defense. On offense, the player simply receives the ball upon the snap and either attempt to run with the quarterback, toss the ball to one of two running backs, or throw the ball to the one long distance receiver - basically the option offense. On defense, the player chooses one of two players to control, and the computer manipulates the others. The ball can also be punted or a field goal can be attempted."
"10-Yard Fight [5 Screw]","","NTSC","United States of America","Nintendo of America, Inc.","Irem Corp.","1985-10-01","1","No","Sports","Not Rated","The main idea of this game is that players take control of a football team and have the task of trying to score a touchdown before the clock runs out.

Players start out as a high school team. Games consist of two halves. One touchdown must be scored before time runs out in each half or the game is lost. After a touchdown is scored, the half ends and the 2nd half of the game starts. If the player scores in both halves, they win the game and then move on to the next level of difficulty. Difficulty levels after high school go from college, pro, then to super. The higher the difficulty, the less amount of time is given for a player to score a touchdown.

Since the game is concerned with scoring touchdowns, in the 1 player game the player is always on offense. Players can score points for completing passes and for gaining yards by either rushing or passing. Scoring a touchdown also adds to the player's score, as does any remaining time on the clock after the touchdown is scored. Also after a touchdown, the player can add on to their score by kicking an extra point.

Other rules on the field include getting a 1st down to add time to the clock. If the player throws an interception or goes four downs without getting a 1st down, they are penalized yards.

In a 2 player game, the second player plays defense until it's their turn to play offense."
"100-in-1 Contra Function 16","","Other","","","","1990-01-01","2","No","Action | Adventure | Shooter | Sports | Platform","Not Rated","This multicart features many early NES games and early NES game rom hacks, with few repeats."
"1007 Bolts","","NTSC","United States of America","","","2015-09-01","1","No","Action | Unofficial","Not Rated","So you've pissed off the Gods... Now what? Your options are limited. You can beg for mercy or try bargaining with the devil. Maybe standing around in a puddle of your own making is more your style. However, while you're mulling over your choices, you may want to watch your step because today, lightning will strike the same place more than once! Your goal is to simply live until the next day. To avoid being smited, move left or right. Nothing else will work. You do happen to have the power to stop time with the Start button. Survive long enough and the gods will become even more furious!"
"110 New Games","","Other","","","","1970-01-01","2","No","Action | Adventure | Shooter | Sports | Platform","Not Rated","This is a rather large multicart, with almost 93 not repeated games."
"128 in 1","","Region Not Set","","","","1985-01-01","2","Yes","Unofficial","Not Rated","Bootleg multicart for the Famicom."
