title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"¡Mucha Lucha!: Mascaritas of the Lost Code","","Other","","Ubisoft Entertainment","Digital Eclipse Software, Inc.","2003-11-18","1","No","Action","E - Everyone","Mucha Lucha, the over-the-top comedy TV adventure series on the Kids WB, comes to the Game Boy Advance. Wrestle your was a Rikochet, Buena Girl and the Flea through this wacky adventure in the quest to recover the all-important Code of Masked Wrestling!"
"001 Pokemon Rubino","","PAL","Japan","Nintendo","Game Freak","2002-11-20","1","No","Adventure | Role-Playing","E - Everyone","Vieni ad Hoenn, una terra incantevole dove ti attendono grandi campioni e team misteriosi, amici per la pelle e sfide indimenticabili. Non farai in tempo ad ambientarti nella tua nuova casa, che già sarai in partenza per un'avventura da Allenatore di Pokémon. Prendi lo zaino e mettiti in cammino... La fuori c'è un mondo di Pokémon tutto da scoprire."
"002 Pokemon zaffiro","","PAL","Japan","Nintendo","Game Freak","2002-11-21","1","No","Adventure | Role-Playing","E - Everyone","Vieni ad Hoenn, una terra incantevole dove ti attendono grandi campioni e team misteriosi, amici per la pelle e sfide indimenticabili. Non farai in tempo ad ambientarti nella tua nuova casa, che già sarai in partenza per un'avventura da Allenatore di Pokémon. Prendi lo zaino e mettiti in cammino... La fuori c'è un mondo di Pokémon tutto da scoprire."
"003 Pokemon Smeraldo","","PAL","Japan","Nintendo","Game Freak","2004-09-16","1","No","Adventure | Role-Playing","E - Everyone","La regione di Hoenn è in fermento... Rayquaza si è risvegliato! Placa la furia di Kyogre e Groudon dimostrando di essere un grande Allenatore. Vinci le medaglie e conquista il Parco Lotta, la nuova frontiera delle lotte di Pokémon!"
"004 Pokemon Rosso Fuoco","","PAL","Japan","Nintendo","Game Freak","2004-01-29","1","No","Adventure | Role-Playing","E - Everyone","Una nuova strepitosa avventura nel mondo dei Pokémon! Parti alla scoperta della regione di Kanto! Saprai conquistare la Lega Pokémon, sbaragliare Team Rocket e superare tutte le altre sfide che ti attendono? Solo così diventerai il più grande Allenatore di Pokémon!"
"005 Pokemon Verde Foglia","","PAL","Japan","Nintendo","Game Freak","2004-01-29","1","No","Adventure | Role-Playing","E - Everyone","Una nuova strepitosa avventura nel mondo dei Pokémon! Parti alla scoperta della regione di Kanto! Saprai conquistare la Lega Pokémon, sbaragliare Team Rocket e superare tutte le altre sfide che ti attendono? Solo così diventerai il più grande Allenatore di Pokémon!"
"006 Pokemon Unbound","","PAL","Canada","Romhacking","Game Freak","2016-11-05","1","No","Role-Playing | Unofficial","E - Everyone","Skeli Rom Hack.
Benvenuti a Borrius, una regione ricca di storia. Secoli fa, il popolo di Borrius fu coinvolto in una grande guerra con una terra straniera. Quando tutto sembrava perduto, il re di Borrius convocò una potente forza per aiutare a ribaltare le sorti della battaglia. Purtroppo, la guerra si concluse con una sconfitta quando il re della terra straniera scatenò un'arma devastante. Scontento, l'esercito borriano tornò a casa.
Il popolo, ora infuriato contro il re Borrian, tentò un colpo di stato manipolando la forza oscura evocata durante la guerra. Il re Borrian, tuttavia, riuscì a sigillare il suo potere e il colpo di stato fu sventato.
Molti anni dopo, un'organizzazione nota semplicemente come ""Shadows"" sembra intenzionata a liberare nuovamente la forza oscura. Vogliono distruggere la regione di Borrius o c'è qualcos'altro in gioco? Sta a voi ostacolarli!"
"007 Pokemon Radical Red","","NTSC","United States of America","Romhacking","Game Freak","2020-07-13","1","No","Role-Playing | Unofficial","E - Everyone","Soupercell Rom Hack.
Questo hack è essenzialmente un hack di difficoltà, ma con l'aggiunta di enormi funzionalità per aiutarvi a superare le difficoltà del gioco. Fornisce l'accesso a tutti i Pokemon e aggiungono anche i relativi potenziamenti per rendere praticabile ogni sorta di Pokémon e stili di gioco diversi, ma con l'aggiunta di una quantità pazzesca di funzioni per migliorare la qualità della vita."
"007: NightFire","James Bond 007: Nightfire","NTSC-U","United States of America","Electronic Arts","JV Games Inc.","2003-03-24","2","No","Shooter","T - Teen","The ultimate secret agent is back in his most dangerous adventure yet in James Bond 007: NightFire. Explore new heights and depths like never before -- infiltrate towering skyscrapers, take on treacherous underwater missions, and tackle original missions including assignments in outer space. All this plus glamorous (and sometimes deadly) Bond women, new state-of-the-art gadgets and weapons, and an advanced in-game camera system will leave you shaken and stirred."
"008 Pokemon Odyssey","","PAL","Italy","Romhacking","Game Freak","2022-08-25","1","No","Role-Playing | Unofficial","E - Everyone","PacoScarso Rom Hack.
Sull'isola di Talrega si trova l'entrata per il labirinto dell'Yggdrasil, un gigantesco dedalo scavato dalle radici dell'albero della vita durante il corso dei millenni; pieno di tesori e oggetti di inestimabile valore, ha attirato esploratori da ogni dove. 
Cosa cerchi? Fama? Soldi? Oppure vuoi semplicemente mettere alla prova le tue abilità di allenatore fronteggiando il labirinto? Cosa c'è alla fine? 
Nel gioco vestiremo i panni di Nyx, una giovane avventuriera che sta per cominciare il suo viaggio.
Ma ben presto qualcosa comincerà ad andare storto."
"009 Pokemon Emerald Imperium","","NTSC-U","United States of America","Romhacking","Game Freak","2025-01-24","1","No","Role-Playing | Unofficial","E - Everyone","Pokemon Emerald Imperium is a new, completed GBA ROM hack based on Pokemon Emerald, created by iriv24 and released on January 24, 2025. It’s a challenge-focused hack with improved quality of life features, inspired by Pokemon Radical Red. This ROM includes changes that make the game harder and adds new battles, with adjustments to Pokemon stats, abilities, moves, types, evolutions, and more."
"011 Super Mario Bros","","PAL","Japan","Nintendo","Nintendo","2004-02-14","2","No","Adventure | Platform","E - Everyone","Calati nei panni di Mario o Luigi lungo 8 livelli intrisi dell'azione platform più frenetica, per raggiungere e neutralizzare la minaccia di Bowser, collezionare monete o potenziamenti e, naturalmente, salvare la Principessa Peach! Per scoprire come è iniziato tutto, gioca con quell'autentico classico per NES che risponde al nome di Super Mario Bros su Game Boy Advance!"
"150 Games in 1 NES Classics","","Other","","","?","1970-01-01","2","No","Unofficial","Not Rated","150 Classic NES games on a GBA Cartridge.  Unofficial. Bootleg."
"2 Disney Games: Lilo & Stitch 2 + Peter Pan: Return to Neverland","","PAL","","Buena Vista Games, Inc.","Disney Interactive","2005-11-11","1","No","Platform","Not Rated","This compilation contains two Disney GBA games combined on one cartridge: Disney's Lilo & Stitch 2 Disney's Peter Pan: Return to Never Land"
"2 Games In 1 - Brother Bear + The Lion King","","PAL","","THQ","Vicarious Visions","2005-06-29","2","No","Platform","E - Everyone","Two games in one cartridge : Brother Bear (Follow the story of the popular Disney movie as you control Kenai and Koda, both separately and together, in this action-packed adventure. Discover hidden mini-game activities and bonus items in this graphically rich and varied world based on the locations seen in the movie) and The Lion King (Timon and Pumbaa are back for an all new adventure that takes place during the original The Lion King movie, although from the point of view of the two animal goons. Choose either character, or play a team game with another player, to complete the various levels based on events from the original movie, with various challenges to complete. The game also features film clips from the Disney movie of the same name, which ties in the adventures of Timon and Pumbaa with the original story of Simba and his quest to regain the kingdom of Pride Rock from Scar)"
"2 Games in 1 (Lego Knights Kingdom / Lego Bionicle)","","PAL","Germany","","THQ","2005-05-27","1","No","Action | Strategy | Platform","E - Everyone","2 Games in 1: LEGO Knight's Kingdom + LEGO Bionicle was a video game compilation released in 2005 exclusively for the Nintendo Gameboy Advance. This includes the Gameboy Advance versions of LEGO Knights' Kingdom (game) and Bionicle: The Game. Both games were developed by Razorback Developments and published by THQ. There is one game cartridge with both games programmed in it to play, with a screen at the start to choose either title. Both games play the same as their original releases. The game can be played in English and German."
"2 Games In 1 Double Pack - Hot Wheels: World Race / Velocity X","","Other","","THQ","Saffire Corporation","2005-09-22","1","No","Racing","E - Everyone","The Hot Wheels Dual Pack is a collection of cool cars, wild aerial stunts, blazing crashes, huge loops, banked turns, and lightning-fast speed. Featuring Hot Wheels Velocity X and Hot Wheels World Race, it's got all the racing action you need when you're on the go.

Hot Wheels Velocity X
Put your driving skills to the ultimate test as you enter a world in which gravity-defying stunts, huge loops, insane speeds, driving up walls, and criminal racing gangs are an everyday affair!

Hot Wheels World Race
In Hot Wheels Highway 35 World Race, racing is taken to a new level as players are thrust into the unique futuristic Hot Wheels fantasy world where life revolves around the most intense stunt racing ever imagined. Players race against the clock on extreme tracks featuring split/multi-level courses, obstacles, and speeds unlike anything ever experienced before. Players will be able to pull-off wild gravity-defying stunts, speed through huge loops, drive up walls, find hidden shortcuts, or simply just race opponents through volcanoes, ice, mountains, and more. The game lets players choose from authentic Hot Wheels cars."
"2 Games in 1 Double Pack - SpongeBob SquarePants: Battle for Bikini Bottom & Nicktoons: Freeze Frame Frenzy","2 Games in 1 Nicktoons Freeze Frame Frenzy + Spongebob Squarepants Battle for Bikini Bottom | Battle For Bikini Bottom & Freeze Frame Frenzy Double Pack","NTSC","United States of America","THQ","Vicarious Visions","2004-09-20","1","No","Platform","E - Everyone","2 Games in 1 Double Pack - SpongeBob SquarePants: Battle for Bikini Bottom & Nicktoons: Freeze Frame Frenzy is a Miscellaneous game, developed by Vicarious Visions and published by THQ, which was released in 2004."
