title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"001 Pokemon Rosso","","PAL","Japan","Nintendo","Game Freak","1996-02-27","1","No","Adventure | Role-Playing","E - Everyone","Acchiappali tutti! Il tuo viaggio per diventare il migliore Allenatore di Pokémon di tutti i tempi ha finalmente inizio! Ma non sarà facile: nel bellissimo e vastissimo mondo dei Pokémon ne esistono ben 150 specie diverse. Dopo che avrai incontrato Clefairy, Pikachu e tanti altri, lo spirito del gioco ti prenderà e... vorrai acchiapparli tutti! Cattura i Pokémon, allenali e forma delle squadre imbattibili. Sviluppa la tua strategia Pokémon e supera brillantemente tutte le sfide e le lotte contro gli altri Allenatori fino ad arrivare al vertice della Lega Pokémon! Ti aspetta un'entusiasmante avventura: riuscirai a diventare il più grande campione di Pokémon mai esistito?"
"002 Pokemon Blu","","PAL","Japan","Nintendo","Game Freak","1996-10-15","1","No","Adventure | Role-Playing","E - Everyone","Acchiappali tutti! Il tuo viaggio per diventare il migliore Allenatore di Pokémon di tutti i tempi ha finalmente inizio! Ma non sarà facile: nel bellissimo e vastissimo mondo dei Pokémon ne esistono ben 150 specie diverse. Dopo che avrai incontrato Clefairy, Pikachu e tanti altri, lo spirito del gioco ti prenderà e... vorrai acchiapparli tutti! Cattura i Pokémon, allenali e forma delle squadre imbattibili. Sviluppa la tua strategia Pokémon e supera brillantemente tutte le sfide e le lotte contro gli altri Allenatori fino ad arrivare al vertice della Lega Pokémon! Ti aspetta un'entu- siasmante avventura: riuscirai a diventare il più grande campione di Pokémon mai esistito?"
"003 Pokemon Giallo","","PAL","Japan","Nintendo","Game Freak","1998-09-12","1","No","Adventure | Role-Playing","E - Everyone","Una nuova sfida ti attende! Dopo le avventure di Pokémon Versione Blu e Rossa, ecco a te un nuovo entusiasmante viaggio! Mettiti in cammino, stavolta seguito come un'ombra dal tuo fedele amico Pikachu e ascolta i suoi divertenti commenti! Preparati ad incontrare Jessie e James di Team Rocket e sconfiggi gli otto Capopalestra per diventare il Miglior Allenatore di Pokémon! Scambia i Pokémon con i tuoi amici e acchiappali tutti! Riuscirai a trovare il minigioco nascosto nella Versione Gialla?"
"004 Pokemon Oro","","PAL","Japan","Nintendo","Game Freak","1999-11-21","1","No","Adventure | Role-Playing","E - Everyone","Acchiappali tutti: sono ancora di più! Nuovi Pokémon da catturare, allenare e sfidate ti attendono in un mondo completamente nuovo, dove le ore e i giorni della settimana scorrono davvero! Inoltre, in quest'avventura troverai il PokéGear, un nuovo strumento che contiene la mappa, la radio, il telefono e un orologio da regolare all'inizio del gioco."
"005 Pokemon Argento","","PAL","Japan","Nintendo","Game Freak","1999-11-21","1","No","Adventure | Role-Playing","E - Everyone","Acchiappali tutti: sono ancora di più! Nuovi Pokémon da catturare, allenare e sfidate ti attendono in un mondo completamente nuovo, dove le ore e i giorni della settimana scorrono davvero! Inoltre, in quest'avventura troverai il PokéGear, un nuovo strumento che contiene la mappa, la radio, il telefono e un orologio da regolare all'inizio del gioco."
"006 Pokemon Cristallo","","PAL","Japan","Nintendo","Game Freak","2000-12-14","1","No","Adventure | Role-Playing","E - Everyone","Il nuovo capitolo della serie di Oro e Argento! Ritorna al mondo di Johto! Leggi le nuove descrizioni del Pokédex, guarda come sono cambiate le animazioni della lotta e scopri un nuovo modo di catturare Suicune!"
"007: The World Is Not Enough","007 James Bond The World Is Not Enough | 007 The World Is Not Enough","Region Not Set","","Electronic Arts","2n Productions","2001-09-01","1","No","Adventure","E - Everyone","Enter the sophisticated world of high-tech espionage as Her Majesty's greatest spy... James Bond. Experience all the intense action, spycraft, and state-of-the-art gadgetry synonymous with Bond. Work with helpful allies such as Dr. Christmas Jones and M to stop the treacherous villain Renard. Your mission: Save the world. Are you up to it? Of course you are. You're Bond. James Bond.

• Bond's Best Missions! Battle through 8 dangerous levels based on the hit movie.
• 14 Q-Lab Gadgets and Weapons! Bond's P2K, Night-Vision Glasses, Taser and many new surprises.
• New Power-Ups! 10 different power-ups, including access cards, grenade launcher ammunition, and health."
"10 Pin Bowling","","Region Not Set","","Majesco Entertainment","Morning Star Multimedia","1999-08-01","2","No","Sports","E - Everyone","10-PIN BOWLING brings you all the fun of bowling in miniature form on your Game Boy Color. Play by yourself or with a friend in 10 frames of simple straight-up bowling action. Challenge your friend to see who's better or challenge your own scores to see if you can beat them. Aim carefully and apply the right amount of strength and you'll be racking up strikes in no time. This cartridge also uses the Rumble technology so you can feel every strike and spare in the alley. 10-PIN BOWLING features everything but the stinky shoe rentals. Will you rule the lane, or will you just be another gutter ball?"
"1942","","NTSC-U","United States of America","Capcom USA, Inc.","Digital Eclipse Software, Inc.","2000-05-19","2","No","Action | Shooter","E - Everyone","FLY INTO THE FACE OF DANGER!

It's 1942. Get ready to climb aboard, strap in tight, and take to the skies in this timeless vertical scrolling shooter. Dodge enemy fire, execute loops, and pick up a myriad of bonus power-ups.

• Earn your wings in one of history's most treasured arcade classics.
• Features 32 action-packed, daring levels."
"2003 Pocket Monster Carbuncle","Pokémon Sapphire Version | Pocket Monster Ruby | Pocket Monster Saphire","PAL","","","","2003-01-01","1","No","Adventure | Role-Playing","Not Rated","2003 Pocket Monster Carbuncle is a Pokémon-based strategy RPG for the Game Boy Color.

The main character is initially Pichu, but evolves into Pikachu and then Raichu, although its sprite on the map screen is always Pikachu. As you progress through the game you recruit other Pokémon to your cause to a total of 20, four of each type. Those types are celerity, balance, strength, super power and defense, which roughly correspond to electric/flying, water/grass, fighting/fire, psychic/normal, rock/ground types in the original games, each type being strong against the next one.

Your team travels around the world map fighting battles in areas loosely based on those from the first two generations of Pokemon games. Some battles are required to progress, others give you an item which is required to progress elsewhere, others are completely optional but may give you a new team member or evolution badge. Towns also have a ""palaestra"" in which you can fight as many times as you like (standard battles can only be played once) in order to level up your Pokemon."
