title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"__Visible","","NTSC","","","","2023-01-01","1","No","Puzzle | Platform","Not Rated","Platformer game where you can't see the platforms.

Your goal is simple, reach the end. How fast can you complete this small game?"
"""Digital Monster"" Ver. GBs [Kunemon Edition]","","Other","","Unknown","?","2022-02-03","1","No","Life Simulation","Not Rated","""Digital Monster"" Ver. GBs (Kunemon  Edition) is a recreation of the Original Digital Monster virtual pet, adapted for the Nintendo Gameboy."
"001 Pokemon Rosso","","PAL","Japan","Nintendo","Game Freak","1996-02-27","1","No","Action | Adventure | Role-Playing","E - Everyone","Pokémon Versione Rossa e Pokémon Versione Blu introducono i giocatori alla regione di Kanto, dove sono stati scoperti Pokémon come Charmander, Pikachu e Mewtwo. Tramite l'esplorazione, i combattimenti e gli scambi, i giocatori avranno accesso a 150 Pokémon.
La tua avventura ha inizio a Biancavilla, nei panni di un giovane ragazzo. Dopo un pericoloso incontro con dei Pokémon selvatici, il Professor Oak ti insegna come catturare i Pokémon, dandoti le basi per diventare un allenatore. Nel corso dei tuoi viaggi dovrai catturare i Pokémon per registrarli nel tuo Pokédex, nonché migliorare come allenatore lottando nelle palestre sparse per la regione. Una volta che avrai dimostrato di essere un allenatore provetto, dovrai vedertela con i Superquattro, un gruppo di allenatori d'élite che metteranno a dura prova le tue capacità.
Non sarà certo facile dato che, oltre ai molti Pokémon selvatici, dovrai fare attenzione anche al Team Rocket, uno spregevole gruppo di ladri di Pokémon. Impedisci al Team Rocket di rubare Pokémon rari e metti fine alle loro malefatte!"
"002 Pokemon Blu","","PAL","Japan","Nintendo","Game Freak","1996-10-15","1","No","Action | Adventure | Role-Playing","E - Everyone","Pokémon Versione Rossa e Pokémon Versione Blu introducono i giocatori alla regione di Kanto, dove sono stati scoperti Pokémon come Charmander, Pikachu e Mewtwo. Tramite l'esplorazione, i combattimenti e gli scambi, i giocatori avranno accesso a 150 Pokémon.
La tua avventura ha inizio a Biancavilla, nei panni di un giovane ragazzo. Dopo un pericoloso incontro con dei Pokémon selvatici, il Professor Oak ti insegna come catturare i Pokémon, dandoti le basi per diventare un allenatore. Nel corso dei tuoi viaggi dovrai catturare i Pokémon per registrarli nel tuo Pokédex, nonché migliorare come allenatore lottando nelle palestre sparse per la regione. Una volta che avrai dimostrato di essere un allenatore provetto, dovrai vedertela con i Superquattro, un gruppo di allenatori d'élite che metteranno a dura prova le tue capacità.
Non sarà certo facile dato che, oltre ai molti Pokémon selvatici, dovrai fare attenzione anche al Team Rocket, uno spregevole gruppo di ladri di Pokémon. Impedisci al Team Rocket di rubare Pokémon rari e metti fine alle loro malefatte!"
"003 Pokemon Giallo","","PAL","Japan","Nintendo","Game Freak","1998-09-12","1","No","Action | Adventure | Role-Playing","E - Everyone","ulla scia dell'enorme successo di Pokémon Versione Rossa e Pokémon Versione Blu, Pokémon Versione Gialla riporta gli allenatori a Kanto per nuove divertenti avventure. E in Pokémon Versione Gialla, Pikachu ti segue per tutto il viaggio!
In Pokémon Versione Gialla, la grafica è leggermente migliorata rispetto a Pokémon Versione Rossa e Pokémon Versione Blu. Pokémon Versione Gialla aggiunge anche sfide e una modalità battaglia che ti permette di competere in modi divertenti. Ci sono persino dei fantastici minigiochi, come Surfing Pikachu!"
"1 bit game collection","1bit Game Collection","Other","","","","2021-12-16","1","No","Platform","Not Rated","Created by Filipe Bianchin as a test for GBStudio 3's capability's and released on itch.io"
"1 Call 1 Choice","","NTSC","","","","2025-07-25","1","No","Horror","AO - Adult Only 18+","Choices matter. They can even change lives. A single press of a button may change the course of their history."
"1-Bit Escape","","NTSC","","","","2022-01-01","1","No","Adventure | Puzzle","Not Rated","You wake up in a colorless room, in a bed that is far too small. Find the key to break out of the 1-bit escape room."
"10 Days Without Aliens","","NTSC","","","","2021-01-01","1","No","Action | Puzzle | Platform","Not Rated","10 Days Without Aliens is a top-down ""sim"" where you, a volunteer at an Antarctic signal relay station, just go to work for 10 Days and don't encounter any aliens whatsoever, at all, not even a little...

You and your fellow researchers are simply monitoring signals passing through the Antarctic region when some intriguing visitors arrive..."
"10 Seconds","","NTSC","","","","2025-01-01","1","No","Platform","Not Rated","You were kidnapped and attached with a strange device. You have 10 seconds to escape each room. Do you have the speed to make it to freedom?"
"1998 DY-22 in 1","DY-22 in 1","Region Not Set","","","?","1998-01-01","2","No","Action | Puzzle | Platform","Not Rated","A Game Boy bootleg multicart containing Teenage Mutant Ninja Turtles 3: Turtles Kiki Ippatsu, Contra: The Alien Wars (J), Super Mario Land, Hyper Lode Runner, Tetris, Space Invaders, Battle City, Dr. Mario, and Flipull. The games are repeated multiple times on the cart."
