title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"007: Agent Under Fire [Player's Choice]","","Region Not Set","","Electronic Arts","EA Games","2002-03-22","1","No","Action | Shooter","T - Teen","007: Agent Under Fire is the first James Bond game to appear on the PlayStation 2, GameCube, and Xbox. The game casts the player as the legendary James Bond who must accomplish missions throughout different areas of the world. Bond is sent on a mission rescue Zoe Nightshade, a CIA agent in the hands of Nigel Bloch. Nigel Bloch is the CEO of Identicon, a section of a highly successful industry company known as Malprave industries. Bond is also tasked to retrieve the set of DNA samples that are in Identicon's hands. So James Bond sets off on another adventure...

The game combines three game modes into one package: first-person-shooter, which is what most of the missions are, a rail-shooter, where the player only controls firing, and a driving game, where the player drives one of the many Bond cars. Numerous weapons have been added to the series, along with some fictional weapons like the Photon cannon and the 5-way grenade launcher. The player can utilize a wide array of gadgets and weapons, like the Q-Claw, Q-Decoder, and Bond's trusty Walther handgun. There is a large variety of missions, and Bond can go through most missions with weapons, or take a stealthy approach. The player is also rated in each level, based on score and difficulty level, and can unlock new features for both single and multiplayer."
"007: Everything or Nothing","James Bond 007: Everything or Nothing","PAL","","Electronic Arts","EA Redwood Shores","2004-02-25","1","No","Shooter","Not Rated","- The action and adventure has never been so intense - As Bond, you'll do everything from rappel down walls to controlling robots to chasing villains at over 100MPH
- New action for Bond, to help him survive shootouts - Duck or hug the wall for cover, then use the new targeting system to disable enemies
- Players can interact with Q and M -- voiced by the real actors who play them
- Think like Bond - To win you'll have to use physical skills, clever disguises, and a bold personality to save the world
- All-new amazing gadgets, straight from the lab -- like the Q-Spider, a robot that offers a new kind of gameplay"
"007: Everything or Nothing [Player's Choice]","","NTSC","United States of America","Electronic Arts","EA Redwood Shores","2004-02-17","2","No","Shooter","T - Teen","A nanobot has been stolen from the work of a world renowned scientist, Dr. Katya Nadanova, of the Oxford Department of Microtechnology by a man known only as ""the General"", and has kidnapped the girl as well. James Bond races to rescue both the scientist and to retake the nanobots, and kills the General along with the nanobot samples. Bond returns Kataya to a nearby base, but it turns out the scientist has not been so faithful to Oxford. Katya meets up with Nikolai Diavolo, and gives him a hidden vial of the nanobots. Before long Bond is yet again called into action when MI6 loses contact with 003. And so Bond is off to Peru...

Everything or Nothing is the second of the James Bond third-person shooters, after Tomorrow Never Dies for the Playstation. The game features new guns and a new and improved aiming system which allows you to strategically hug walls and fire around or crouch behind cover. New gadgets allow Bond to go invisible, disrupt electronics, or control mechanical spiders which allow him to access new areas. Everything or Nothing is also the first game where Pierce Brosnan actually supplies his voice for the likeness of his character, as well as many other such as Judi Dench and John Cleese."
"007: From Russia With Love","","NTSC","United States of America","Electronic Arts","EA Redwood Shores","2005-11-15","2","No","Action | Shooter | Stealth","T - Teen","From Russia with Love is a video game featuring Ian Fleming's secret agent, James Bond. The game is based on the 1957 novel and the 1963 film of the same name, albeit adding in new scenes to make the game more action-oriented, as well as changing the affiliation of the main villains. Additionally, it features many elements of earlier Bond films to recreate the feel of the era such as the jet pack from Thunderball (1965) and the Aston Martin DB5 that debuted in Goldfinger (1964). 

From Russia with Love is also notable in that it is the first video game to use Sean Connery's likeness as James Bond and the first to include all new voice work by the actor. From Russia with Love is the last James Bond video game EA Games marketed before they lost the rights to Activision in 2006."
"007: NightFire","James Bond 007: Nightfire","NTSC","United States of America","Electronic Arts","Eurocom Entertainment Software","2002-11-19","4","No","Action | Shooter","T - Teen","The game's prologue mission starts in Paris, France, with James Bond (voiced by Maxwell Caulfield with the likeness of Pierce Brosnan) helping French Intelligence Operative Dominique Paradis evade a gang chase while chasing a truck with a stolen nuclear weapon, before continuing in his car. After stopping the truck from blowing up the Eiffel Tower, Dominique and James celebrate the new year."
"007: NightFire [Player's Choice]","","PAL","","EA Games","Eurocom","2002-11-29","4","No","Action | Shooter","T - Teen","In James Bond 007: Nightfire, all-new scenarios and gameplay complement an original storyline that delivers all-out Bond-style intensity. As Bond, players will operate in the high altitude Austrian Alps and a zero-gravity space station as well as underwater in the South Pacific in order to defeat the evil criminal mastermind Rafael Drake, who is bent on ruling the world. The game is primarily seen through a fast-paced first-person perspective, but will switch to a dynamic third-person perspective to show off dramatic interactive moments. Each of the more than 10 exotic locations around the world and beyond in Nightfire will contain a generous offering of challenging missions and objectives filled with furious action and stealth, gorgeous women, exotic locales, and sophisticated spy-craft gadgetry that Bond fans expect. Moreover, players will have the option to upgrade many of the numerous Q-lab gadgets."
"1080: Avalanche","1080° Avalanche","NTSC","","Nintendo","NST","2003-12-01","4","No","Racing | Sports","E - Everyone","1080° Avalanche is a snowboarding game for the Nintendo GameCube, developed by Nintendo's in-house development studio, NST, and published by Nintendo. Avalanche is a sequel to 1080° Snowboarding for the Nintendo 64. The game has an emphasis on racing, rather than doing tricks, in contrast to other popular snowboarding games, such as the SSX series. It can output in 480p and Dolby Pro Logic II and supports four players on one GameCube as well as LAN play with up to four GameCubes."
"1080° Avalanche","1080 Avalanche","PAL","United Kingdom of Great Britain and Northern Ireland","Nintendo","Nintendo Software Technology","2003-11-28","4","No","Racing | Sports","Not Rated","Snowboard like a pro in 1080° Avalanche Play as five different snowboarders and race through 15 tracks in three different difficulty settings, busting tricks to gain valuable points. Or take on the extra modes such as Gate Challenge, Trick Attack and time trial.

Offering something different to other snowboarding titles, 1080° Avalanche allows you to race against an Avalanche itself, dodging trees as they fall, and boulders of ice and snow as they race past you. The screen will shake, but keep your eye on the prize and you'll live to tell the tale.

Up to 4 players can race split screen, or use the GameCubes LAN capability to play 4 players using 4 GameCubes and TV's.
1080°: Avalanche was released in both single-disc and double-disc versions. The second disc is a standard miniDVD featuring a half-hour of snowboarding footage alongside gameplay footage set to soundtracks from the game."
"1080° Avalanche [With Bonus DVD]","1080 Avalanche","NTSC","","Nintendo","Nintendo Software Technology","2003-12-01","4","Yes","Action | Adventure | Racing | Sports","E - Everyone","Snowboard like a pro in 1080° Avalanche Play as five different snowboarders and race through 15 tracks in three different difficulty settings, busting tricks to gain valuable points. Or take on the extra modes such as Gate Challenge, Trick Attack and time trial.

Offering something different to other snowboarding titles, 1080° Avalanche allows you to race against an Avalanche itself, dodging trees as they fall, and boulders of ice and snow as they race past you. The screen will shake, but keep your eye on the prize and you'll live to tell the tale.

Up to 4 players can race split screen, or use the GameCubes LAN capability to play 4 players using 4 GameCubes and TV's.
1080°: Avalanche was released in both single-disc and double-disc versions. The second disc is a standard miniDVD featuring a half-hour of snowboarding footage alongside gameplay footage set to soundtracks from the game. This version was exclusively available at Wal-Mart and can be differentiated by the presence of a red sash on the front cover."
"1080° Silverstorm","1080° Avalanche | Ten Eiti Shirubāsutōmu | テン·エイティ シルバーストーム","NTSC-J","Japan","Nintendo","Nintendo Software Technology","2004-01-22","4","No","Racing | Sports","Not Rated","Snowboard like a pro in 1080° Avalanche Play as five different snowboarders and race through 15 tracks in three different difficulty settings, busting tricks to gain valuable points. Or take on the extra modes such as Gate Challenge, Trick Attack and time trial.

Offering something different to other snowboarding titles, 1080° Avalanche allows you to race against an Avalanche itself, dodging trees as they fall, and boulders of ice and snow as they race past you. The screen will shake, but keep your eye on the prize and you'll live to tell the tale.

Up to 4 players can race split screen, or use the GameCubes LAN capability to play 4 players using 4 GameCubes and TV's.
1080°: Avalanche was released in both single-disc and double-disc versions. The second disc is a standard miniDVD featuring a half-hour of snowboarding footage alongside gameplay footage set to soundtracks from the game."
