title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Illmatic Envelope Swamp + Radirgy Swag","","NTSC-J","Japan","Mebius","Milestone Inc.","2021-11-18","1","No","Shooter","E - Everyone","These are overwhelming, fully loaded shooting games. If you are a fan of Radirgy, Chaos Field, and Karasu you will love also the next burning hot burning game: Illmatic Envelope from Milestone!"
"Atelier Ryza 3: Alchemist of the End & the Secret Key Premium Box (Nintendo Switch)","","NTSC","United States of America","Koei Tecmo","Gust","2023-03-24","1","No","Adventure | Role-Playing","T - Teen","The final summer, the final secret... Ryza's final adventure is about to begin!
The story begins when a group of islands called Kark Isles appear near Ryza's—the protagonist's—hometown. Seeing this as a threat to their home, Ryza and her friends investigate the isles and discover ruins with a huge gate. Just as Ryza approaches the gate, a strange voice echoes in her head, telling her to reach the Code of the Universe. What is it that lies beyond the gate, and what does the ""Code of the Universe"" mean? In hopes of finding a way to save their home, Ryza and her friends set off on a great adventure that revolves around a Key and the roots of alchemy.

- Explore a vast open field!
In this title, multiple maps are connected seamlessly, allowing players to move between different areas without the loading screen transition. Enjoy exploring in a vast, living world with a greater degree of freedom.

- A total of 11 party members!
Reunite with characters from previous games and meet new key characters essential to the story. Embark on your adventure with a wide range of friends—one of the largest in the series.

- Use the ""Keys"" with unknown powers to unlock various gameplay features!
In the heart of this title will be the new ""Key"" system. Keys have various types and effects that can be used in exploration, synthesis, and combat. Make good use of them while adventuring to enjoy a more satisfying, smoother experience!"
"Birushana: Rising Flower of Genpei","","NTSC","United States of America","Idea Factory International","Idea Factory","2022-06-28","1","No","Adventure | Role-Playing","T - Teen","Torn between warring factions and a desire for a peaceful life, can Shanao forge her own path - and find someone worthy of her journey in this visual novel?

Fifteen years after the Heiji Rebellion, the Heike clan has reached the height of its power, while the Genji clan remains devastated by defeat. Hidden deep within the mountains of Kurama lives Shanao, the youngest surviving male heir to the Genji name. However, Shanao harbors a deep secret known by very few.

The youngest heir to the Genji name is no man.

Her adventure leads her to find new cherished relationships, as well as something deeper than the feud between the rivaling clans.

KEY FEATURES
• Five potential routes will reveal different elements of Shanao's story and relationships. Once you've decided on your route, maintain your Affection Level to get up close and personal with someone…
• The Love Catch system allows players to gauge how their choices affect a character’s Affection Level and Shanao’s three Character Abilities of Strength, Knowledge, and Kindness in real time. Keep a close tab on Affection and Character Ability levels to reach a true ending!
• After completing a chapter, players can revisit it and manipulate the Affection Levels and Character Abilities. If you feel Shanao is headed down the wrong path, replay the chapter and get back on track!"
"Fight of Animals: Arena","","NTSC-J","Japan","","","2021-10-14","4","Yes","Action | Fighting","T - Teen","Players take on the role of cute meme animals, and defeat all other animals through intense fighting.
6 different stages and 2 game modes are provided to players to choose from.
Players can enjoy funny and decisive battles through the single-player or multiplayer mode!

Meme animals strike again!
In Fight of Animals: Arena, all 12 characters from Fight of Animals are provided for selection.
What sparks will arise from their battles!? You decide!

Simple controls!
Other than directional buttons, all combos and skills can be performed by 4 buttons.
""Double jump"" and ""Dash"" features have been added to make the battle more exciting!

We've got items and weapons!
Depending on the stage, 9 different items will be dropped randomly.
In Nintendo Switch™ version, unique items such as pineapple, xiao long bao, and harisen have been added!
A variety of items, can be used to smack, throw, and eat!?

Watch out for traps!
Players can choose from 6 different themed stages, each with 10 variations of environment and traps.
Environments include swamps that slow you down, icebergs that make you slide around, or even bushes you can hide in to sneak on your opponents!
Use the environment to your advantage and grasp the key to victory!

Become the King of Animals
Defeat all other strong ""animals"" to obtain the honorable title: The King of Animals!"
"Sherlock Holmes: The Awakened","","Other","","","Frogwares Games Development Studio","2023-04-11","1","No","Adventure | Puzzle | Horror","T - Teen","Experience a nerve-racking Lovecraftian adventure, rebuilt from the ground up with modern graphics and gameplay. Become Sherlock Holmes, and find yourself at the heart of the terrifying Cthulhu Mythos as you investigate a series of mysterious disappearances in Europe and the US.

A Lovecraft meets Sherlock Holmes crossover, The Awakened puts you up against the legendary Cthulhu Mythos. Investigate a series of mysterious disappearances, apparently linked to a dark cult that worships an Ancient God. Whatever their plan is, you must put a stop to it… or face unspeakable consequences.

For the first time in his life, Sherlock is truly afraid. A man of rationale and reason, he faces an otherworldly entity that defies all logic, and this discovery is as enlightening as it is shattering. The pursuit of the truth pushes Sherlock to the verge of madness, and it’s the only story that Watson will never publish.
Taking place in 1882, The Awakened lifts the curtain on how Sherlock and John, mere roommates at the time, became the world-famous crime-solving duo.

Key pillars
- Investigate the Cthulhu Mythos as imagined by H.P. Lovecraft and face Eldritch horrors beyond human comprehension
- Fight encroaching insanity as you pursue answers to questions that have no rational explanation whatsoever
- Find clues that will lead you through the famous Baker Street in London, a haunting psych ward in Switzerland, the perilous Louisiana wetlands and more
- A reimagining of the 2008 title: Rebuilt from the ground up in Unreal Engine, The Awakened boasts modern graphics and animations, an expanded storyline, numerous side quests and new mechanics including unique insanity gameplay."
"Tsukihime -A piece of blue glass moon-","月姫 -A piece of blue glass moon","NTSC-J","Japan","","","2021-08-26","1","No","Adventure","Not Rated","Aah—the moon is as beautiful as ever tonight.

When he was young, Shiki Tohno was seriously injured in an accident.

Driven away into the care of a distant relative, he led a calm everyday life until he received news of his father Makihisa Tohno’s death.

Called back to his family home, awaiting him was his younger sister Akiha, who succeeded their father as head of the family, and two maids.

Life as the eldest son of the Tohno family began anew.

A family with age-old traditions.

Life in a mansion not suited to his character.

Fragments of his memories awakened by scenes of the past, Shiki Tohno crosses paths with a person-shaped creature—.

Tsukihime, the romance visual novel created as a doujin game and still discussed today, is reborn!"
"-KLAUS-","","NTSC","United States of America","","","2020-06-18","1","No","Action | Puzzle | Platform","E10+ - Everyone 10+","Klaus is lost and alone. Who? Where? Why? He doesn't know anything. Only you can help him find the truth. Join Klaus and K1 - a friendly brute - as you explore this puzzle platform game.

Klaus is a 2D puzzle platformer with a self-aware narrative. Its design takes inspiration from classics games combined with a tense and emotionally engaging story. 

Klaus discovers his identity while trying to escape from a mysterious basement. It‘s a self-discovery journey in which Klaus will remember his past through interactive memories. Each memory is playable in a unique way with different mechanics than other sections of the game. Just like in real life, the dreamy worlds of the memories don’t follow the same rules of the rest of the game. 

During your journey, a ""friendly"" guy called K1 joins the team. K1 is a brawler, at least in part, and with his destructive prowess he’s able to smash obstacles and do Shoryukens without breaking a sweat. Klaus and K1 can be controlled separately or cooperatively to solve puzzles, although sometimes they’ll be split apart. Each character, of course, has his own motives.

•6 worlds, 34 levels, 100+ rooms, 3 Bosses.
•Critically-praised non-interruptive narrative. The story unfolds while you play.
•Two playable characters with unique skill sets and cooperative gameplay.
•4th wall breaking moments in gameplay and narrative.
•Hidden collectible levels add even more depth to an already emotional story.
•2 Endings."
".Cat","","Other","","","","2021-04-10","1","No","Action | Adventure","E - Everyone","“It is a beautiful 2D pixel art game for all ages. Where you are a cat, you must avoid obstacles and beat enemies looking for the end of each stage.”"
".cat milk","","NTSC","","","?","2018-01-01","1","No","Puzzle | Platform","E - Everyone","This is a white little cat who loves to jump and to get into adventures around the town until he finds milk to drink. Once he accomplishes his mission, then it is time to go home. A fluffy white cat."
".dog","","NTSC-U","","","","2021-11-05","1","No","Action | Platform","E - Everyone","Dog Dog Dog! This is the dog game in which you must jump onto all your foes in order to move to the next level. The game is super fun and rated for all ages."
