title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"3D Tetris","3-D Tetris","NTSC","","Nintendo","T&E Soft","1996-03-22","1","No","Puzzle","E - Everyone","The mesmerizing force of Tetris returns with virtual style! This thrilling animated puzzler takes dexterity and split-second timing to the extreme with dimensional blocks and challenging planes. 3-D Tetris propels players at a demanding pace where quick response and strategy rule. Tetris devotees of all levels will crave this latest sensation of brain-teasing fun!"
"Blox","","NTSC","","HomeBrew Software","","2003-01-01","1","No","Puzzle","E - Everyone","BLOX is a clone of Sokoban, a puzzle game where you have to push all boxes in a level onto a goal field. It features 3 difficulty levels with 60 puzzles in total, plus two unlockable bonus stages, passwords and simple sounds and more.

When it was released in 2003, BLOX was the first and only complete homebrew Virtual Boy game. 10 years later, in 2013, it was the first ever Virtual Boy homebrew game to see a physical release through UncleTusker.

A sequel has been released in 2009."
"Blox 2","","Other","","","","2008-09-15","1","No","Puzzle","Not Rated","BLOX 2 contains many new features, levels, languages and graphical updates compared to its predecessor. With over 1800 levels, BLOX 2 is one of the largest Virtual Boy homebrews. The levels from the original game are also available by entering a cheat code.
 
 BLOX 2 also includes “Multiblox” levels where two players work together to solve a level, each controlled by one of the directional pads."
"Bound High!","","NTSC-U","","Nintendo","Japan System Supply","1996-08-26","1","No","Action | Puzzle","E - Everyone","Originally developed by Japan System Supply, Nintendo liked the game idea of Bound High! and took over the project later. The game was, besides Dragon Hopper, going to be one of the games, which should have saved the system with a relaunch, but it was delayed again and again until it was cancelled because of the lack of success of the Virtual Boy. At this time, the game already was completely finished.

In Bound High!, Chalvo, the bouncing robot, travels through space In full 3d-D motion in pursuit of alien invaders that threaten the peaceful inhabitants of Earth. Angling from above, players control rolled up Chalvo, who must destroy all enemies on the playfield by landing on them and throwing them down from the playfield. Falling off the playfield himself, Chalvo will loose a life.
The playfield is in space, or high above the earth, and is made of many little squares, which are composed differently from level to level, once big plain areas, once many small, scattered blocks. Bouncing over the platforms can be quite incalculable and dangerous, while some are solid, other ones vanish after one hit or reveal puzzles, items or other objects and besides a lot of different enemies, Chalvo also has to carefully avoid winds, the deep crevices, sharp spikes and highly charged electric ""shockers"" that cause his demise. Adding to the difficulty is the rebound angle when you hit a moving enemy - you don't necessarily bounce straight up in the air.
Sometimes blocks lead to an ""Another Stage"", some kind of mirrored parallel universe with inverted colors and without the dangerous winds."
"Faceball","ニコちゃんバトル | NikoChan Battle","NTSC-J","","Bullet-Proof Software, Inc.","Bullet-Proof Software, Inc.","2013-01-18","2","No","Shooter","Not Rated","Faceball was going to be one of the games to support the unreleased Virtual Boy GameLink cable. Like the Faceball games on other consoles (like Faceball 2000 on Game Boy and SNES), the Virtual Boy version could be described as an ego shooter with smiley balls.

The game offers 2 modes of play, ""Normal"", which is the main, 1-player game, and ""Arena"", which most likely is the 2-player mode that uses the link cable. The ""Normal"" mode consists of 4 stages with 14 mazes each, which makes a total number of 56 levels."
"Galactic Pinball","","NTSC-J","Japan","Nintendo","Intelligent Systems","1995-07-21","1","No","Family","E - Everyone","No overview is currently available for this title, please feel free to add one."
"Golf","T&E Virtual Golf","NTSC","","Nintendo","T&E Soft","1995-11-01","1","No","Sports","E - Everyone","Tee off for 18 holes of realistic 3-D links! Virtual Boy Golf elevates the game to an incredible new level!

Determine your strategy as you ponder the conditions. Check your position and the distance to the pin. Select a club and adjust your swing. Consider the wind factor carefully or you could end up out of bounds! Each dimensional fairway provides harrowing hazards to challenge players of all handicaps. Swing into action and go for a hole in one!"
"GoSub","go sub","Other","","","","2009-07-15","1","No","Puzzle | Vehicle Simulation | Unofficial","Not Rated","Made for the Virtual Boy in 2009,  GoSub is a fan made game where you play as a submarine and complete mazes. The game contains 32 stages. Pressing the select button on the title screen brings you to the stage select screen."
"Hyper Fighting","","Other","","","?","2013-08-15","2","Yes","Fighting | Unofficial","Not Rated","Feel the need for speed!

They’re back and they’re badder than ever! Faster, stronger and with all new moves, twelve of the greatest fighters from across the globe are ready to do battle! Choose your champion and get ready for the big brawl as you try to earn the right to battle M. Bison for the title. And just when you think you’ve mastered it all, crank it up a notch and go TURBO!

Cover your head as Blanka dives at you from above and hear your neck crack as Zangief hits you with the Turbo Spinning Clothesline. Stare in disbelief as Dhalsim disappears before your eyes and Chun Li unleashes her blazing fireball! Watch in awe as Sagat fights Sagat and Ryu does a Hurricane Kick in mid-air! Survive all this and you may live long enough to become the greatest Street Fighter ever!

Features 12 characters
Adjustable speed, Survival Mode
Link Cable support for 2 Player Mode
32 MEGS of martial arts action! The largest Virtual Boy Game Pak ever!"
"Insmouse no Yakata","Insane Mouse Mansion","NTSC-J","","I'Max Corp.","Betop","1995-10-13","1","No","Shooter","Not Rated","Innsmouth no Yakata is an Action game, developed by Betop and published by I'Max, which was released in Japan in 1995."
