title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"""Aha! I Got It!"" Escape Game","","NTSC-U","","Ateam Inc.","","2009-11-02","1","No","Puzzle","E - Everyone","Use your head and solve the puzzles to escape the room Milo is in! Enjoy alone or with the help of family and friends!
Use your head and solve the puzzles to escape the room Milo is in! Play alone or with family and friends to solve this puzzling adventure game! Today is Milo’s birthday and he gets an amazing present from his dad...a room of puzzles that he likes to solve. Milo needs to solve all the puzzles to escape from the room. So use the Wii Remote controller and SHAKE!! PUSH!! TWIST!! to interact with, collect, and use items you find in the game. There is plenty to solve using all of the Wii Remote controller’s tricks and treats. See if you have what it takes to figure it all out."
"007: Quantum of Solace","007 James Bond Quantum of Solace | 007 Quantum of Solace","Region Not Set","","Activision","Beenox Studios","2008-11-04","1","No","Action | Shooter","T - Teen","The game begins with James Bond in Lake Como, Italy where Bond is sent to abduct Mr. White from his home. After fighting the resistance at the White estate, Bond successfully escapes with White. White is taken to Siena, Italy, where Bond and M interrogate him for information regarding Quantum, an organization unknown to MI6 at the time. White escapes with the assistance of M's bodyguard, Mitchell, who is revealed to be a traitor. Bond chases Mitchell through the rooftops and engages him in combat, where Mitchell is pushed by Bond into a fall resulting in Mitchell's death."
"10 Minute Solution","","NTSC-U","United States of America","Activision","Seamless Entertainment","2010-06-28","1","No","Action | Sports","E - Everyone","Total-body 10-minute workouts for a healthier, fitter you! Customizable and stackable 10-minute workout sessions allow you to tailor your own workout experience. From cardio to strength training, 10 Minute Solution the Video Game is a total-body workout that delivers powerful results while being easy to fit into your schedule!"
"101-in-1 Party Megamix","101-in-1 Explosive Megamix","NTSC","United States of America","Atlus U.S.A., Inc.","Nordcurrent","2011-10-13","4","No","Puzzle","E - Everyone","Welcome to the home of 101 mind-blowing games for all tastes!

Whether you like puzzle games, sport games or fast-paced arcade action, you'll definitely find something to suit you here! Jump in - ten of hours of games await you!"
"101-in-1 Sports Party Megamix","","Region Not Set","","Atlus Co., Ltd.","Nordcurrent","2011-01-13","4","Yes","Action | Sports","E10+ - Everyone 10+","Players move the Wii Remote in games such as bowling, motorcross, and racing. Two to four players can compete against each other in a sack race, tennis, and skateboarding. Gamers who set high scores can unlock other games to play."
"1080° Snowboarding","","Other","","Nintendo","Nintendo EAD","2008-01-18","2","No","Sports | Virtual Console","E - Everyone","A downloadable version of the classic N64 game, provided through Nintendo's Virtual Console service.

Hit the slopes for some serious shredding in one of the first truly realistic snowboarding games ever created! Start in the lodge and select from five characters, each with his/her own particular attributes and special tricks. Then take a look at the wide assortment of available boards and choose one that best suits your rider and style. Once you’ve got the gear, six different modes of play, including Match Race, Trick Attack, and 2-Player Versus, await. Pick a course and get ready to experience a sensation of speed that'll make you forget all about the cold—but it might just send a shiver down your spine. Throw in hidden characters and boards, varying weather and snow conditions, multiple paths through each course, and a variety of tricks to master—topped off with rock-solid play control—and you’ve got a recipe for winter fun that you can enjoy any time of the year."
"2 Fast 4 Gnomz","","Region Not Set","","QubicGames","QubicGames","2012-02-23","1","No","Platform","E - Everyone","No overview is currently available for this title, please feel free to add one."
"2 for 1 Power Pack WWII Aces & Indianapolis 500 Legends","","NTSC","","Destineer","Torus Games","2010-01-06","1","No","Flight Simulator","E - Everyone","2 for 1 Power Pack: Indianapolis 500 Legends / WWII Aces is a compilation package of two Wii games. 

WWII Aces is a flight simulator video game set in World War II for the Wii.

Indianapolis 500 Legends is a racing game recounting the history of the Indianapolis 500. Players take on the roles of various famous racers between 1961 and 1971, completing tasks such as overtaking a specified number of cars or qualifying under a set time."
"2 For 1 Power Pack: Kawasaki Jet Ski / Summer Sports","","NTSC-U","United States of America","Destineer","","2010-01-06","2","No","Sports","E - Everyone","No overview is currently available for this title, please feel free to add one."
"2-for-1 Power Pack: Winter Blast/Summer Sports 2","","Region Not Set","","","Destineer","2010-07-09","2","No","Sports","E - Everyone","No overview is currently available for this title, please feel free to add one."
