title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"100 Rogues","","Region Not Set","","Fusion Reactions","Fusion Reactions","2013-08-14","1","No","Strategy","","""Go Kill Satan!"" Your ultra-cliche quest to kill the Last Wild Satan is doomed. Doomed!

4 Unique Player Classes, each with 8 powerful special abilities. The Crusader, a bloodthirsty warrior of light with his best friend, God. The Wizard, an angst-ridden fairy who beats people with crystal balls. The scoundrel, a psychotic undead skeleton who's quick as a flint. And the Bruiser, a half-man, half-dinosaur that can become FULL DINOSAUR.

Test your strategic abilities to best Skybabies, Robotic Cowboys, Candy Clowns, the Golden Genie, and dozens more horrifying monsters."
"A Space Shooter for 2 Bucks","","Region Not Set","","Frima Studio","Frog City Software","2013-04-08","1","No","Shooter","","Embark on a hilarious journey through space as Commander P. Jefferson, an alien-hating starfighter at the helm of the mighty USS Eradicator. A Space Shooter for 2 Bucks delivers hilarious, irreverent action beat!


- EXPERIENCE fast-paced, retro-gaming action with incredible detail.
- ENGAGE in epic boss fights that allow you to keep their special weapons once defeated.
- ENJOY two ways to play: A hilarious campaign-based story mode and a skill-testing survival mode.
- LAUGH at more than 25 minutes of fully voiced, hilarious cutscenes.
- VISIT Jenna’s shop to purchase more than 40 upgrades and power-ups or maybe just do some flirting…"
"Abbigale and the Monster","","Region Not Set","","Renegade Software","Renegadeware","2013-03-01","1","No","Puzzle","","Join Abbigale in a journey to heal the mental madness within herself.

This is a top-down puzzle game where you control both Abbigale and the monster."
"Amazing Frog?","","Region Not Set","","Fayju","Fayju","2013-04-05","2","Yes","Sandbox","","Amazing Frog, the super hero of Swindon, and is only on OUYA..
Run around as Stunt jumpin' frogs and throw yourself off of buildings and into cars ... bounce yourself into the clouds for 'Mad Air"".
On your own or with a friend causing destruction to the environment and also your self. Pick things up and throw them around.

1.3.6 - The TV update, find all the old TV's and load them into the Dumpsters for a surprise. This update is mainly to address an issue in the Holiday update, but we couldn't just submit a Fix we had to put some new features and improvements in.

1.3.5 -This update is to celebrate the holidays
Adds a giant Toilet to discover in the Sewers
Some Test Cars to drive
and a giant Snow mans Head :0)
Among other updates and enhancements

1.3 - The Halloween Special:
He's Back - Smoother, faster and more agile
VS Mode - compete one on one in shooting, jumping and catching
More Levels - Morning Noon and Night
Explore the Darker depths of Swindon in the Sewers.
And for this Halloween Special we've added Zombies, Cos we all love Zombies.
And a whole bunch of other things to explore and fall over, into and onto.

We want this game to be Awesome so Keep feeding back to us @Fayju and of Facebook. We love seeing your pics and videos.
Lots more to come. Amazing Frog will be embarking on the Swindon Space Program very soon."
"AVP: Evolution","","Region Not Set","","Fox Interactive","Fox Digital Entertainment, Inc.","2013-09-26","1","No","Action","","FIERCE COMBAT
*Two distinct gaming experiences as both the Alien and Predator
*Vicious attacks and brutal finishing moves give players a lethal arsenal to wreak havoc on the enemy

CREATE YOUR OWN ULTIMATE KILLING MACHINE
*Engineer your own unique Alien and Predator via character upgrades, enhanced abilities, and a multitude of powerful armor and weapons
*Gain an advantage in battle with Facehugger Calls, Rage Rechargers, Net Guns, Proximity Mines, Thermal Vision, Alien Vision, Plasma Cannons and more

CHILLING ENVIRONMENTS
*It’s kill or be killed as you advance through the Temple Arena, Marine Base, Alien Hive and many other eerie settings"
"Beast Boxing Turbo","","Region Not Set","","Goodhustle Studios, Inc.","Goodhustle Studios, Inc.","2013-03-26","1","No","Fighting","","First-person monster boxing with customizable boxing gear! You're Char, a lowly human with a patchy monster costume and a dream of fighting in the Beast Boxing Leagues into which humans are forbidden to enter. A washed-up pig coach offers his help after you defeat him, and you set off on a quest for strength, fame, and respect for humans. Be warned: this game is really freakin' hard.

Latest Version 1.2.3
* A fix for performance/crash problems caused by external keyboards"
"BombSquad","","Region Not Set","","Eric Froemling","Eric Froemling","2013-05-05","4","Yes","Strategy","","8 Player Party Game Madness!

Blow up your friends in mini-games ranging from capture-the-flag to hockey.
Featuring gratuitous explosions, advanced ragdoll face-plant physics, pirates, ninjas, barbarians, insane chefs, and more.

Supports PS3 controllers, XBox 360 controllers, most USB/Bluetooth gamepads, and even iOS and Android devices as controllers via the free 'BombSquad Remote' app.
Bombs Away!"
"Canabalt HD","","Region Not Set","","Semi Secret Software","Kittehface Software","2015-03-02","","No","Action | Puzzle","E - Everyone","No overview is currently available for this title, please feel free to add one."
"ChronoBlade","","Region Not Set","","nWay","nWay","2013-03-24","2","Yes","Role-Playing | Fighting","","Play alone or team up with a friend to hold the line against on the Chronarchs in this OUYA exclusive survival mode combat demo!

Raise your weapon and fight for more than your own dimension; the survival of all realities hangs by a thread. Battle through the many strange realms of the Multiverse, seek out the truth behind the Chronarch war, and unleash the power to save all worlds!"
"CLARC","","Region Not Set","","","GoldenTricycle","2014-04-07","","No","","E - Everyone","No overview is currently available for this title, please feel free to add one."
