title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Makeruna! Makendō Z","Makeruna! Makendou Z","NTSC-J","","NEC Home Electronics, Ltd.","Fill In Cafe | 																Sugeiya","1998-03-20","1","No","Role-Playing","Not Rated","Makeruna! Makendō Z takes place in the same universe as Makeruna! Makendō, known outside of Japan as Kendo Rage. However, unlike the first game (or its sequel), this is a Japanese-style RPG. Like the other Makeruna! Makendō games (the name means Don't lose, magic kendo!), it has comedy elements. The story takes place in a high school attended by two sisters, Hikari and Mai. Their cousin Saya just came back to Japan from the USA, where she was sent as an exchange student. Due to an unfortunate experiment, the gate to the demon world opens in the school. Using their magic kendo powers, the girls have to find portals to the demon world, defeat the demons, and restore peace in the school.

Makeruna! Makendō Z plays like a traditional Japanese RPG, with top-down navigation and random turn-based battles viewed from first-person perspective. The gameplay system is simplified even compared to other Japanese RPGs: game progression is strictly linear, and the girls cannot equip anything. They have, however, access to magic spells and various kendo techniques.

The game features anime-style movies and still shots. Every kendo technique, for example, is displayed as a full-screen anime-style picture."
"Sotsugyō: Graduation Real","Sotsugyou: Graduation Real","NTSC-J","","NEC Avenue, Ltd. | 																NEC Home Electronics, Ltd.","Headroom","1998-01-16","1","No","Life Simulation","Not Rated","A spin-off in the Sotsugyō/Graduation series, this game is just what its title implies: graduation with real people. Instead of anime-style portraits of school girls, there are pictures (and a few full motion videos) of real Japanese young women. Gameplay follows the same formula as the other graduation games: as a high school teacher, the player's task is to successfully lead five high school girls to their graduation. Most of the activities consist of making schedules, organizing classes, and giving assignments to the girls. It is necessary to know the strength and the weaknesses of each girl, in order to choose correct activities. The teacher supervises not only everything the girls do in the school, but also some of their activities during leisure time, including making plans for the holidays."
"Tenchi Muyou! Ryououki FX","Tenchi Muyō!: Ryō-ōki FX","NTSC-J","","NEC Interchannel","AIC Spirits | 																TamTam","1996-07-12","1","No","Adventure","Not Rated","Tenchi Muyō! Ryō-ōki FX includes Tenchi Muyō! Ryō-ōki with slightly better graphics (full-screen pictures instead of framed ones), and a whole new chapter, which is dedicated to officers of the Galaxy Police. The new chapter centers around the green-haired Hakua, who works for Mihoshi Kuramitsu, one of the game's main characters, and Detective Kiyone Makibi, Mihoshi's ex-partner."
"Wakusei Kōgekitai: Little Cats","Wakusei Kougekitai: Little Cats","NTSC-J","","NEC Home Electronics, Ltd.","Family Soft","1997-07-04","1","No","Strategy","Not Rated","The galaxy is threatened by robotic enemies from a remote space. In order to stop them, giant combat robots were deployed to a space station under the command of Colonel Goofy Reagan. The combat robots are navigated by the best pilots, which happen to be cute teenage girls. Since the Colonel is very busy, he needs somebody to watch over the girls and train them. This somebody would be Major David Lowe, the protagonist of the game...

Little Cats is somewhat similar to Sakura Taisen games, with adventure and dating elements reduced, and simulation elements added. David has to make schedules for the girls and decide how much and what exactly they should train. Running competitions, shooting range, robot navigation - everything can be trained, but at the expense of the girls' stamina, which means they will need to rest as well. During the simulation mode, it is also possible to wander around the space station and spend time with the girls.

The strategy part consists of navigating the robots over a battle field in turn-based fashion. The robots have a wide range of attacks, and it is possible to change their weapons and use items in combat. Once the robots attack each other, an automatic attack sequence is shown."
"Aa! Megami-sama!","","NTSC-J","","NEC Home Electronics, Ltd.","HuneX","1997-12-12","1","No","Adventure","Not Rated","The game is a remake of the computer game of the same name. It adds an animated intro, voice-overs, and two mini-games.

The story is based on the manga/anime series Ah! My Goddess, depicting the adventures of Keiichi, a Japanese teenager who accidentally summoned the Norse goddess Verdandi (misspelled ""Belldandy"" in the romanization) and made a wish for her to stay with him forever, which led to all kinds of troubles. What's more, other powerful beings out there are seeking to harm Keiichi's divine girlfriend, so a simple date ends in an unexpected way...

The game is a ""digital comic"", meaning that the adventure elements are reduced to the bare minimum: being able to choose dialogue lines or make other decisions from time to time. The mini-games are a timed exercise of putting puzzle pieces together, and a card-matching game against two female opponents."
"Akazukin Cha-Cha: Osawagase! Panic Race!","","NTSC-J","","NEC Home Electronics, Ltd.","NEC Home Electronics","1996-10-25","6","No","Board","Not Rated","The game is based on the manga Akazukin Cha-Cha (""Red Riding Hood Cha-Cha"") by Min Ayahana, and subsequently on the animated TV series that followed it. The manga tells the story of a little girl named Cha-Cha who lives with her teacher on a mountain and studies magic. In the anime, the story was expanded to include the villainous Demon King, whom Cha-Cha and her best friend Riiya, a werewolf boy, must eventually defeat.

Akazukin Cha-Cha: Osawagase! Panic Race! is a board game for up to six players. Each player corresponds to a character from the TV series. It is also possible to play just as Cha-Cha and to let the AI control the other characters. Each player advances on the board by throwing dice. Landing on different fields leads to different results: finding items, being attacked, etc. The game's strategy elements are expanded by giving each character unique statistics and abilities, that have to be used under special circumstances. Certain obstacles are only solvable if two or more characters gather on the same field.

Taking a cue from Battle Heat, ""Akazukin Cha-Cha"" accompanies every single move by an anime-style FMV."
"Albarea no Otome","","NTSC-J","","NEC Home Electronics, Ltd.","Gimmick House","1997-06-27","1","No","Strategy","Not Rated","In Albarea no Otome you play one of the three girls who were summoned to the castle of the Queen of Albarea to study fighting and magical arts (you can name your heroine as you like). As an additional reward - beside the graduation - you can try to impress and ultimately to win the heart of one of the five great knights of the kingdom. Your goal in the game is to make sure you become stronger and more charming than your two rivals, and to make a good impression on the Queen and the knights.

You must plan a schedule for your studies in castle. You can choose which classes to visit and which not. Learning increases your abilities (for example, attending magic class will make your spells more powerful). Once in a while you'll have to help one of the knights to fight monsters. The battles take place on an isometric battle field, on which you can freely move your characters and attack or use spells when there are enemies in range. Your goal in battles is not only to win, but to make sure the heroine does some attacking instead of letting the powerful knights do the job."
"Angelique Special","","NTSC-J","","NEC Home Electronics, Ltd.","KOEI Co., Ltd.","1995-12-22","1","No","Adventure | Strategy | Life Simulation","Not Rated","Angelique Special is an enhanced version of the original Angelique for Super Famicom (SNES). There are no changes gameplay-wise (a mixture of adventure, strategy, and dating sim) or story-wise (a simple girl named Angelique Limoges must befriend nine Guardians to become a queen). This version features slightly improved graphics, CD-quality music, voice acting, and anime-style cutscenes."
"Angelique Special 2","","NTSC-J","","NEC Home Electronics, Ltd.","KOEI Co., Ltd.","1996-12-20","1","No","Adventure | Strategy | Life Simulation","Not Rated","Following the events of the first Angelique game, Angelique Limoges has become the queen of Cosmos, and her former rival Rosalie - her aid. Now a whole new Cosmos has appeared, and it's time to choose a new queen for it. The candidates this time are Angelique Collet (the protagonist of the game) and Rachel Hart.

The gameplay system remains largely unchanged in this sequel. Once again, Angelique has to use diplomacy to make the Nine Guardians lend her their powers (making the inhabitants of her land happy), or develop stronger feelings for her. New in this sequel is the ability to work with three different instructors, developing mind, sense, or dignity of the heroine, which will influence the way she interacts with other characters and also affect the behavior of the Guardians."
"Angelique: Tenkū no Requiem","Angelique: Tenkuu no Requiem","NTSC-J","","NEC Home Electronics, Ltd.","KOEI Co., Ltd.","1998-04-02","1","No","Role-Playing","Not Rated","The first RPG entry in Angelique universe, adventure/dating simulation games specifically created for female players and revolving around young girls on a quest to become queens of various planets. Player takes the role of Angelique Collet, the heroine of Angelique Special 2. Angelique Limoges, the protagonist of the first game, and now the queen of Angelique Collet's home planet, is threatened by a mysterious man named Leviath. Her Guardians are imprisoned and her life is in danger. Angelique Collet must liberate the Guardians and save her homeland.

The game plays like a traditional Japanese RPG, with top-down view, turn-based battles, etc. However, the dating simulation element from other Angelique games is also present in this RPG. The heroine is able to have conversations with the male characters in her party. Depending on her answers and decisions, she will become involved with one of those characters."
