title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"After Burner","After Burner Complete","NTSC","United States of America","Sega of America, Inc.","Rutubo Games","1995-01-24","1","No","Action | Shooter","E - Everyone","After Burner Complete allows the player to control a F-14 Tomcat jet, which must destroy a series of enemy jets throughout 18 stages. At the start of the game, the player takes off from an aircraft carrier called the SEGA Enterprise, which shares a similar name to the one used in the 1986 film Top Gun."
"BC Racers","","Region Not Set","","Front Street Publishing","Core Design Ltd.","1995-10-19","2","No","Racing","","It’s pre-hysterical!  Millionaire playboy caveman Millstone Rockafella arranges a wild n’ wacky BC bike race, the winner of which receives the ultimate boulderdash bike.  Cool n’ crazy Cliff Ace has had his sunglasses set on a boulderdash bike since he was knee-high, so he signs up for the race - taking his cave-babe Roxy along for the ride!  The 32X pushes graphics to the limit with 256 colors for in-game graphics and full 24-bit for static display.  The stone-age never looked better!"
"Blackthorne","","Region Not Set","","Interplay Entertainment Corp.","Blizzard","1995-08-24","1","No","Action | Platform","T - Teen","Through the dark vastness of space, exiled prince Kyle Blackthorne returns to Tuul to avenge his murdered father and restore the shattered Lightstone.  The conqueror Sarlac opposes his vicious troops against the enraged prince.  But the evil lord will soon find out… an army is not enough against a single fierce fighter with a vengeance!"
"Brutal: Above the Claw","Brutal Unleashed: Above the Claw","Region Not Set","","GameTek, Inc.","GameTek, Inc.","1995-01-01","2","No","Fighting","T - Teen","Under the watchful eye of the great master Dali Llama, the worlds greatest martial artists would return to a place they knew well… Brutal Island.  Each will use their own unique mental and physical martial arts style and training, in a tournament to prove the worlds one true champion.

Brutal, Above the Claw, is a brilliantly rendered game of humorous cartoon style combat, combined with depth, philosophy, and an attention to detail not found in any other fighting game.

Go ahead and Unleash the Animal, it’s time to get Brutal."
"Corpse Killer","","Region Not Set","","Digital Pictures, Inc.","Digital Pictures","1994-01-01","1","No","Shooter","M - Mature 17+","Corpse Killer is a full-motion-video (FMV) shoot-'em up. It seems the evil genius Dr. Hellman has found a way to raise the dead and created an island of zombies. The player is an elite special forces soldier who has been parachuted onto the island; it is up to them to shoot their way through the undead hordes and stop Dr. Hellman.

The game is played from a first-person perspective. Various zombies pop up in front of a video background and the player must shoot them down either by moving a mouse cursor on screen or by using a light gun."
"Cosmic Carnage","","Region Not Set","","Sega","Almanic Corp.","1994-03-02","2","No","Fighting","T - Teen","What kind of un-be-leev-ably ugly monster is this? Chunks of armor fly off as you pound its body. This beefed-up, maxed-out monstrosity has jetted across the cosmos to beat your brains out! But is it the alien? Or is it YOU?"
"DarXide","","Region Not Set","","Sega","Frontier Developments Ltd.","1995-12-01","","No","Shooter","Not Rated","One of the last 32X games released (and exclusively in Europe), DarXide is a 3-D space shooter, inspired in part by the arcade gameplay of Asteroids. It is one of the few 32X games to used texture-mapped polygons.

Players control a lone starship rushing to destroy oncoming asteroids and alien vessels before they annihilate defenseless human miners and colonies. Asteroids break apart into smaller rocks, which much also be hunted down and destroyed. Aliens likewise arrive in larger, more dangerous vessels."
"Doom","","NTSC","United States of America","Sega | 																Sega of America, Inc.","id Software | 																Sega of America","1994-11-21","1","No","Action | Shooter | Horror","M - Mature 17+","The Union Aerospace Corporation has been experimenting with teleportation technology on Mars' moons Phobos and Deimos. After early successes, something goes wrong. It seems the scientists have opened a gateway straight to Hell. Phobos base is overrun with demonic creatures, and the whole of Deimos simply vanishes. A squad of marines is sent to Phobos, but all except one are quickly slaughtered. It falls to the surviving marine to grab some guns and strike back at the demons.

id Software's follow-up to their genre-defining Wolfenstein 3D, DOOM is another first-person 3D shooter: full-on action as seen from the space marine's perspective. Like Wolfenstein, the game consists of distinct episodes, playable in any order. The first episode, Knee-Deep in the Dead, takes place in the Phobos base and is freely available as shareware. The full game continues on Deimos in The Shores of Hell and culminates in Inferno, the final episode which takes place in Hell itself (the Sega 32x version lacks this episode).

The basic objective in each level is simply to reach the exit. Since dozens of enemies stand in the way, the only way to get there is by killing them. Switches and buttons must be pressed to advance at certain points and often color-coded locked doors will block the way - matching keycards or skull keys must be found to pass.

The game's engine technology is more advanced than Wolfenstein's, and thus the levels are more varied and complex. The engine simulates different heights (stairs and lifts appear frequently) and different lighting conditions (some rooms are pitch black, others only barely illuminated). There are outdoor areas, pools of radioactive waste that hurt the player, ceilings that come down and crush him, and unlike Wolfenstein's orthogonally aligned corridors, the walls in DOOM can be in any angle to each other. An automap helps in navigating the levels.

Stylistically, the levels begin with a futuristic theme in the military base on Phobos and gradually change to a hellish environment, complete with satanic symbols (pentagrams, upside-down-crosses, and portraits of horned demons), hung-up mutilated corpses, and the distorted faces of the damned.

DOOM features a large weapon arsenal, with most weapons having both advantages and drawbacks. The starting weapons are the fists and a simple pistol. Also available are a shotgun (high damage, slow reload, not good at distances), a chaingun (high firing rate, but slightly inaccurate in longer bursts), and a plasma rifle (combining a high firing rate and large damage). The rocket launcher also deals out lots of damage, but the explosion causes blast damage and must be used with care in confined areas or it might prove deadly to the player as well as the enemies. Two further weapons in the game are the chainsaw for close-quarter carnage, and the BFG9000 energy gun, which while taking some practice to fire correctly, can destroy most enemies in a single burst. The different weapons use four different ammunition types (bullets, shells, rockets, and energy cells), so collecting the right type for a certain gun is important.

The game drops some of Wolfenstein's arcade-inspired aspects, so there are no extra lives or treasures to be collected for points, but many other power-ups are still available. Medpacks heal damage while armor protects from receiving it in the first place. Backpacks allow more ammunition to be carried, a computer map reveals the whole layout of the level on the automap (including any secret areas), light amplification visors illuminate dark areas and radiation suits allow travel over waste without taking damage. Also available are berserk packs (which radically increase the damage inflicted by the fists) as well as short-time invisibility and invulnerability power-ups.

The enemies to be destroyed include former humans corrupted during the invasion, plus demons in all shapes and sizes: fireball-throwing imps, floating skulls, pink-skinned demons with powerful bite attacks, and large one-eyed flying monstrosities called Cacodemons. Each episode ends with a boss battle against one or two, particularly powerful creatures.

DOOM popularized multiplayer in the genre with two different modes: Cooperative allows players to move through the single-player game together, while Deathmatch is a competitive game type where players blast at each other to collect 'frag' points for a kill and re-spawn in a random location after being killed.

The 3DO and Sega32x ports lack any multiplayer modes, though the other ports retain the DOS versions multiplayer to varying degrees. The various console ports all feature simplified levels and omit some levels, enemies, and features from the original DOS release. The SNES and Gameboy Advance versions of the game actually use different engines and hence feature numerous small gameplay differences."
"Doom 32X Resurrection","","Other","","Self-Published","id Software","2021-10-17","1","Yes","Action | Shooter","M - Mature 17+","This patch completely replaces the original engine, adding performance improvements and new features, as well as missing levels from the Jaguar port. The goal of the project is to have a code base from which a playable version of DOOM for the Sega 32X platform could be compiled. It is primarily focused on preservation and education but also on fixing the original game's idiosyncrasies and improving performance."
"Fahrenheit","","NTSC","United States of America","Sega | 																Sega of America, Inc.","Infogrames | 																Sega | 																SEGA Studios USA | 																T.L.A. Developments","1995-04-01","1","No","Action | Adventure","T - Teen","Fahrenheit is an interactive movie that puts players into the flame-resistant suit of a firefighter. You are the new guy in the firehouse. Last week, you saved three lives. But now, you're on a new squad, and have to prove yourself to them.

 Like most interactive movies, Fahrenheit is played entirely while watching a digitized video. At certain critical points in the video, players must press certain directions on the control pad or action buttons in order to progress in the game. Fahrenheit takes this a step further by providing several buildings in which the player has the ability to move from room to room in in a non-linear fashion. As players move from room to room, they have to locate victims and neutralize fire hazards."
