title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"240p TestSuite Sega Mega-CD","240p TestSuite Sega-CD US | 240p TestSuite Sega Mega-CD EU | 240p TestSuite Sega Mega-CD JP","Other","","","","2011-01-01","1","No","Utility | Unofficial","Not Rated","240p Test Suite
===============================================================================
For full documentation and source code, please visit:
http://junkerhq.net/xrgb/index.php/240p_test_suite
===============================================================================

The 240p test suite is a homebrew software suite for video game consoles 
developed to help in the evaluation of upscalers, upscan converters and 
line doublers.

It has tests designed with the processing of 240p signals in mind, although
when possible it includes other video modes and specific tests for them. 
These have been tested with video processors on real hardware and a variety
of displays, including CRTs and Arcade monitors via RGB.

As a secondary target, the suite aims to provide tools for calibrating colors,
black and white levels for specific console outputs and setups. 

This is free software, with full source code available under the GPL.


Sega CD/Mega CD:
----------------
This version has the exact same specs as the Genesis one, but you only
need a CD-R to run it. The program is fully loaded to the system RAM after
startup."
"3 Ninjas Kick Back","","Region Not Set","","Sony","Malibu Interactive","1994-06-01","2","No","Platform","E - Everyone","You must help an old samurai to retrieve a dagger he once got as an award for his achievements in martial arts. The dagger was stolen by somebody who envied the old warrior - now he cannot give this prize to the warriors of the next generation. Choose one of the three young ninjas to help the old man!

This is a traditional platform game based on the movie 3 Ninjas Kick Back. Each one of the three ninjas has unique weapons and abilities. All three of them can run, duck, crawl, climb, jump, and hang on trees, ropes, etc. You'll encounter many obstacles and enemies, both regular and boss-like, which you'll have to overcome and defeat."
"3 Ninjas Kick Back / Hook","","Region Not Set","","Sony","Malibu Interactive","1994-02-01","2","No","Action | Adventure","","3 Ninjas Kick Back

In this action-packed adventure, you become any one of the 3 Ninjas as you skateboard, hang glide and kick your way through forests, Japanese gardens and into a whole lotta trouble. And that's when the fun begins.

FEATURES
- Wild first-person skateboarding and hang gliding levels.
- Grandfather Mori provides encouragement and tips throughout the game.
- Interact with various items throughout your quest and use them to your benefit.
- Over 12 huge action-packed areas with dozens of secret rooms to discover.

Dangerous skateboarding levels in first-person perspective.
Incredible hang gliding sequences so real your knuckles will turn white.
Each level packed with stunning graphics and awesome bosses!

Hook

You've just boarded Hook's Ship. Your blood's pumping and a chill races down your spine. You're about to do battle with the most famous pirate of them all. As Peter Pan, this is the adventure of your life and it's jam-packed with fights and incredible flying scenes that take you through twelve intense levels and ends with your deadly duel against Hook himself.

FEATURES
- Brilliant action, game play and graphics of the classic 16-bit game.
- Spellbinding audio narrative.
- CD-quality music from the film soundtrack.

Flying's your greatest power, but keep your eye on the flight meter
Here's your chance... you've got him where you want him
Incredible digitized scenes from the blockbuster motion picture"
"A-Rank Thunder Tanjouhen","","Region Not Set","","Riot","Telenet Japan","1993-06-25","","No","Adventure","","A-Rank Thunder Tanjouhen (Aランクサンダー 誕生編?) is a adventure game released in 1993 on Mega-CD. The game was developed by Riot and released by Telenet. The game's cover art was created by Yasushi Nirasawa, in his position as a model-builder for Hobby Japan magazine."
"A/X-101","AX-101","NTSC-J","","Absolute Entertainment","Micronet Co. Ltd.","1994-03-25","1","No","Shooter","Not Rated","In the future date of 2500, mankind has reached its zenith in space travel and peace. However, after making contact with alien life for the first time, Earth is soon attacked and nearly conquered by a war-driven alien race called the Gurzons. The Earth's Defense Force discover the Gurzon's enemy resides on the distant alien planet Prism, who made contact with Earth as a warning against the oncoming Gurzon invasion. Further investigation leads to the discovery of a computer upgrade system located on Prism called the A/X-101, a weapon program that promises to liberate Earth from the Gurzon's grip. Earth Defense sends four of its best fighter pilots - Bob, Kelly, Chris and their Captain (the player) - to travel to Prism, retrieve the A/X-101 and use it against all of the Gurzon's planetary bases.

The game is an on-rails shooter, with gameplay seen from a first-person cockpit perspective. The player's ship moves automatically through pre-rendered space and planetary environments and only the targeting crosshair can be moved freely. Laser Cannons and Fusion Warheads are available to hit the numerous enemies. Lasers have unlimited ammunition but need a few moments time to recharge. The warheads function as smart bombs and clear the screen of enemies, but are available only in limited supply. They are restocked when reaching a certain score. The ship's energy shield functions as a life bar.

Between the shooting levels, there are transitional cutscenes, pre-rendered in the same way as the actual gameplay."
"Advanced Dungeons & Dragons: Eye of the Beholder","","Region Not Set","","Sega","Westwood Studios, Inc.","1994-06-29","1","No","Role-Playing","Not Rated","Eye of the Beholder is a dungeon crawler RPG with a first-person perspective based on the 2nd Edition AD&D rules. The starting party consists of four characters and up to two NPCs can join later. Combat and magic happen in real time. Fight over a dozen different monster varieties and cast over 40 spells. A point-and-click interface makes exploring, fighting, spellcasting and handling objects easy."
"After Armageddon Gaiden: Majuu Toushouden Eclipse","","Region Not Set","","Sega","Micro Design | 																Pandora Box","2016-11-11","1","No","Role-Playing","","After Armageddon Gaiden: Majuu Toushouden Eclipse (アフターハルマゲドン外伝 魔獣闘将伝エクリプス) is an RPG for the Sega Mega-CD"
"After Burner III","","NTSC-U","United States of America","Sega","CRI","1992-04-17","1","No","Shooter | Vehicle Simulation","E - Everyone","You're strapped into the Navy's fiercest jet fighter-the F-14 Tomcat. Kick in the afterburner to outrun deadly cannon fire ""hot on your six."" Pull up hard...lock and launch! Roll 360 degrees to blow desert tank patrols, radio towers, and missile sites into oblivion."
"AH-3 Thunderstrike","Thunderhawk","Region Not Set","","Core Design Ltd.","Core Design Ltd.","1993-11-01","1","No","Shooter | Flight Simulator","Not Rated","AH-3 Thunderstrike is a helicopter sim/shooter. You will pilot the AH-3 over 10 operations all over the world. Each operation is composed of several missions, such as destroying tanks, or destroying bridges, or escorting trucks, and so on.

Thunderstrike's graphics consist of scaled sprites arranged to create a 3D environment. It makes use of the Sega CD's scaling and rotation hardware to create this effect with a smooth frame rate."
"Aisle Lord","","Region Not Set","","Telenet Japan Co., Ltd.","Wolf Team","1992-05-29","1","No","Role-Playing","","Aisle Lord (アイルロード) is a Sega Mega-CD dungeon RPG released exclusively in Japan."
