title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"18 Wheeler: American Pro Trucker","","NTSC-U","United States of America","Acclaim Entertainment, Inc. | 																Sega","Sega AM2 R&D Division","2001-05-22","2","No","Action | Racing","E - Everyone","The main purpose of the game is to make it to the finish line with the truck's cargo. Players are given a set amount of time, but can ram into special vans that will add three seconds to the timer. There are several characters to choose from, each with a unique truck and attributes.

The game starts out in Key West and players travel across the United States, ending in San Francisco. After Stage 1, the game gives the player a choice of trailer. One trailer is harder to haul, but provides a bigger payoff while the other choice is easier to haul but provides a smaller payoff. Money is deducted from the total when the trailer is hit. Players can sound the truck's horn to make other cars on the road yield and slipstream behind large vehicles to gain a momentary speed boost.

In addition to the time limit, players also compete with the ""Lizard Tail"", a rival trucker. Crossing the finish line before the Lizard Tail yields additional money. In between levels, players can park the truck in a mini game to earn more cash."
"21: Two One","","NTSC-J","Japan","Princess Soft","Princess Soft","2001-12-27","1","No","Adventure","E - Everyone","21: Two One is a Japanese murder mystery visual novel developed by BasiL, it was first released as an adult PC game for Microsoft Windows on May 25, 2001. 21: Two One was later released for the Dreamcast by PrincessSoft on December 27, 2001. The game is the second installment by BasiL, and after the completion of 21: Two One, BasiL went on to create their third and final eroge, Cherry Petals Fall Like Teardrops, before forming a new company called Navel. The story follows a young man called Takuya Kirishima, who is a talented surgeon and works in a hospital with his childhood friend Seri Sakaki, however, one day a murder is committed at the hospital, and Takuya tries to solve the mystery. Gameplay in 21: Two One offers branching plot lines, and a multi-choice navigation, where the player can attain multiple endings."
"240p Test Suite [VGNYsoft Edition]","240p Test Suite for Sega Dreamcast [VGNYsoft Edition]","NTSC-U","United States of America","VGNYsoft","","2023-05-30","1","No","Utility | Unofficial","Not Rated","Hello, game lovers do you like to play games? Let's check out the 240P TEST SUITE Sega Dreamcast, an essential tool for retro gaming enthusiasts and Sega Dreamcast collectors with a comprehensive suite that allows you to optimize and fine-tune your gaming experience to perfection.

The 240P TEST SUITE is specifically designed for Sega Dreamcast consoles, enabling you to test and calibrate your display settings to achieve the best possible video quality. Whether you're using a CRT or modern display, this suite provides a wide range of essential tests and tools to ensure optimal performance, including resolution tests, color calibration, geometry adjustment, and much more.

Experience your favorite Sega Dreamcast games in their full glory with the 240P TEST SUITE. Unlock the true potential of your console and enhance your gaming setup with unparalleled visual fidelity.

Take your retro gaming journey to the next level with this indispensable tool. Don't miss out on the opportunity to optimize your Sega Dreamcast gaming experience and relive the nostalgia of classic gaming with the 240P TEST SUITE.

* A physical U.S. edition was made available from publisher VGNYsoft on May 30th, 2023.

Features:
- BASED ON THE LATEST BUILD.
- Dreamcast Exclusive Features.
- NEW Controller test modes!
- Video test modes! 
- Audio test modes! 
- Compatible with Composite,  S-Video, RGB-21/SCART, VGA, and HDMI cables.
- Illustration by Jose Salot.
- REGION FREE.

** New games for the Dreamcast system are produced with the leading standard of the industry. Using media production factories, high-quality packaging, and professional printers to create products just like they were released in 1999! While these games are not licensed or endorsed by Sega, they are Licensed by the software rights holder and manufactured on to media for consumer products and not knockoffs or burned CD copies. This is produced on MIL-CD, while the majority of Dreamcast consoles are compatible with MIL-based media some of the units in the very last productions are unable to read the media. This can be identified by reading the production date information system label on the underside of the console. Units with a production date on or after November 2000 may not be compatible with this product."
"240p TestSuite Dreamcast","","Other","","","","2011-01-01","1","No","Utility | Unofficial","Not Rated","240p Test Suite
===============================================================================
For full documentation and source code, please visit:
http://junkerhq.net/240p/
===============================================================================

The 240p test suite is a homebrew software suite for video game
consoles developed to help in the evaluation of upscalers, upscan
converters and line doublers.

It has tests designed with the processing of 240p signals in mind,
although when possible it includes other video modes and specific
tests for them.  These have been tested with video processors on
real hardware and a variety of displays, including CRTs and Arcade
monitors via RGB.

As a secondary target, the suite aims to provide tools for
calibrating colors, black and white levels for specific console
outputs and setups. 

This is free software, with full source code available under the GPL.

Sega Dreamcast:
---------------
This version includes more options, but the core functionality for 240p is
the same. No special hardware or modifications are needed, it will
run on any MIL-CD compatible Dreamcast after burning the CDI image 
(discjuggler format). It was coded using KallistiOS and some functionality from
parallax (font support)."
"2D House of Terror","","Other","","2D-Retroperspectives","2D-Retroperspectives","2012-05-04","4","No","Puzzle | Horror","T - Teen","At 2D-Retroperspectives we are great fans of old horror movies from the 30s-80s. Vampires, werewolves, zombies and anything related to the field of horror is something we love, however dont confuse this with lame splatter and gory violence. What we love is the classic and mystic side of the genre. For example not knowing what will await you around the corner or being afraid of shadows on your wall at night. 2D HoT (as we like to shorten it) is essentially a very experimental game, due to it being the final university project of one of our team-members. Its basically the result of a mixture you get by combining a theme we love with a game genre that allowed us rather fast design and implementation. We are just telling you this for a better understanding of what this was really all about. Enough background information and on with the game description. 2D House of Terror is horror-themed party game which combines the concept of hits(e.g. Nintendos Mario Party), with typical themes of the genre. If you wish to enjoy a screamfull evening with lots of fun, this is for you! Battle your friends with mindblasting scores in random mode or test your strength whilst watching the compelling narrative background in story mode."
"4 Wheel Thunder","","PAL","","Midway Games","Kalisto Entertainment","2000-06-09","2","No","Racing","E - Everyone","4 Wheel Thunder is a racing game developed by Kalisto Entertainment and published by Midway Games. While the game had been in development for some time prior as a separate title, it was eventually decided to rebrand the game into Midway's Thunder series.

4 Wheel Thunder is the off-road racing sequel to the power-boat racing game Hydro Thunder.

In this game, players race around two types of courses; huge outdoor tracks and smaller indoor tracks. All in all, there are 24 areas in which to race, including various day/night and rain/sunshine variations. The game includes the standard championship, practice race, and two player modes.

The Thunder series of games is unique in that the key to winning the race lies not in careful steering and braking, instead focusing more in finding the boost power-ups that lie around the tracks. Each boost icon adds a few seconds of time to your boost meter. The player then can press a boost button to increase the speed of the truck dramatically. Without using boost power-ups, the player has no chance of winning a race."
"4x4 Evolution","4x4 EVO","NTSC-U","United States of America","Gathering of Developers","Terminal Reality, Inc.","2000-10-31","4","No","Racing","E - Everyone","4x4 Evolution (also known as 4x4 EVO, codenamed Metal Crush 3) is a video game developed by Terminal Reality for the Windows, Macintosh, PlayStation 2 and Dreamcast platforms. It is one of the first console games to have cross-platform online play where Dreamcast, Macintosh and PC versions of the game appear online at the same time. The game can use maps created by users to download onto a hard drive, as well as a Dreamcast VMU. All versions of the game are similar in quality and gameplay, although the online systems feature a mode to customize the players' own truck and use it online. The game is still online-capable on all systems except for PlayStation 2."
"4X4 Jam","","Other","","JoshProd","Invictus Games","2017-11-01","1","No","Racing","RP - Rating Pending","4x4 Jam is an all-terrain off-road racing game featuring a Quick Race mode and a Career mode.

The Career mode features thirty-two different event challenges for the player to partake in. The events come in one of four different types, Off-Road Races, Road Races, Collector Races (where all the competitors try to locate and collect the most randomly placed icons scattered around the map), and Jam Races (where opposing vehicles rush against each other to randomly appearing checkpoint gates). Winning or placing in these events earns the player money which can then be spent on entry fees to other events and also can be used to purchase new vehicles.There are several vehicles to choose from such as the Land Raider and Wrecker and each vehicle comes with four different paint jobs options, Completing events in the Career Mode unlocks vehicles, map terrain types, and race types for use in Quick Race mode. In Quick Race mode, players are free to pick a map, race type, and vehicle of their choosing. It also introduces a Free Roam mode where the player can just drive around in a non competitive format."
"90 Minutes: Sega Championship Football","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega Europe","Sega | 																Smilebit","2001-10-25","4","Yes","Sports","E - Everyone","90 minutes is a traditional action football game, featuring 7 leagues (England, France, Germany, Italy, Spain, plus an assortment of clubs from around the world) and national teams. While there are no team licenses, most players feature real names and there's also a player and team editor, allowing to change name and number of players, who's in each national team, as well as creating teams from scratch, including its players.

Gameplay follows the norms of the genre - A to pass, B to throw a high lob, X to shoot, Y to change players, with the triggers to perform modifiers (though passes and lob shots) and sprint, although these can all be changed in the options. The player can also assign special tactics to each direction on the d-pad to adapt quickly according to the flow of the game.

Game modes include the usual - World Championship (based on the world cup), as well as national leagues and cups (as well as a customizable cup), with secret teams waiting to be unlocked by those who win them, exhibition and training. Options are also the usual on these kind of games - change half lenght (3,5 or 10 minutes), opponent level and game speed. At gametime, players can also choose the weather, time of day, and between 10 cameras. There are six stadiums to choose from, inspired by venues such as the old Wembley Stadium, the Nou Camp or the ArenA in Amsterdam."
"Advanced Daisenryaku 2001","アドバンスド大戦略2001","NTSC-J","Japan","Sega","Chicken Head | 																SystemSoft","2001-04-26","4","No","Strategy","E10+ - Everyone 10+","Advanced Daisenryaku 2001 is a World War II strategy game, sequel to the game Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen. Both games run on Sega's Dreamcast system. Advanced Daisenryaku 2001 fixed some bugs and moderately improved the graphics of Europe no Arashi and as such it is less of a sequel and more of a fix."
