title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"5 In One FunPak","5 in One: Backgammon Cheekers Chess Reversi Yacht","Region Not Set","","Interplay Entertainment Corp.","Beam Software","1994-01-01","2","No","Strategy","E - Everyone","5 In One Fun Pak is a Board game, developed by Beam Software and published by Interplay, which was released in 1994."
"Aa Harimanada","","Region Not Set","","Sega","Sega","1993-07-02","1","No","Fighting","Not Rated","Aa Harimanada (ああ播磨灘) is a 1993 sumo wrestling game by Sega for the Sega Game Gear and Sega Mega Drive made to tie into TV Tokyo's Aa Harimanada anime.

The game is a typical fighting game with various button combinations doing something different. The Mega Drive version has a password system and a two-player versus mode."
"Adventures of Batman & Robin","","Region Not Set","","Sega","Novotrade International","1995-05-26","1","No","Action","","Break out your Batarang! When the scum of Gotham City decide they want to take over, it's no joke... Or is it? The Joker and his cohorts kidnap Robin as the perfect bait to lure Batman. You can bet that the Dark Knight is going to be up to his ears
in hard-hitting combat before this episode is over!"
"Aerial Assault","","NTSC-U","United States of America","Sega of America, Inc.","Shimada Kikaku","1992-06-05","2","Yes","Action | Shooter","E - Everyone","A terrorist group has the world in the grips of its massive aerial fleet. And you were once part of it. But they've gone too far. So now, along with a small group of renegades, you lead a counterattack. Blast bombers into oblivion. Knock cargo jets out of the skies. And destroy terrorist fighter planes. One by one. Stop them from bombing cities. Catch them as they fly through ozone-level lightning storms. And surprise them as they hide out in bubbling lava fields. They've even started to stake out mega-sectors of outer space. Head them off. They've got you outnumbered. But, you've got their techno-weaponry. And you've got something worth fighting for: FREEDOM.

• Fly the world's most powerful combat craft against the most ferocious of adversaries.
• Pick up power-ups for speed, shielding, and high-tech weaponry.
• Attack with homing devices, missiles, projectile pacers, 3-way explosives, and much more.
• Four challenging levels with changing hazards and unique enemy techniques.
• The 2 player option puts you head-to-head against a friend with the Gear-to-Gear Cable."
"Alien 3","Alien³","Region Not Set","","Arena Entertainment","Probe Entertainment","1994-01-01","1","No","Action","","The ALIENS are fast, spit acid and are right behind you! The motion tracker is your only warning. No time to think, no time to catch your breath... RUN! Can't see very far ahead in these air ducts. Hard to breathe. Face-huggers can be anywhere. You have the firepower... blast the ALIENS with your machine gun, flame thrower and grenade launcher. You know what you have to do... rescue the trapped prisoners and end this nightmare! Just keep telling yourself, ""This isn't really happening. It's only a game!!!"""
"Alien Syndrome","","Region Not Set","","Sega","SIMS Co., Ltd.","1992-01-01","","No","Action","","The extra-terrestrials in this game are anything but friendly. They're slimy monsters that are holding space colonists captive aboard seven alien starships. This super action game challenges you to free the helpless hostages. Search each ship's deadly levels, using flamethrowers and laser cannons to vaporize alien scum. Look for maps to help you find your way. After you've saved all the captives from one ship, you must destroy its powerful leader before you can move on to the next ship. Remember, to the aliens, you're slime. And they want you good... and dead!"
"Andre Agassi Tennis","","Region Not Set","","Sega","Spidersoft","1994-01-01","","No","Sports","E - Everyone","Andre Agassi Tennis is a Tennis game, developed by Spidersoft and published by Sega, which was released in 1994."
"Arcade Classics","","Region Not Set","","Sega","Al Baker & Associates","1996-01-01","","No","Action","E - Everyone","Arcade Classics is a Compilation game, developed by Al Baker and Associates and published by Sega, which was released in 1996."
"Arch Rivals","","Region Not Set","","Flying Edge, Inc.","Arc Developments","1992-01-01","","No","Sports","","The real arcade action between the Arch Rivals is really hot, 'cause tonight there's no fouls! WHAT?! NO FOULS? That's right. No Fouls. This is basketball where breaking the rules is part of the rules! If you can't block a shot - knock your opponent's block off. Arch Rivals also takes real skills like passing, shooting, dribbling, ball handling, slam dunks, and 3 point shots. It's not just basketball... it's basketBRAWL!"
"Arena: Maze of Death","Arena","Region Not Set","","Sega","Eden Entertainment Software","1996-01-01","1","No","Shooter","E - Everyone","An evil government has trapped you in a futurustic labyrinth! Fight your way through urban mazes in pursuit of hidden keys... the keys to expose the government's corruption."
"Asterix and the Great Rescue","Astérix and the Great Rescue","Region Not Set","","Sega","Core Design Ltd.","1994-10-28","1","No","Action","Not Rated","Now take the adventures of ancient France with you everywhere! The popular, European character, Asterix and his buddy Obelix set out on a crusade across the Roman Empire to rescue their friends and defeat Caesar.

-Play either Asterix or Obelix - each with their own wacky powers! Your special powers may prove you very worthy.

-Clobber the Roman soldiers with fists of fury. Conquer obstacles with magic potions and tricks. Outwit and negotiate through sticky situations!

-Walk with caution through the Village of Gaul, enter the gates of the Roman fort, and travel the waters of the high seas... journey through 30 levels of Roman adventure!"
