title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"FIFA International Soccer","","PAL","United Kingdom of Great Britain and Northern Ireland","Electronic Arts","Electronic Arts","1993-07-15","1","No","Sports","Not Rated","FIFA International Soccer is a 1993 sports video game developed by EA Canada's Extended Play Productions team and published by Electronic Arts. Based on the sport of association football, the game tasks the player with controlling a football team. The game was released for the Sega Mega Drive console in December 1993 and ported to numerous other systems in 1994.

The game was positively received on release; critics lauded the detail and animation of the footballers in the game, the crowd sound effects and the overall presentation. The speed the game ran at and issues with the response to the player's input were seen as the game's primary faults. The game sold well, served as a pack-in game for the Goldstar 3DO,[1] and led to a sequel, FIFA Soccer 95. It was the first game in the FIFA series."
"10 Games in 1","","NTSC","United States of America","","","2015-02-11","2","No","Action | Fighting | Platform","Not Rated","Multi-cart bundled with ATGames' SEGA Genesis."
"10 Super Jogos","Mega Games 10 | Sega Top 10","NTSC-U","Brazil","Tec Toy Indústria de Brinquedos S.A.","Sega","2002-01-01","2","No","Action | Racing | Sports | Platform","T - Teen","Mega Games 10 is a compilation of ten Sega Mega Drive games. It has thus far only been released in Brazilian and Asian markets.

In Brazil, the game was released twice. Once as Sega Top Ten, which was bundled with a model of the Tectoy Mega Drive III, and later as a stand-alone release as 10 Super Jogos."
"16 Tiles Mahjong","16 Zhang Mahjong","NTSC-J","Japan","Sun Green Technology","City Man Technologies","1992-01-01","1","No","Puzzle | Strategy","M - Mature 17+","16 Tiles Mahjong is a Board game, developed by City Man Technologies and published by Sun Green Technology, which was released in Asia in 1992."
"16 Zhang Mahjong II","16 Tiles Mahjong II","NTSC-J","Japan","","Gamtec","1993-01-01","1","No","Puzzle","Not Rated","16 Zhang Mahjong II (十六張麻將 II) is an unlicensed pornographic mahjong game for the Sega Mega Drive. It is the sequel to 16 Zhang Mahjong."
"16Bit Rhythm Land","","NTSC","United States of America","Columbus Circle","","2019-02-21","1","No","Music","Not Rated","16Bit Rhythm Land  is a 2019 rhythm game for the Sega Mega Drive by Columbus Circle. It is part of the 8bit Power series previously released on the Famicom, and is the first game in the series for a 16-bit console, as well as with gameplay elements. A Famicom companion game titled 8Bit Rhythm Land was released on the same day.

The game features music from acclaimed video game musicians Yuzo Koshiro and Manabu Namiki among others."
"16t","16T | 16","NTSC-J","Japan","Sega","Sega","1991-01-01","1","No","Action","Not Rated","16t is a 1991 action game for the Sega Mega Drive by Sega released exclusively on the Sega Game Toshokan service (and on the various compilations that package such games).

You play as a computer programmer who goes into his bugged program to debug it by squishing the bugs with 16-ton weights. Levels are a series of platforms that wrap around both horizontally and vertically. A and C jump and B throws a 16-ton weight. You can only throw a certain number of weights at a time; the number is shown at the bottom of the screen. The level ends when you crush all the enemies. Getting crushed or getting hit once causes you to lose a life."
"2020 Nen Super Baseball","Super Baseball 2020","NTSC-J","","Electronic Arts","NuFX","1994-03-03","2","No","Sports","Not Rated","Different from real baseball and other baseball video games, this game consists of both male and female characters, as well as robots. All three types of players have the same basic abilities and vary only on their personal strengths. In many cases, human players are better than their robot counterparts. One major difference between the human and robot characters is that the robot characters can blow up (or lose all their power) if they are worked too hard during a game. That can happen if you constantly make them dive for a ball, run extra bases, or even if they get hit by a pitch. Under no stress whatsoever, some robots, especially pitchers, will naturally run out of power as the game progresses. When this happens, they will lose all their abilities and be useless, both offensively and defensively. When that occurs, you can either power them up or replace them with another person on the roster. Human players do not blow up, but human pitchers can tire out. When they are tired, they will pant heavily and throw the ball very slowly. This can be remedied by either an upgrade or, as in real baseball, switching to a relief pitcher."
"240p Test Suite","","Other","","","","2011-01-01","1","No","Utility | Unofficial","Not Rated","240p Test Suite
===============================================================================
For full documentation and source code, please visit:
http://junkerhq.net/240p/
===============================================================================

The 240p test suite is a homebrew software suite for video game
consoles developed to help in the evaluation of upscalers, upscan
converters and line doublers.

It has tests designed with the processing of 240p signals in mind,
although when possible it includes other video modes and specific
tests for them.  These have been tested with video processors on
real hardware and a variety of displays, including CRTs and Arcade
monitors via RGB.

As a secondary target, the suite aims to provide tools for
calibrating colors, black and white levels for specific console
outputs and setups. 

This is free software, with full source code available under the GPL.

Sega Genesis/Mega Drive:
------------------------
It was developed using the SGDK, it was the first version
of the 240p Test Suite and is fully coded in C. In order to run it, we 
recommend a Mega Everdrive flash cartridge, or the older Tototek one. The 
Genesis resolution is 320x224 and is being used fully, in NTSC (60hz)."
"3 Ninjas Kick Back","","NTSC-U","United States of America","Sony Imagesoft","Malibu Interactive | 																Psygnosis","1994-06-01","2","Yes","Action | Platform","Not Rated","3 Ninjas Kick Back follows 3 young ninja  brothers, Rocky, Colt and Tum-Tum as they assist an old Samurai in retrieving a prized dagger which has been stolen by his rival. The dagger, once given to the Samurai as a reward, will be passed along to younger generations once it is restored to its rightful owner. The boys learn ninjitsu and karate as they fight evil forces that are older, more powerful, and bigger than them."
