title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"20 em 1","","Region Not Set","","","Atari Games","1997-01-01","1","No","Action | Sports","","20 em 1 (20 in 1) is a compilation of twenty previously unreleased games in a single cartridge, which came bundled with Tec Toy's Master System III Compact (Master System II in Europe and US).

The game has only two songs, one played at the title screen, the other played during all gameplay. All the text in the game is in Portuguese."
"4 PAK All Action","","PAL","Australia","HES Interactive","HES","1995-01-01","2","No","Action","E - Everyone","4 PAK All Action for the Master System, published in small quantities in Australia by HES in 1995. This 8 megabit multi-game cartridges contains 4 original Korean games developed for the Master System by Open. Some of them were previously known, but the versions in 4 PAK All Action were localized for an English-speaking audience and bear different names. 

Titles Include:

Adventure Kid:   A clear unlicensed clone of later Adventure Island games (iterations of Wonder Boy) using a legacy SG-1000 video mode (not smooth scrolling alas, but the game plays relatively well).

Power Block:   Previously known as Suho Jeonsa (수호전사), this is its English localization.

Twin Mouse:  An original platformer.

Cave Dude:  Previously known as Toto World 3 (토토 월드３), also an English localization of the game.

Note:  Only supported on a few emulators so far (MEKA and MESS)."
"94 Super World Cup Soccer","","Region Not Set","","Daou Infosys Corp.","Open Corp","1994-06-01","1","No","Sports","Not Rated","94 Super World Cup Soccer is a Sports game, developed by Open Corp and published by Daou, which was released in Korea in 1994."
"Ace of Aces","","Region Not Set","","Sega","Artech Studios","1991-01-01","1","No","Flight Simulator","","Ace of Aces is a 1st person, 2D flight simulation. You're onboard a British RAF Mosquito, maverick fighter bomber. Your mission? Stop enemy trains, intercept the terrible german V-1 buzz bombs, sink the german U-boats and down the Nazi bombers. Are you ready for this challenge?"
"Action Fighter","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Sega","1986-08-17","2","No","Racing | Shooter","E - Everyone","Take the motorcycle from ”Hang On,”” equip it with hi-tech weaponry and give it the ability to transform itself into an aircraft or car and you've got Action Fighter!"
"Action Fighter","","PAL","Germany","Sega","Sega","1986-08-17","1","No","Racing | Shooter","E - Everyone","Take the motorcycle from ”Hang On,”” equip it with hi-tech weaponry and give it the ability to transform itself into an aircraft or car and you've got Action Fighter!"
"Aerial Assault","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega Europe","Sanritsu | 																Sega R&D2","1990-12-01","1","No","Action | Shooter","E - Everyone","In Aerial Assault, you play the Freedom Fighter who must destroy five targets, including the Vinsk, CB-53 Bomber, ""El"", and two cliff fortresses. During each of the five missions, you will encounter enemy jets, choppers, submarines, jeeps, parachute bombs, and several other enemies in which you must destroy. Shooting either the spinning fighters or the small flying helicopters will earn you a power-up that allows you to upgrade or downgrade your firepower. There are three difficult settings: ""Easy"", ""Normal"", and ""Hard"". You will not be able to complete the game if you select the ""Easy"" setting."
"Aerial Assault (USA)","","NTSC","United States of America","Sega of America, Inc.","Sanritsu | 																Sega R&D2","1990-10-01","1","No","Action | Shooter","E - Everyone","In Aerial Assault, you play the Freedom Fighter who must destroy five targets, including the Vinsk, CB-53 Bomber, ""El"", and two cliff fortresses. During each of the five missions, you will encounter enemy jets, choppers, submarines, jeeps, parachute bombs, and several other enemies in which you must destroy. Shooting either the spinning fighters or the small flying helicopters will earn you a power-up that allows you to upgrade or downgrade your firepower. There are three difficult settings: ""Easy"", ""Normal"", and ""Hard"". You will not be able to complete the game if you select the ""Easy"" setting."
"After Burner","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1988-03-01","1","No","Action | Shooter | Flight Simulator","E - Everyone","The game allows the player to control a F-14 Tomcat jet which must destroy a series of enemy jets throughout 18 stages. At the start of the game, the player takes off from an aircraft carrier called the Sega Enterprise, which shares a similar name to the one used in the 1986 film Top Gun."
"After Burner","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Sega","1987-12-12","1","No","Action | Shooter | Flight Simulator","E10+ - Everyone 10+","The game allows the player to control a F-14 Tomcat jet which must destroy a series of enemy jets throughout 18 stages. At the start of the game, the player takes off from an aircraft carrier called the Sega Enterprise, which shares a similar name to the one used in the 1986 film Top Gun."
"Agi Gongyong Dooly","The Dinosaur Dooley | 아기공룡 둘리","NTSC-K","Korea (Republic of)","Innovation Tech","Daou Infosys Corp.","1991-01-01","1","No","Action | Shooter","Not Rated","The Dinosaur Dooley is a Shoot-'Em-Up game, developed by Daou and published by Innovation Tech, which was released in Korea in 1991."
"Air Rescue","","Region Not Set","","Sega","SIMS Co., Ltd.","1992-01-01","1","No","Shooter","E - Everyone","Air Rescue is similar to Choplifter!. You are a driver of a helicopter and the object is to rescue hostages without being shot down by soldiers, jeeps, tanks, choppers, and ground-based missiles, and bring them back to base. A maximum of four hostages can fit into the helicopter at any given time, so it is necessary to make more than one trip. You can choose from a variety of weapons that you can use to shoot down enemies. There are five rounds, which take you through theme parks, burning skyscrapers, army bases, sunken submarines, and caverns. The round ends when you have taken the required number of hostages to the bases."
"Aleste","アレスタ | Power Strike","NTSC-J","Japan","Sega","Compile","1988-02-29","1","No","Action | Shooter","E - Everyone","Aleste (also known as Power Strike) is a 1988 Mark III vertically scrolling shooter video game developed by Compile and released by Sega in Japan on February 29, 1988.

The story of Aleste concerns the manmade supercomputer DIA 51, which has been infected by a hybrid virus that is spreading like wildfire, eventually leading DIA 51 to eliminate the human race. When Yuri, Ray's girlfriend, gets injured in DIA's assault, Raymond Waizen has all the reason in the world to get rid of DIA 51 once and for all in his Aleste fighter.
The game was originally released for the Master System in February 1988. This version was released outside Japan, as Power Strike; the US release was a mail-only limited edition, while the European release was a normal retail package."
"Alex Kidd in Miracle World","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1986-12-01","1","No","Platform","E - Everyone","Alex Kidd in Miracle World is a 1986 Master System video game developed by Sega R&D2 and released by Sega of America in the USA on December 1, 1986.

Journey through the planet Aries to the beautiful City of Radactian - and save it from the evil Janken the Great.
This game was considered to be Sega's attempt on Super Mario.

Alex Kidd in Miracle World is the first of several games in the Alex Kidd series, starring a character which would serve as the company's mascot for half a decade before being replaced by Sonic the Hedgehog."
"Alex Kidd In Miracle World (Germany)","","PAL","Germany","Sega","Sega","1987-09-01","1","No","Platform","E - Everyone","Journey through the planet Aries to the beautiful City of Radactian - and save it from the evil Janken the Great.
This game was considered to be Sega's attempt on Super Mario.

Alex Kidd in Miracle World is a video game released in 1986 by Sega for the Sega Master System console. It is the first of several games in the Alex Kidd series, starring a character which would serve as the company's mascot for half a decade before being replaced by Sonic the Hedgehog."
"Alex Kidd in Miracle World 2","","Region Not Set","","Sega","SEGA Games","2017-05-01","1","No","Platform","Not Rated","Alex Kidd in Miracle World 2 is essentially a fan-made ROM hack of the original game. It uses the same game engine (with some custom modifications) but introduces a whole new set of levels and other features. It was designed as a direct sequel to the original game and ignores the events of Enchanted Castle on the Mega Drive."
"Alex Kidd in Shinobi World","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1990-08-01","1","No","Action | Platform","E - Everyone","Alex Kidd in Shinobi World is a 1990 Master System video game developed by Sega R&D2 and released by Sega of America in the USA on August 1, 1990.

After ten thousand years, the once banished Dark Ninja returns to make another attempt to take over the Miracle World. Someone's definitely got to stop him! Guess who dares to meet the challenge? You! You're Alex Kidd, the prince who knows no fear.

A lovely girl has been kidnapped and her life is at risk! And she's your girlfriend from the planet Shinobi! By holding her hostage, the Dark Ninja plans to realize his fiendish scheme. She must be saved before it's too late!

You need more than courage to be successful. Transform into a fireball and burn up enemies that come at you. Jump up and across towering walls with your amazing wall-climbing skills. Turn into a tornado and twist your way out. And when you encounter the Dark Ninja, think only of winning. Otherwise you'll lose your girl and, worse yet, the Miracle World will be doomed forever!"
"Alex Kidd In Shinobi World","Alex Kidd in Shinobi World","PAL","","Sega Europe","Sega R&D2","1990-08-01","1","No","Action | Platform","E - Everyone","After ten thousand years, the once banished Dark Ninja returns to make another attempt to take over the Miracle World. Someone's definitely got to stop him! Guess who dares to meet the challenge? You! You're Alex Kidd, the prince who knows no fear.

A lovely girl has been kidnapped and her life is at risk! And she's your girlfriend from the planet Shinobi! By holding her hostage, the Dark Ninja plans to realize his fiendish scheme. She must be saved before it's too late!

You need more than courage to be successful. Transform into a fireball and burn up enemies that come at you. Jump up and across towering walls with your amazing wall-climbing skills. Turn into a tornado and twist your way out. And when you encounter the Dark Ninja, think only of winning. Otherwise you'll lose your girl and, worse yet, the Miracle World will be doomed forever!"
"Alex Kidd: BMX Trial","Arekkusu Kiddo BMX Toraiaru | アレックスキッド BMXトライアル","NTSC-J","Japan","Sega","Sega R&D2","1987-11-15","1","No","Racing","E - Everyone","Alex Kidd: BMX Trial is a 1987 Mark III vertically scrolling racing video game developed by Sega R&D2 and released by Sega in Japan on November 15, 1987.

As young Alex, your job is to go through an obstacle course and get to the main exit without other competitors trying to push you off your bike. You start out in Blackwood Forest, but depending on which scene you're in, you can travel to Cactus Desert, South Seas, Pyramid River, or Alex's home, Radaxian."
"Alex Kidd: High-Tech World","Anmitsu Hime | Alex Kidd in High Tech World","PAL","","Sega","Sega","1989-07-01","1","No","Action | Adventure | Platform","E - Everyone","Life isn't always easy for the Crown Prince of Radactian. When the High-Tech World arcade opened up, someone in your castle tore the map into eight pieces! But it's such a cool arcade, you have to go there. It's a challenge worthy of any Kidd!"
"Alex Kidd: The Lost Stars","","NTSC-U","United States of America","Sega of America, Inc.","Whiteboard","1988-07-01","1","No","Platform","E - Everyone","Alex Kidd: The Lost Stars is a 1988 Master System video game developed by Whiteboard and released by Sega of America in the USA on July 1, 1988.

The Kidd is back! It's Alex, the little Prince with big ears and unlimited courage. When danger threatens the Miracle World of Aries, Alex Kidd is there to meet any challenge.

This time, the evil Jigaratt has stolen the stars from the Aries constellation. The skies above the city of Radactian are now cold and dark. Only someone of royal blood can get them back... and that's the Kidd!

Join Alex in fourteen rounds of adventure to worlds where anything is possible! You have legs that jump like steel springs and magical cloud shot to stop the enemy. But the key to getting the stars back is strategy. Are you good enough to beat Jigaratt?"
"ALF","","NTSC-U","United States of America","Sega of America, Inc.","Nexa Corporation","1989-05-01","1","No","Action | Adventure","E - Everyone","ALF has an enormous appetite (eating everything he can get his hands on); he is also troublesome, sarcastic, slovenly and cynical, and sometimes he puts himself at the risk of being discovered while perpetrating some of his often-unintentional pranks. However, if things have gone too far, he does as much as possible to make up for his mistakes, generally with positive results."
"Alien 3","Alien³","Region Not Set","","Arena Entertainment","Probe Entertainment","1992-01-01","2","No","Action | Horror","","Alien³ is a video game based on the movie of the same name. The plot of the movie picks up directly after the end of Aliens. Ellen Ripley, the main character of the Alien series, is in cryo-sleep aboard the space ship Sulaco. Unfortunately, an alien or two has stowed away on the Sulaco, and wreaked havoc within the ship. Thus, it crash lands on the prison colony planet Fiorina 161. Ripley and the unarmed prisoners have to figure out a way to survive the aliens terrorizing the colony until help arrives.

The gameplay of the various Alien³ conversions varies from platform to platform. This version is a side-scrolling action game with large maze-like levels. In each level, you have to rescue all the trapped prisoners and then make your way to the exit, all while surviving multiple alien attacks."
"Alien Storm","","Region Not Set","","Sega","Sega","1991-06-28","1","No","Action","","A homicidal alien race is invading Earth, and the only thing that stands between them and world domination are a special forces team known as the ""Alien Busters,"" Garth and Slammer the robot."
"Alien Syndrome","","NTSC-U","United States of America","Sega of America, Inc.","Sanritsu | 																Sega R&D2","1988-03-01","2","No","Action | Shooter","E - Everyone","Two players control two soldiers named Ricky and Mary, who must fight their way through large eight-way scrolling levels rescuing their comrades who are being held by aliens. After they have rescued a certain number of hostages the exit opens and they can pass through it in order to fight the end-of-level guardian. If this monstrosity is defeated, they move onto the next stage. As well as two player simultaneous gameplay, Alien Syndrome features pick-ups which assist the player including better weapons and maps of the current level."
"Altered Beast","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1989-06-01","1","No","Action | Fighting | Platform","E10+ - Everyone 10+","Altered Beast is a side scrolling, platform, beat 'em up game that puts the player in control of a centurion who had died in battle. The centurion has been resurrected from the dead by Zeus. In exchange, he ordered the warrior to save his daughter, Athena, from a Demon God called Neff in the Underworld."
"Altered Beast","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Sega R&D2","1989-01-01","1","No","Action | Fighting | Platform","E10+ - Everyone 10+","Altered Beast is a side scrolling, platform, beat 'em up game that puts the player in control of a centurion who had died in battle. The centurion has been resurrected from the dead by Zeus. In exchange, he ordered the warrior to save his daughter, Athena, from a Demon God called Neff in the Underworld."
"Andre Agassi Tennis","","Region Not Set","","Lance Investments","TecMagik","1993-01-01","2","Yes","Sports","E - Everyone","A game endorsed by the American player who stunned the tennis world in the early 90s with his ""Image is everything"" looks, sporting long hair, earrings and colorful shirts, Andre Agassi Tennis includes eight players (male and female and as as expected, only Agassi is a real player) rated according to movement speed and both accuracy and strength on serve, backhand and forehand."
"Anmitsu Hime","","Region Not Set","","","","1987-07-19","1","No","Action | Adventure","Not Rated","A new cake shop was opened in the town and Anmitsu wants to go there, but the map that show the location was torn in 8 pieces (plus the guards does no allow her to go out from the castle). She must find all the pieces of the map and exit from the castle before the cake shop closes."
"Arcade Smash Hits","","Region Not Set","","Sega","Virgin Interactive Entertainment","1992-07-15","","No","Action","E - Everyone","The game had a choice of 3 arcade games to play. They are Centipede, Breakout and Missile Command."
"Arekkusu Kiddo no Mirakuru Wārudo","Alex Kidd in Miracle World | アレックスキッドのミラクルワールド","NTSC-J","Japan","Sega","Sega R&D2","1986-11-01","1","No","Platform","E - Everyone","Arekkusu Kiddo no Mirakuru Wārudo (also known as Alex Kidd in Miracle World) is a 1986 Mark III side-scrolling platformer video game developed by Sega R&D2 and released by Sega in Japan on November 1, 1986.

The player must finish levels and overcome obstacles and puzzles in both scrolling and single-screen environments. Throughout the 17 stages, Alex faces many monsters and the three henchmen of Janken the Great, before facing Janken himself.

Alex's punching ability is used to destroy enemies and to break rocks in order to access new paths and to collect items such as money which can then be used to purchase other items including vehicles such as motorbikes and helicopters. At the end of many stages, Alex plays jan-ken-pon (rock-paper-scissors) with one of Janken's henchmen. Alex dies with one hit, or by losing a game of rock, paper, scissors.

The game has no save system, but by holding the directional pad up and pressing the 2 button eight times at the Game Over screen, the player will restart the level with three new lives, at a cost of 400 Baums (the in-game currency)."
"Argos no Juujiken","Rygar | Argos no Senshi","NTSC-J","","Salio, Inc.","Tecmo, Salio","1988-03-25","2","No","Action","Not Rated","You and Rygar, the legendary warrior of Argool, must defeat the evil king and his army of dangerous beasts. With powers and weapons from the Indora war gods, you go into battle with Rygar. It's up to you! The enemies are strong, the terrain treacherous, and the challenges difficult. The sun is setting and Rygar is depending on you. Rygar's exploits were once confined to arcades, but now he is battling the forces of evil everywhere. Join forces with Rygar!"
"As Aventuras da TV Colosso","","Other","Brazil","Tec Toy Indústria de Brinquedos S.A.","Tec Toy","1996-01-01","1","No","Adventure","E10+ - Everyone 10+","No overview is currently available for this title, please feel free to add one."
"Assault City","","PAL","","Sega","Sanritsu","1990-01-01","1","No","Shooter","E - Everyone","Robots Go Berserk! Dateline: Assault City, 2092. It's a robot mutiny! Central Computer Control is in chaos. Armed KillerBots are running amok, blasting loyal Bots into metal junk and piles of whining servomotors!"
"Assault City (Light Phaser Version)","","PAL","","Sega","Sanritsu","1990-01-01","1","No","Shooter","Not Rated","Robots Go Berserk! Dateline: Assault City, 2092. It's a robot mutiny! Central Computer Control is in chaos. Armed KillerBots are running amok, blasting loyal Bots into metal junk and piles of whining servomotors!"
"Asterix","","Region Not Set","","Sega","Sega","1991-01-01","1","No","Action","E - Everyone","The Romans, who fail to conquer one final Gaul village, kidnap Getafix, the druid brewing the magic potion that gives all the inhabitants supernatural strength. Vitalstatistix, the village chief, orders Asterix and Obelix to find him, keep him out of Caesar's hands and bring him back at any cost.

Aside from the traditional moves, there are special potions that melt ice, create makeshift bridges or blow up blocks. The game contains many familiar characters and scenery from the comic books."
"Asterix and the Great Rescue","","Region Not Set","","Sega","Core Design Ltd.","1993-11-15","1","No","Platform","","Getafix the Druid and Dogmatix have been captured by the evil Roman forces. Use your magic potions to help Asterix and Obelix fight their way through 5 levels to Rome itself and free their buddies from Caesar's clutches."
"Asterix and the Secret Mission","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Sega","1993-01-01","2","No","Action","E - Everyone","Getafix the Druid is out of magic potion! If Caesar finds out, it's invasion for sure. Asterix and Obelix set out to find the necessary herbs. A mission through all sorts of Roman-infested terrain - seas and rivers, forests and deserts, temples and ruins."
"Astro Climber","","Other","","Self-Published","","2025-10-20","1","No","Action","Not Rated","Astro Climber is a vertically scrolling arcade action game for the SEGA Master System/Mark III console.

The Frontier Prime space station is failing and malfunctioning drones and hazards threaten you as oxygen runs out. Use your grapple hook to climb, refill oxygen, and escape before it's too late.

Developed by BadComputer - https://twitter.com/badcomputer0
Music by LOVEPENGUIN - https://polariapoyon.bandcamp.com/
DevkitSMS by sverx - https://github.com/sverx/devkitSMS"
"Astro Flash","アストロ フラッシュ","NTSC","Japan","Sega","Sega R&D2","1985-12-22","2","No","Shooter","Not Rated","Thwart an underground invasion with your transforming weaponry.

The ground is scarred by craters, a reminder of the recent Dalaus invasion. And continuous acid rains give the sky an eerie irridescence.

You are the only Transbot pilot left from the now defunct regime. So you must battle wave after wave of orbiting debris. To try to get to the notorious Dalaus artificial intelligence computer.

Fortunately your astro-plane can go through 6 different transformations. Turn into a robot warrior and more.

By the time you transform, you should be able to penetrate the fortress of Dalaus. And rid the galaxy of her evil influence forever."
"Astro Warrior","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1986-12-01","1","No","Action | Shooter","E - Everyone","Astro Warrior is a 1986 Master System video game developed by Sega R&D2 and released by Sega of America in the USA on December 1, 1986.

Astro Warrior pits you against the enemy's fleet of superpowered spaceships. And ultimately, the invincible Master Ship.

In this treacherous black universe, you can only count on yourself. To shoot fast. To shoot straight. If you do - you get more power. More weapons. To beat the villains. To beat the odds.

If you don't - the odds beat you."
"Astro Warrior/Pit Pot","Astro Warrior & Pit Pot","Region Not Set","","Sega","Sega","1986-01-01","1","No","Action","E - Everyone","Two games on one cartridge:

Pit Pot: The Magical Castle The princess has been kidnapped. To rescue her, navigate your way through each room while avoiding its inhabitants such as dragons and guards. If necessary, use your magical hammer to knock them off the screen. You can also knock a gray tile that they are on to cause them to fall down and die. You exit each room by passing through doors, but you have to find a golden key that will unlock some of them. 

Astro Warrior Blast your way through three zones, including Galaxy Zone, Asteroid Zone, and Nebula Zone. Enemies will start making their way down the screen, but you only have bullets to deal with them. There are flashing points on the terrain in which you can shoot at, Shooting enough of these will cause a number of green ships, which when destroyed, will upgrade your firepower. At the end of each zone, you come face to face with a boss, and it is likely that you are going to need that extra firepower."
"Astro Warrior/Pit Pot (Germany)","","PAL","Germany","Sega","Sega","1986-01-01","1","No","Action","E - Everyone","Pit Pot: The Magical Castle The princess has been kidnapped. To rescue her, navigate your way through each room while avoiding its inhabitants such as dragons and guards. If necessary, use your magical hammer to knock them off the screen. You can also knock a gray tile that they are on to cause them to fall down and die. You exit each room by passing through doors, but you have to find a golden key that will unlock some of them. 

Astro Warrior Blast your way through three zones, including Galaxy Zone, Asteroid Zone, and Nebula Zone. Enemies will start making their way down the screen, but you only have bullets to deal with them. There are flashing points on the terrain in which you can shoot at, Shooting enough of these will cause a number of green ships, which when destroyed, will upgrade your firepower. At the end of each zone, you come face to face with a boss, and it is likely that you are going to need that extra firepower."
"Ayrton Senna's Super Monaco GP II","","PAL","","Sega","Sega","1992-01-01","1","No","Racing","E - Everyone","Experience the heart-stopping action of F1 on the most challenging circuits in the world! You are in control of a precision machine, ready to test your skill and abilities to the limit to win the ultimate prize: The championship Cup"
"Ayrton Senna's Super Monaco GP II  (Alt)","","PAL","","Sega","Sega","1992-01-01","1","No","Racing","E - Everyone","Experience the heart-stopping action of F1 on the most challenging circuits in the world! You are in control of a precision machine, ready to test your skill and abilities to the limit to win the ultimate prize: The championship Cup"
"Ayrton Senna's Super Monaco GP II [Classic]","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Sega","1992-01-01","1","No","Racing","E - Everyone","Experience the heart-stopping action of F1 on the most challenging circuits in the world! You are in control of a precision machine, ready to test your skill and abilities to the limit to win the ultimate prize: The championship Cup"
