title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"137E0 Action 1 Steak","","Other","","","","2016-05-06","1","No","Action","E - Everyone","A joke rom hack made for the Sonic Hacking Contest 2016."
"Battle Master","","Region Not Set","","Mirrorsoft Ltd.","PSS","1990-01-01","1","No","Strategy","E - Everyone","Battle Master is a 1990 fantasy action adventure game designed by Mike Simpson and Simon Jones[citation needed] for PSS and distributed by Mirrorsoft. The game is a fantasy adventure in which the player controls a champion who must battle evil forces to conquer four kingdoms, uniting the four kings' crowns and presenting them to the Watcher in order to restore the world to peace.

Battle Master is a squad-based action-adventure game viewed from a top-down isometric perspective.

After choosing a race - human, elf, dwarf or orc - and a Dungeons & Dragons-style class - warrior, merchant, archer or mage - the player is presented with a map, from which destinations are chosen. At each destination the player may choose to parley - giving an opportunity to purchase useful items from the destination, rather than having to find them - or may enter the destination."
"Battletech: A Game of Armored Combat","","Region Not Set","","Extreme Entertainment Group","Malibu Interactive","","","No","Action","","The 31st century is a brutal and violent place. The galaxy is racked by a devastating war waged with gigantic 75-ton BattleMechs teeming with the most ruinous weapons that science can create. MechWarriors like you are needed to pilot the ""Madcat"" Heavy OmniMech on desperate missions against enemy installations! This is the world of BATTLETECH! Alone against the relentless onslaught of hordes of enemy defenders, you'll need skill and cunning to knock out your objectives. Steer your lumbering 'Mech into the savage fury of a hornet's nest of attackers, and cut loose with the Madcat's incredible firepower to lay waste to all before you! Fight to the last for a victory that will bring you honor and glory! And if honor isn't motivation enough, it helps to remember that the enemy doesn't take prisoners...

The game has the player control a Mech outfitted with an arsenal of missiles and energy weapons in missions that take place on a large map. The player can freely roam around and explore the mission's map before tackling the objectives of the stage. The main single player mode in the came is a campaign that tasks them with several objectives spanning various missions. These can be getting to objective points, clearing out enemies, or escorting convoys across the map. The game contains a cooperative two player mode where one player controls the bottom half of the Mech to navigate it around the battlefield while the other player controls the top half of the Mech and its arsenal independently."
"Battletoads & Double Dragon","","Region Not Set","","Tradewest, Inc.","Rare, Ltd.","1993-06-01","2","Yes","Action","","When a battlecruiser the size of a city and called the Colossus smashes out of the moon, its laser cannon glowing menacingly, you can bet it ain't gonna be makin' no social calls... You can bet it's gonna be creating some bad n' crazy mayhem on good ol' planet Earth - 'specially when you know that the dreaded Dark Queen and the shady Shadow Boss are on board just rarin' to rock n' roll... The dastardly duo are about to unleash their most monstrous plan yet - from their secret lunar base they intend to launch an invasion that'll make them masters of the world... Neutralized by deadly glooming rays, Earth's forces are powerless... That is, until the Dragons join the 'Toads! Take a 'toadacious trip with the dream ticket as those terrific twins Billy and Jimmy Lee team up with Zitz, Flash and Pimple against the combined might of the gruesome twosome and their mindless minions Big Blag, Abobo, Robo-Manus and Roper, in a 'toadally terminal new adventure! So lets get mad, bad n' crazy once again as the BATTLETOADS join DOUBLE DRAGON in THE ULTIMATE TEAM!"
"Bimini Run","","Region Not Set","","Nuvision Entertainment","Microsmiths Inc.","1990-10-10","1","No","Racing","","Bimini Run is an early third person shooter/action video game for the Sega Mega Drive/Genesis. It was developed and published by Nuvision Entertainment. Since it was a two-player game, Bimini Run allowed both players to traverse a wide scrolling environment on objective based missions."
"Caliber.50","","Region Not Set","","Mentrix Software","Visco Corporation","1991-01-01","1","No","Shooter","Not Rated","Caliber.50 is a top-down run and gun video game originally released in arcades (as Cal.50) before being brought to the Sega Mega Drive in 1991. The Mega Drive version was only released in North America.
The Mega Drive version is severely watered down from the arcade original, not just in terms of graphics and sound, but also gameplay, as the controls need to be mapped to three buttons. This means unlike the arcade original B takes the roll of shooting and throwing grenades, A rotates left and C rotates right. The arcade cabinet used special joysticks which could be spun around to rotate the player. To compenstate, there are fewer enemies on screen, and the player is given a life bar."
"City Connection","City Connection","PAL","","Jaleco Ltd.","Jaleco Ltd.","2023-11-27","1","No","Action","E - Everyone","Clarice, a speed-crazed girl born in California, is driving around the world's highways and causing havoc in every country! She is no stranger to police chasing her around the world. She hits oil, spins around, and hits them with her car, sending them flying. A crazy panic car chase between Clarice and police unfolds against a beautiful backdrop!"
"Clan of Heroes: Generals of the Yang Family","","Region Not Set","","Piko Interactive LLC","","","2","No","Action | Adventure","E - Everyone","Clan of Warriors - Generals of the Yang Family is a beat'em up that is based off the story several old Chinese stories and Folklore Songs.

Choose between 4 playable warriors to defend your country from foreign military invaders.

This title was originally released exclusively in China. Piko Interactive acquired the full rights of the game to localize it to English speaking players. The game has been completely re-hauled fixing many of the original bugs and play ability problems. There is a lot of polishing done to the fighting and collision engine. Over all the game was worked up to be finally enjoyable from beginning to end."
"Cliffhanger","","Region Not Set","","Sony","","1993-01-01","1","No","Action | Fighting","","Standard side-scrolling fighter based off of the Stallone film of the same name. Sly must fight thugs and the elements as he tracks down suitcases of stolen cash dropped around the peaks of the Rockies."
"Clue","","Region Not Set","","","","","","No","","","Up to six players can play, using any controller. The object of the game, as in the board game, is to find out who killed Mr. Boddy where and with what.

Each player is dealt a number of cards. All the cards held eliminate the suspect, weapon, or room on the card. Each player can view their own cards during their turn. A die is rolled, and the six players (represented by the six suspects Miss Scarlet, Col. Mustard, Mrs. White, Mr. Green, Mrs. Peacock, and Prof. Plum(Know as Prof. Fart[citation needed] in Brazil)) move around the board. Upon entering one of the nine rooms on the board, the player must make a suggestion, choosing a suspect and a weapon (the room the player is in is automatically chosen.) A vignette is shown, showing who or what was in that room, or who held the weapon. This would result in a clue given, such as ""Miss Scarlet was in the Lounge"" or ""No one had the wrench."" On the highest difficulty, the clues given are less broad, like in the board game, with clues only given that the chosen suspect or weapon was or wasn't in the room. The suspect chosen in the suggestion is moved to that room.

A player can, on their turn, make an interrogation, wherein they can choose a suspect, a weapon, and a room. A longer vignette is shown, playing out the scenario as the player chose. Example: ""The lounge was warm. It was cozy enough for a nap... A long nap. Miss Scarlet laughed as she fixed her hair. She picked up the pipe."" At this point, one of the other players, if they are in possession of a card that eliminates any of those factors, shows on screen that they have proof that the scenario could not have happened. If none of the other players are in possession of such a card, the interrogating player is not proved wrong. Players may make two interrogations per game.

A player can, on their turn, make an accusation, which plays out similar to an interrogation, unless if the player is incorrect, they are eliminated from the game. If they are correct, the actual suspect is seen killing Mr. Boddy in an addition to the vignette and is then seen being arrested. The accusing player is the winner."
