title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"2Tax Gold","","Region Not Set","","Human Entertainment, Inc.","Atelier Double | 																Office Crescendo","1997-01-17","1","No","Puzzle","E - Everyone","2Tax Gold (ニタックスゴールド) is a quiz game for the Sega Saturn."
"3 Free - Virtua Fighter 2, Virtua Cop, Daytona USA","","Region Not Set","","Sega","Sega","1996-11-27","2","Yes","Action | Racing | Shooter | Fighting","T - Teen","3 Free Games With Purchase of Sega Saturn, for lack of a better name, is a compilation released for the Sega Saturn in North America. It was only available for consumers purchasing a Sega Saturn console in the winter of 1996 (1996-11-27 - 1996-12-31), and was designed primarily to boost slowing Saturn sales. Included in 3 Free Games are CD sleeve versions of Virtua Fighter 2, Virtua Cop and Daytona USA."
"3D Baseball","3D Baseball: The Majors","Region Not Set","","Crystal Dynamics, Inc.","Crystal Dynamics, Inc.","1996-11-30","2","No","Sports","E - Everyone","Crystal Dynamics presents the most realistic baseball video game ever published. Real Motion Control 3D technology serves up incredibly life-like 3D polygonal models that bit, pitch, and hit like real players."
"3D Lemmings","","Region Not Set","","Psygnosis Limited","Clockwork Games | 																Perfect Entertainment","1996-07-05","1","No","Puzzle","E - Everyone","There is no actual narrative to the game. The only introduction is a movie. It shows a completely flat (2D) lemming popping out of a computer's floppy drive, and finding a ""3D"" button to press, which makes him 3-dimensional. After that, the PC blows up and the (now 3D) lemmings inside it escape. Other movies play after completing each set of 20 levels, but are not connected by a storyline."
"3x3 Eyes: Kyuusei Koushu S","","Region Not Set","","Nihon Create","Minamimachi Bugyousho","1996-04-19","1","No","Adventure","E - Everyone","Yakumo receives a message from his friend, the Buddhist monk Naparvha, saying that a curse has fallen upon a village in China. A young girl was killed under mysterious circumstances, and two monks fell asleep and cannot wake up. Yakumo visits the village and begins the investigation, aided by Yue Hua, the sister of the dead girl."
"6 Inch My Darling","","Region Not Set","","KID Corp.","KID Corp.","1998-12-23","1","Yes","Adventure","E - Everyone","You play a high school student living with your parents and younger sister. On your way back from school, you stumble across a mysterious wooden box containing a strange figurine and an old letter. Thus your adventure begins...

Basically, this is a dating game, where you get to chaperone one of three 6-inch tall fairies from another world as they go about exploring your world (and sometimes making quite a mess while they're at it). Depending on how you do, you unlock various scenes/events throughout the game and maybe get a happy ending with the girl of your dreams. Along the way, you'll also be juggling your unsuspecting family and friends, including a real life female classmate who might turn out to be a love interest as well if you play your cards right."
"Actua Golf","VR Golf 97","Region Not Set","","Interplay Entertainment Corp.","Gremlin","1996-12-20","4","No","Sports","E - Everyone","Actua Golf is a golf simulation with full 3D terrain and characters. It comes with two courses to play at (country and tropical), customizable characters and multi-view shot tracking and action replays.

Actua Golf uses similar game controls as older golf titles did. With a swing meter, where you have to time correctly to hit the ball right."
"Actua Soccer: Club Edition","VR Soccer | Actua Soccer","Region Not Set","","Gremlin Interactive Ltd.","Gremlin Interactive Ltd.","1996-11-30","2","No","Sports","E - Everyone","Actua Soccer Club Edition is a re-edition of Actua Soccer, released with the 20 teams of the English Premiership instead of international competitions. New commentary was recorded and some Premiership historical data was included. All remaining aspects of the game were unchanged or just tweaked.

The rest of the game is well known to fans of the genre - it was the first fully polygonal football game on the market, which allowed an unprecedented graphical realism and (technically) unlimited camera angles."
"Advanced V.G.","Advanced Variable Geo | アドヴァンスト ヴァリアブル・ジオ","Region Not Set","","TGL","TGL","1997-03-14","2","No","Fighting","M - Mature 17+","Set in a near-future version of Japan, a martial arts tournament is created to determine the country's strongest woman. The tournaments are sponsored by a number of family restaurants, who in exchange for their sponsorship, are given promotion in the form of having a tournament entry work as a waitress. As a result of the popularity of the tournaments, the restaurants experience a boom in patronage.

The winner of the tournament is awarded the title ""Virgin Goddess"", as well as a large cash prize of ten billion yen, and a house erected anywhere on the planet they should choose. However, when a given waitress is defeated, they are required to publicly strip themselves of their clothing, in order to teach the so-called ""true"" shame of defeat. In spite of such humiliation, the tournaments often draw many competitors, each placing their pride and their dreams on the line as they battle for the top.

An updated version of the original Variable Geo game for the NEC PC9800 which adds three new playable characters, a storyline which features Yuka as the main character, and includes a pair of ""True"" bosses, the genetically engineered ""Hybrid"" warriors K-1 and K-2."
"Advanced World War Sennen Teikoku no Koubou: Last of the Millennium","アドバンスド ワールド ウォー 千年帝国の興亡","NTSC-J","Japan","Sega","Sega CS2","1997-03-20","4","Yes","Strategy","E - Everyone","Advanced World War Sennen Teikoku no Koubou: Last of the Millennium is a Sega Saturn strategy video game released on March 20, 1997."
