title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Combat Zone, 3D","","Region Not Set","","Artic Computing","Jon Ritman","1983-01-01","1","No","Action | Shooter | Vehicle Simulation","Not Rated","3D Combat Zone is a 1st-person tank hunting game which takes place on a vast plain scattered with pyramids. It transports the player into the valleys of Lacentra, now a battlefield occupied with the spoils of a centenary war battled between two opposite factions. The player is in charge of commanding a special tank and the only left from a vanquished fleet."
"007 - A View to a Kill","","PAL","","Domark Software","","1970-01-01","1","No","Action","Not Rated","In the first section set in Paris, James Bond commandeers a taxi to follow May Day who has parachuted from the Eiffel Tower. Roadblocks and police cars are out to stop Bond, who can shoot his pistol at them to get them out of the way. The display is in three sections - an overhead map of Paris, a small 3D view from the car's point of view, and a scanner showing May Day's height. James must arrive at the right location to catch her as she lands.

In the second section, James must help Stacey Sutton escape from San Francisco City Hall, which is on fire. Each room is displayed from a side-on perspective. James must collect useful objects to get through the floors of the building, such as keys to open doors and buckets of water to stop the progress of the fire.

In the third and final section, James must collect the code numbers to stop the detonation of Zorin's bomb. Bond runs around the mine, avoiding rockfalls and long drops. Among the objects he can pick up are a grapnel gun (to fire ropes upward which he can climb to safety) and a plank of wood to bridge gaps. May Day is also somewhere in the mine.

A password system lets the user play the second or third levels on their own without completing the first."
"007 - Live and Let Die","","PAL","","","","1970-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"007 - Lord Bromley's Estate","","PAL","United Kingdom of Great Britain and Northern Ireland","","","1990-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"007 - The Living Daylights","","PAL","","","","1970-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"007: Licence to Kill","Licence to Kill","PAL","United Kingdom of Great Britain and Northern Ireland","Domark Group Ltd.","Quixel","1989-01-01","1","No","Action | Shooter","Not Rated","A ""James Bond"" action/arcade game based on the movie with the same name. Your aim is to avenge the death of Felix Leiter, who was killed by the drug baron Sanchez.

Technically the game consists of several different vertical scrolling action sequences. In each stage you must fly, drive or walk through a preset terrain. While doing that, you have to shoot enemies, avoid their shots and collect items (mainly ammunition). Some levels rely more on shooting, while others test your reflexes. There are 6 levels to be completed."
"10th Frame","","Region Not Set","","Kixx","","1987-01-01","8","No","Sports","Not Rated","Get out of that shirt, put on your bowling shoes and get ready to roll with 10th FRAME! this simulation gives you the look of 'real' bowling through outstanding graphics and a true perspective view. With multiple levels of play, realistic pin action and automatic scoring. 10th FRAME is a bowling experience the whole family can enjoy."
"16k Superchess","","PAL","","","","1983-01-01","1","No","Board","Not Rated","No overview is currently available for this title, please feel free to add one."
"180 (Cases Computer Simulations)","","PAL","","","","1984-01-01","2","No","Sports","Not Rated","180 allows you to play a game of darts by yourself or against either the computer or another player. Before you play there are a number of games that can be selected, and they are a one player game, two player game, Round the Board or Snooker. The one player game has you trying to get from the score 501 to zero, and you must try to get to zero within 20 darts and also finish with a double or Bullseye. If you manage to finish within 20 darts, then you qualify for a league against seven other players, and you must try to play one of seven games of darts in the lowest number of darts thrown. If you finish top of the league, you then play four rounds of the World Championship which is a knock-out format.

The two player game has you playing another player with a starting score of 101, 301 or 501, and you can also choose how many games to play from one, three or five. Round the Board is played between one or two players and the idea is to throw a dart in every number in order, starting from one in the least number of darts thrown. Snooker is a two player game where you use the dart board to play a game of snooker. There are 15 reds and the other colours that make up a game of snooker, and each segment of the board represents a colour. You must throw three darts in one colour to pot that colour starting with a red, and if potted you then choose a different coloured segment.

The dart boards are seen from a 1st person perspective, shown on the whole screen. To throw a dart, a line moves below the board and when a key is pressed, it stops the line and shows the position of the length on the board the dart will land. Another line now appears to the left of the board and when stopped this shows the height the dart will land."
"180 Darts","Pub Darts","Region Not Set","","M.A.D.","Binary Design, Ltd.","1986-01-01","2","No","Sports","Not Rated","180 is a darts simulation game and it follows the traditional darts rules where you compete against an opponent to see who scores the 501 points first on a best out of three sets.

If you play against the computer in a Championship knockout competition the computer will randomly select the players out of eight different opponents. Each player has his own characteristics and style of play as their 'favourite doubles' they like to throw. Regardless against whom you play they will become better as you progress towards the final.

A practice mode helps you to become familiar and more skillful at throwing the darts.

The game can be played by one or two players."
