title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Destroy All Humans! - Clone Carnage","","Other","","THQ Nordic","THQ Nordic","2022-05-31","4","Yes","Action | Adventure | Shooter | Virtual Console","T - Teen","Wreak havoc in Clone Carnage! This standalone DLC comes with 4 modes, 6 maps, and up to 4-player multiplayer. Split-screen lets you double the damage in local 2-player multiplayer. Unleash your wild side in Rampage, Armageddon, Race, and Abduction modes!"
"Gunducky Industries","","Other","","","","2017-09-29","1","No","Action | Virtual Console","Not Rated","Fly your plane with arcade flight simulator controls through narrow levels shooting enemy robots and dodging amongst obstacles such as trees and ancient ruins.
8 levels over four different environments: River Valley, Ancient Ruins, City and within the Robot Factory 
Slower moving physical bullets mandating considered aiming."
"Humongous Classic Collection","","NTSC-U","United States of America","UFO Interactive Games, Inc.","Humongous Entertainment","2022-12-26","1","No","Adventure | Education","E - Everyone","The Humongous Classic Collection includes these 6 titles on PS4™.

• Pajama Sam: No Need to Hide When It’s Dark Outside
• Pajama Sam 2: Thunder and Lightning Aren’t So Frightening
• Freddi Fish 3: The Case of the Stolen Conch Shell
• Putt-Putt Saves the Zoo
• Putt-Putt Travels Through Time
• Spy Fox in “Dry Cereal”

These games will provide limitless hours of fun and replay-ability with full animation, professional voice acting, award-winning music and tons of mysteries to solve!"
"King's Bounty II - Collector's Edition","","PAL","","1C Company","1C Company","2021-08-24","1","No","Fight for you own future, outsmart enemies in unique turn-based combat, make difficult decision and experience the intensity of one of the classic sagas in an exciting new way

ESRB Rating: T - Teen

 Role-Playing | StrategyGenre(s): Strategy","Fight for you own future, outsmart enemies in unique turn-based combat, make difficult decision and experience the intensity of one of the classic sagas in an exciting new way

 T - Teen

Genre(s): Role-Playing | StrategyESRB Rating: T - Teen","Fight for you own future, outsmart enemies in unique turn-based combat, make difficult decision and experience the intensity of one of the classic sagas in an exciting new way

ESRB Rating: T - Teen

Genre(s): Role-Playing | Strategy"
"Metal Gear Survive","","NTSC-J","Japan","Konami","Konami","2018-02-20","1","No","Action | Adventure","M - Mature 17+","Metal Gear Survive picks up from the ending of METAL GEAR SOLID V: GROUND ZEROES, to an alternate timeline caused by unexplained wormholes forming in the sky. Players find themselves on distorted desert landscapes full of massive half-formed structures, living biological threats, and the remains of a once strong military force now litter the landscape. In a struggle to stay alive on this harsh terrain filled with deadly creatures, soldiers who were previously on Motherbase now must work cooperatively in order to survive. METAL GEAR SURVIVE continues the pedigree of METAL GEAR SOLID V's highly praised gameplay design, with a unique blend of stealth and co-op play mechanics. Players can strategically manage massive threats with the help of 4-player online cooperative play. New weaponry will also be introduced to combat charging creatures and lethal environments as well."
"PlayMemories Online","","Other","","Sony Electronics Inc.","Sony Online Entertainment","2014-10-27","1","No","Utility | Virtual Console","Not Rated","You can enjoy watching the photos uploaded to PlayMemories Online.
A number of photos uploaded over several months can be displayed at the same time. The controller and touch pad allow you to work with the photos intuitively.

Download from the PlayStation® Store (free)"
"Qello Concerts","","Other","","","","2010-01-01","1","No","Music | Utility | Virtual Console","Not Rated","Qello Holdings (also known as Qello) is an American-based entertainment company founded in 2010, in New York, by Brian Lisi, Bob Frank, and Richard Johnson. Qello is the parent company of digital streaming service Qello Concerts, and over-the-top content service provider Qello Media Solutions. Qello Concerts is a digital streaming music service specializing in on-demand concert films and music documentaries. In 2016, Qello Concerts added live streaming events and original programming. The company is headquartered in New York City.

Qello Concerts
Users can access Qello via its mobile app available on iOS and Android, its YouTube channel, Amazon’s Kindle Fire, Windows Mobile, and Sony and Samsung Smart TVs. Users can log in using their Facebook or Twitter account, or by creating a login. If using a device supporting iTunes, Qello scans the users iTunes library and suggests bands and videos the user may want to watch but had not previously purchased. It also gives iOS users access to purchase audio tracks of artists directly through iTunes.[citation needed] Qello allows users to create and share custom set lists. All users get unlimited access to Qello TV, which has more than 30 channels of non-stop concert moments; they also get one track from every concert film. Qello also offers an All-Access Pass giving subscribers unlimited access to every full-length concert and documentary in the library.

Qello was previously available on PlayStation 3 and PlayStation 4 via the PlayStation Network, but the service has since been suspended on these platforms. On May 4, 2016, PlayStation users in North America were emailed notifying them of the suspension of service and were instead encouraged to use other platforms or the paid-service Amazon Prime. As of May 6, 2016, however, the Qello website still lists PS3, PS4, and PS Vita as supported devices."
"Samurai Jack: Battle Through Time","","NTSC-J","Japan","","","2021-01-21","1","No","Action | Adventure","T - Teen","Samurai Jack: Battle Through Time is a 2020 hack-n-slash game based on the Samurai Jack TV series. It is a 3D hack-and-slash where players control Jack as he travels through different timelines towards his final showdown with Aku."
"Tales of Arise [Collector's Edition]","","NTSC-U","United States of America","Bandai Namco Entertainment","Bandai Namco Entertainment","2021-09-10","1","No","Action | Role-Playing","T - Teen","For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.

Our tale begins with two people, Alphen and Shionne, born on different worlds, each looking to change their fate and create a new future.

Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience.

The Collector's Edition includes:
- Tales of Arise full game
- An exclusive 18cm figurine representing Alphen and Shionne
- 64-page Artbook
- Steelbook®
- Physical and digital original soundtrack including 14 tracks
- Digital contents:
   - Premium Travel Pack Adventurer's Pack
   - Premium Item Pack
   - Premium Costume Pack
   - Collaboration Costume Pack: 3 costumes
   - School Life Packs: 6 costumes
   - Beach Time Packs: 6 costumes
   - Warring States Packs: 6 costumes"
".hack//G.U. Last Recode","","NTSC","United States of America","Bandai Namco Entertainment","CyberConnect","2017-11-03","1","No","Role-Playing","T - Teen","Log back into the .hack//G.U. trilogy and return to “The World,” as Haseo tracks down Tri-Edge in .hack//G.U. Last Recode, now with enhanced graphics, improved gameplay, and brand new modes!
This collection includes all 3 original .hack//G.U. titles, Rebirth, Reminisce, and Redemption, all fully restored and remastered. As well as an all new exclusive 4th Volume: .hack//G.U. Reconnection.

• 15 years of .hack – Celebrate the 15th anniversary of the beloved global cross media franchise that first released in 2002

• Fully restored – Graphically enhanced gameplay and cut scenes now in 1080p and 60fps

• Improved system features – Enhanced battle balance and game pacing to provide an optimal experience for new and old fans alike."
".hack//G.U. Last Recode [Premium Edition]","","NTSC-J","Japan","Sony","CyberConnect2 Co., Ltd.","2017-11-03","1","No","Action | Adventure | Role-Playing","T - Teen","Includes the game, an artbook, two soundtrack CDs, and a bonus "".hack//G.U. Returner"" blue-ray."
"'n Verlore Verstand","","NTSC-U","United States of America","Skobbejak Games","","2018-06-12","1","No","Adventure","E - Everyone","In 'n Verlore Verstand you will be transported to a reality of dreams and nightmares. What will you discover about yourself in this journey through the subconscious?

In these realms of the unknown, you must travel through labyrinths of memories to eventually find your way to your own truth.

Features:

- Abstract adventure.
- Engaging dream-like environments.
- Mysterious puzzles.
- Platforming
- Exploration"
">observer_","Observer","NTSC","United States of America","Aspyr Media, Inc.","Bloober Team SA","2017-08-15","1","No","Adventure | Horror","M - Mature 17+","Observer is a psychological horror video game played from a first-person perspective. The player controls Daniel Lazarski, a Krakówian detective of the Observers police unit. He can hack people's brain implants with a device known as the Dream Eater, for interrogation purposes. Equipped with augmented vision split into Electromagnetic Vision which scans for electronic devices and Bio Vision which scans for biological evidence he is able to analyse and highlight certain objects in his environment. Objects can be interacted with and examined, while dialogue trees are used for speaking with non-player characters. Nanophage cards, patient records, radio-controlled cars and roses serve as collectibles. A mini-game called With Fire and Sword: Spiders is accessed through computer terminals, which can also be used to read documents."
"#KILLALLZOMBIES","","Region Not Set","","","Beatshapers","2014-10-28","4","Yes","Action | Shooter","T - Teen","In the distant future, #killallzombies is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment. With the potential of a collective horde of over 1.000 zombies, television spectators vote upon how many and what kind of zombies or obstacles they want to uncage to make survival all the more harder for you to accomplish."
"10 Second Ninja X","","NTSC","United States of America","Curve Digital","GameDesignDan","2016-07-19","1","No","Action | Platform","T - Teen","10 SECOND NINJA X is a blisteringly fast, satisfyingly difficult and surprisingly methodical sidescroller which tasks you with completing each level in ten seconds or less. No lengthy checkpoint gaps. No cluttered control scheme. No hand holding. Get that three star rating, yo! You got this. 1 star. Again. 1 star. Again. 2 stars! Again. Back to 1 star. DAMN IT. Again... 100 levels including all 40 original 10 Second Ninja levels remastered in HD. Individual leaderboards for each level. Unlockables and collectibles."
"1001 Spikes","Aban Hawkins & the 1001 Spikes","NTSC-U","United States of America","Nicalis, Inc.","8bits Fanatics","2014-06-03","1","No","Platform","T - Teen","Jim Hawkins, the world-renowned archaeologist, has gone missing while exploring the frozen reaches of Antarctica.

Before his disappearance, he entrusted his son Aban with a map to the long forgotten ruins of Ukampa Temple in South America, along with a letter warning that death waits behind its every corner.

Can Aban survive the endless traps of Ukampa and surpass his famous father once and for all?

* On April 11th, 2019, Nicalis acknowledged the existence of physical copies of the game along with other titles (ex. VVVVVV) following several illicit sales on an auction site. In a string of social media posts, they stated, ""PSA: Certain unannounced Nicalis PS4 and PS Vita physical games have been illegally sold on eBay in advance of their official release dates. If you've bought a Nicalis PS4 or PS Vita game with a hole-punched UPC barcode, it's a promo copy that is being illegally sold. These hole-punched samples are provided to Sony as a courtesy for its employees and are not meant for sale. Please note these are unlimited runs. DO NOT get ripped off by overpaying for a promo copy without a warranty on eBay or from another seller. Look forward to the official versions of these games when they are sold legally through the upcoming Nicalis online store.""

As of November 2022, however, these titles have yet to become available for retail sale."
"100ft Robot Golf","","Region Not Set","","","","2017-03-16","4","Yes","Action | Sports","E - Everyone","100ft Robot Golf is a fast-paced arcade golf game where you get to control impossibly large robots on their quest for par. Just swing your golf club to smash even the tallest buildings out of the way - or into the way of your robot golfing buddies."
"11-11: Memories Retold","","NTSC-U","United States of America","Bandai Namco Entertainment","Aardman Animations","2018-11-09","1","No","Adventure","T - Teen","11th November 1916, a young photographer leaves Canada to join the western front in Europe.

The same day, a German technician is told that his son is missing in action.

Both want to preserve their humanity and come back alive to their loved ones.

11-11: MEMORIES RETOLD is an emotional narrative adventure telling the stories of two soldiers on both sides of the front during WW I. It is brought to life through a unique painterly style, whilst the combined voice acting talents of Elijah Wood and Sebastian Koch as Harry and Kurt, and an orchestral score from composer Olivier Deriviere, guide players through moments of both peace and despair."
"112th Seed","","PAL","United Kingdom of Great Britain and Northern Ireland","eastasiasoft","Eastasiasoft","2020-07-29","1","No","Action | Puzzle | Platform","E - Everyone","Life must find a way!

In a future where Earth has become uninhabitable and food is so scarce that most of humanity has perished, take the role of a seed that could restore hope! Make your way through the last labs constructed to cultivate a plant species capable of surviving any environment. Solve puzzles, avoid traps, grow plants, and find an exit in this casual yet challenging pixel art platformer."
"13 Sentinels: Aegis Rim","Sentinels: Aegis Rim - Juusan Kihei Boueiken","PAL","","Atlus Co., Ltd. | 																Sega Europe","Vanillaware","2020-09-22","1","No","Action | Adventure | Role-Playing | Strategy","T - Teen","Vanillaware, the storytellers behind Odin Sphere and Dragon’s Crown, craft a sci-fi mystery epic spanning thirteen intertwining stories in 13 Sentinels: Aegis Rim. With a Metacritic score of 86, 13 Sentinels has won the praise of critics all over the world.

Uncover the truth and delve into a 2D sidescrolling adventure featuring gorgeous art and environments. Then, battle the kaiju in fast-paced, top-down combat. Customize the Sentinels with an arsenal of mechsuit weaponry, and fight to defend humanity!"
"13 Sentinels: Aegis Rim (Premium Box) [Limited Edition]","Juusan Kihei Boueiken | 十三機兵防衛圏","NTSC-J","Japan","Atlus Co., Ltd.","Vanillaware","2019-11-28","1","No","Adventure | Strategy","T - Teen","In 1980s Japan, thirteen high-schoolers are thrust into a futuristic war between giant robots called ""Sentinels"" and mechanical Kaiju as they must fight to prevent humanity's fate of unavoidable destruction."
"13 Sentinels: Aegis Rim [Artbook Bundle]","","NTSC","United States of America","Atlus U.S.A., Inc. | 																Sega","Vanillaware","2020-09-22","1","No","Action | Adventure | Role-Playing | Strategy","T - Teen","Vanillaware, the storytellers behind Odin Sphere and Dragon’s Crown, craft a sci-fi mystery epic spanning thirteen intertwining stories. Uncover the truth and delve into a 2D sidescrolling adventure featuring gorgeous art and environments. Then, battle the kaiju in fast-paced, top-down combat. Customize the Sentinels with an arsenal of mechsuit weaponry, and fight to defend humanity!

Beautifully rendered in Vanillaware’s signature hand-painted visual style.

Uncover a deep story through visions of the past and the future.

The doomsday clock is ticking. Become a Sentinel pilot, customize your mech, and fight waves of kaiju in top-down tactical combat."
"13 Sentinels: Aegis Rim Prologue [Limited Edition]","","NTSC-J","Japan","Atlus Co., Ltd.","Vanillaware","2019-03-14","1","No","Adventure | Puzzle","T - Teen","""13 Sentinels: Aegis Rim Prologue"" allows the players to play the first three hours of the dramatic adventure game and control all the 13 main characters. However, save data from ""13 Sentinels: Aegis Rim Prologue"" cannot be transferred over to ""13 Sentinels: Aegis Rim"" which is the full game.

Limited Edition contents: PS4 Prologue Game, Music and Art Clips Original Box, Visual Book, Mini Soundtrack CD and DLC (PS4 Theme & Avatar)"
"18 Floors","","Other","","Winking Skywalker Entertainment","Aoga Tech","2018-07-03","1","No","Adventure | Puzzle","T - Teen","18 Floors is a VR experience combining room escape gameplay with puzzle elements. Players are transported to a mystic and foreboding space, where they must complete interconnected puzzles to escape each sealed room. The first episode of the game is comprised of two rooms, the Phantom Room and Sea Express stage."
"1971 Project Helios","","NTSC-U","United States of America","GS2 Games","Recotechnology S.L.","2020-10-20","1","No","Strategy","T - Teen","1971 Project Helios is a turn-based strategy game which combines modern warfare military tactics and close combat. Firearms and vehicles are scarce, conflicts and hostilities have no end, and the terrible freezing cold annihilates friends and foes in its path."
"1979 Revolution: Black Friday","","Region Not Set","","Digerati Distribution","","2018-07-31","1","No","Adventure","T - Teen","Based on true stories and historical events, 1979 Revolution: Black Friday is an interactive drama about choice and consequence, chaos and order."
"198X","","Region Not Set","","","","2019-06-20","1","No","Action | Adventure","E10+ - Everyone 10+","198X is an arcade epic. A coming-of-age story told through multiple games and genres, worlds and characters. Experience the thrill of shooting, driving, jumping, fighting and role-playing – combined with emotional, cinematic storytelling. This is a love letter to the golden age of arcade games – yet with a scope that was never possible in the actual 1980s."
