title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Metal Gear Solid: Portable Ops","","NTSC-J","Japan","Konami Digital Entertainment, Inc.","Konami","2006-12-05","4","No","Action | Adventure | Strategy | Shooter | Stealth","M - Mature 17+","An all-new action game in Hideo Kojima's legendary Metal Gear Solid series, Metal Gear Solid: Portable Ops jumps into the stealth action genre on the PSP system with an original storyline that follows the events of ""Metal Gear Solid 3: Snake Eater"" and innovative online play that lets gamers recruit their own comrades to form a unique fighting force. Providing the missing pieces to the puzzle of the Metal Gear saga, players learn more about their favorite characters and how the events of later Metal Gear games were set into motion while experiencing breakthrough online play that lets gamers utilize all aspects of the PSP systems' infrastructure functionality."
"Metal Gear Solid: Portable Ops Plus","","NTSC-J","Japan","Konami Digital Entertainment, Inc.","Konami","2007-11-13","4","No","Action | Adventure | Strategy | Shooter | Stealth","M - Mature 17+","A revamped Metal Gear Solid Portable Ops, featuring new playable characters, new online arenas from MGO Online. New Gameplay modes for beginners.大好評の『METAL GEAR SOLID PORTABLE OPS』に新ステージや新キャラ、新ルール等を追加した、拡張パックが新登場！キャラやステージが増えて対戦が更に楽しく！…雷電、ロイ・キャンベル、ジョニー、そしてMGS4より、はやくもオールドスネーク参戦！！"
"-8","Minus Eight","NTSC-J","Japan","Idea Factory","Otomate | 																Rejet","2014-01-23","1","No","Life Simulation","Not Rated","An otome game collaboration between Otomate, Rejet, and NicoNicoDouga.

The story takes place in Mogura Gakuen, commonly known as Z Gakuen, a place for students with ""shame"" to gather from all over the country. Right after our heroine, Yaotome Rei, enters the school, they suddenly announced that the school is going to be closed down. There's only one way to save the school from many unfortunate events, and that is for the students to fall in love.

Rei immediately searches for a boy to become a couple with. Sadly, she was born with the ability to attract all sorts of bad luck… and unfortunate guys are starting to gather around her. All of them are incomplete humans with a missing piece, so maybe they're looking for another piece that can complete the part they're missing.

Rei can choose one of these unfortunate guys, and when she erases their complex with her love…

""Shame"" and ""shame"" will become ""love""."
".hack//Link","","Region Not Set","","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","2010-03-04","1","No","Role-Playing","E10+ - Everyone 10+","Set in a fictional version of the year 2020, .hack//Link's story takes place in a new version of “The World,” a popular series of MMORPGs known as The World: RX. The game focuses on a young man named Tokio Kuryuu, a second year junior-high student who gets transported into The World: RX by a new student named Saika Amagi. After arriving into the game, Tokio is tasked by an artificial intelligence version of the character Kite to be a hero and use a tower of the Akashic Records to save the Twilight Knights, a group of artificial intelligence versions of characters based on casts of previous entries in the .hack series. Using the Akashic Records, Tokio is able to travel backwards in time to previous .hack entries and encounter past characters in order to unfreeze the data of the Twilight Knights."
".hack//Link Zettai Houi Pack: Collector's Edition",".hack//Link Quarantine Pack","NTSC-J","Japan","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","2010-03-04","1","No","Action | Role-Playing","E10+ - Everyone 10+",".hack//Link is a game for Sony PSP. The game has over 130 returning characters and 33 recruitable partners along with one playable character, Tokio. The story is presented through manga-style visuals. The collector's edition contained extras not found in the normal edition."
"[UMD Video] Talladega Nights: The Ballad of Ricky Bobby","","NTSC","United States of America","","","2006-01-01","1","No","Action | Racing | GBA Video / PSP Video","T - Teen","“The fastest man on four wheels, Ricky Bobby (Will Ferrell), is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want: a luxurious mansion, a smokin’ hot wife (Leslie Bibb) and all the fast food he can eat. But Ricky’s turbo-charged lifestyle hits an unexpected speed bump when he’s bested by flamboyant Euro-idiot Jean Girard (Sacha Baron Cohen) and reduced to a fear-ridden wreck. Losing his wife and job to best bud and fellow fool, Cal Naughton, Jr. (John C. Reilly), Ricky must kick some serious asphalt if he’s to get his career back on the track, beat Girard and reclaim his fame and fortune. ‘Cause as Ricky Bobby always says, “If you ain’t first, you’re last!”” -Back cover"
"001 Dragon Ball Z Shin Budokai","","PAL","United States of America","Bandai Namco Entertainment","Bandai Namco Entertainment","2006-03-07","1","No","Fighting","E - Everyone","Dragon Ball Z: Shin Budokai è un picchiaduro tratto dalla serie animata Dragon Ball Z sviluppato dalla Bandai e messo in commercio a partire dal 7 marzo 2006. La modalità storia è chiamata Sentiero del Drago ed è basata sugli eventi del film Il diabolico guerriero degli inferi. Nel corso della Storia ci troveremo a usare sia Goku e i suoi amici che i suoi acerrimi nemici. Le scelte che vengono compiute durante il percorso determinano in maniera differente l'evolversi della storia."
"002 Dragon Ball Z Shin Budokai 2","","PAL","United States of America","Bandai Namco Entertainment","Bandai Namco Entertainment","2007-03-20","1","No","Fighting","E - Everyone","In un altro futuro Goku muore e i difensori della Terra cadono per mano dei cyborg. Il mondo viene sopraffatto dalla disperazione. Trunks, unico superstite, torna nel passato dove vede Goku. Le battaglie con gli androidi e Cell l'hanno reso più forte. Il passato e il futuro sono di nuovo in pace, le città sono state ricostruite e, dopo anni, riprende anche il torneo mondiale. Il futuro è in pace ma, come nel passato, il male fa ritorno. Ci sono sia i difensori della pace sia coloro che la minacciano. Trunks si trova nel cuore di una nuova battaglia. Durante il torneo mondiale infatti fanno la loro comparsa Darbula e Babidy."
"003 Grand Theft Auto Vice City Stories","","NTSC-U","United States of America","Rockstar Games","Rockstar Games","2006-10-31","1","No","Action | Adventure","E - Everyone","Victor ""Vic"" Vance è un marine di ventotto anni di origini dominicane che, dopo aver trascorso l'adolescenza nelle Filippine, si è arruolato nell'esercito per poter sostenere economicamente la sua disastrata famiglia, composta dalla madre tossicodipendente Janet, i fratelli minori Pete e Lance (il primo gravemente malato d'asma e l'altro ragazzo imprevedibile desideroso di diventare un qualcuno anche a costo di cacciarsi nei guai) e la zia Enid che, data l'incapacità della sorella, si è sempre occupata di mantenere la stabilità della famiglia. Vic non è entusiasta di entrare a far parte dell'esercito ma la vede come unica possibilità di poter provvedere al benessere dei suoi parenti pur di non incorrerere in guai con la giustizia."
"004 Grand Theft Auto Liberty City Stories","","NTSC-U","United States of America","Rockstar Games","Rockstar Games","2005-10-24","1","No","Action | Adventure","E - Everyone","Toni Cipriani, mafioso membro della famiglia Leone, è ritornato a Liberty City dopo un esilio per aver assassinato un uomo d'onore su ordine del suo boss, Salvatore Leone. Mentre Toni era via, Vincenzo Cilli è ormai diventato consigliere dei Leone. A Vincenzo è affidato il compito di badare a Cipriani e gli affida diversi incarichi, dimostrando però la sua natura arrogante e prevaricatrice. Dopo alcuni lavoretti, Toni viene mandato a recuperare l'auto di Vincenzo; quando Toni va a eseguire l'ordine, scopre però che l'auto era sorvegliata dalla polizia ed è costretto a fuggire. Infuriato, chiama Vincenzo per dirgli dell'accaduto e lo accusa di averlo incastrato apposta: quando questi lo tratta da ingrato, Toni per tutta risposta gli ricorda di che pasta fosse fatto anni prima della sua sostituzione, e lo scarica."
"007: From Russia with Love","","NTSC-U","United States of America","Electronic Arts","MGM Interactive","2006-04-03","1","No","Action","T - Teen","James Bond 007 : From Russia With Love will be the first game to put players in the universe of the classic James Bond films. Set in the original 60's Bond era, the game features movie-based missions as well as original, action-intensive sequences, a broad and deep variety of gameplay, fully-integrated vehicles, social multiplayer experiences, gorgeous women, and classic, upgradeable weapons and gadgetry with modern mechanics."
"100-MAN TON No BARABARA","100万トンのバラバラ","NTSC-J","Japan","Sony Entertainment","SCE Japan Studio","2010-02-18","1","No","Action | Puzzle","E - Everyone","No overview is currently available for this title, please feel free to add one."
"1000 Tiny Claws","","Region Not Set","","Mediatonic","Mediatonic","2011-10-04","1","No","Action","E10+ - Everyone 10+","Your legendary sky-pirate crew may have been responsible for unleashing an apocalyptic curse of giant insects upon the world — and now there’s only 24 hours to save their necks from the hangman’s noose… Despite protestations that ‘dangerously cursed islands’ should REALLY be more clearly sign-posted, First Mate Rana sets out to smash her way through the relentless scuttling horde in a sword-swinging arcade battler set against an epic backdrop of sky-islands and piracy!
Can YOU survive against overwhelming odds? Deploy combo attacks and running swipes, blocks and dodges, then use DEVASTATING special moves to turn the tables on the SWARM and send the bugs spiraling into the clouds. Just make sure you keep solid ground beneath your own feet at the same time…
Join Rana, Captain Bluebell and Mr Yoho as they deal outsky-pirate justice! Make barely coherent plans! Enjoy celebratory fruit cocktails … and BREAK the curse of 1000 TINY CLAWS!"
"100man Ton no Barabara","Patchwork Heroes","NTSC-J","Japan","SCEI","ACQUIRE","2010-03-17","1","No","Action","Not Rated","Patchwork Heroes is an Action game, developed by Acquire and published by SCEA, which was released in 2010."
"101-in-1 Megamix","","Region Not Set","","Nordcurrent","QV Software","2010-09-20","2","No","Action | Adventure | Puzzle","E10+ - Everyone 10+","101-in-1 Megamix is a collection of 101 games offering a healthy serving of adventure, action and puzzle gameplay galore that is fun for all family. Featuring 101 games that take you from the depth of the ocean to the Wild West... From the Stone Age to space racing... 101-in-1 Megamix boasts a unique visual style, a wide variety of unlockable games and prizes, and superb multiplayer action. Come channel surfin' through 8 different TV stations and play through a series of zany TV shows tailored to all sorts of themes, each packed to the brim with insane adventures and delightful challenges!"
"2 Games in 1! Archer Maclean's Mercury / Mercury Meltdown","Mercury and Mercury Meltdown 2 Pack","Region Not Set","","","Ignition Entertainment","2010-11-05","1","No","Puzzle","E - Everyone","First time two psp games have been offered on one umd. Contain s: archer macleans mercury and mercury meltdown on one umd. Loading screen will enable player to make game selection. Ov er 240 levels. Wireless and multiplayer modes mini games and hidden labs and party games to unlock."
"2006 FIFA World Cup","","Region Not Set","","EA Sports","EA Canada | 																Exient Entertainment","2006-05-19","1","No","Sports","E - Everyone","No overview is currently available for this title, please feel free to add one."
"2010 FIFA World Cup South Africa","","NTSC-U","","Electronic Arts","EA Sports","2010-04-27","2","No","Sports","E - Everyone","EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament."
"2010 FIFA World Cup South Africa","","PAL","","EA Sports","EA Sports","2010-04-27","2","Yes","Sports","E - Everyone","2010 FIFA World Cup South Africa is the official video game for the 2010 FIFA World Cup, published by EA Sports and available on iOS and all major seventh-generation platforms except the Nintendo DS. Announced in January 2010 during an interview with one of the producers of the game, it was released April 27, 2010 in North America. 199 of the 204 teams that took part in the 2010 FIFA World Cup qualification are included in the game."
"3, 2, 1...SuperCrash!","3, 2, 1 SuperCrash!","Other","","StormBASIC games","StormBasic Games","2010-11-09","1","No","Puzzle","Not Rated","Get on your unicycle and attempt to pass through human-shaped spaces in walls that appear on your path. Jump and dodge all the obstacles that get in your way to reach the goal in snow, the woods and a town. Try your hand at five different race types in Endless Mode."
"300: March to Glory","","Region Not Set","","","","2007-02-27","1","No","Action | Adventure","M - Mature 17+","In the action packed 300: March to Glory, players take on the role of King Leonidas, who leads the brave 300 Spartans against Xerxes and his massive Persian army. The player, as Leonidas, uses his sword, spear and shield and the power of the soldiers in a battle to determine the very fate of western civilization. 300: March to Glory is a visceral experience focused on action and combat, allowing the player to fight both solo and in a phalanx alongside his fellow Spartans"
"300: March To Glory [Greatest Hits]","","NTSC","","Warner Bros. Interactive Entertainment","Collision Studios","2007-02-27","1","No","Action | Adventure","M - Mature 17+","300: March to Glory is a video game by American developer Collision Studios for the PlayStation Portable that was released on February 27, 2007, based on the 1998 comic book mini-series 300 by Frank Miller and the 2007 film of the same name."
