title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Buttsubushi","ぶっつぶし まとめ","PAL","United Kingdom of Great Britain and Northern Ireland","Phoenix Game Studio","Selen","2004-08-13","2","No","Action | Puzzle","E - Everyone","Puzzles and action - enjoy a new sense of play in two ways. Lead the character to use the key block in a total of 100 levels and a multiplayer mode for up to four people can play simultaneously."
"Community Pom: Omoide o Dakishmete","","NTSC-J","Japan","","","1999-06-24","1","No","Action | Adventure","E - Everyone","Community Pom begins when a farmer comes rushing into town, huffing and puffing, and tells the villagers that he has been attacked by a large watermelon. The villagers laugh at him, then the screen scrolls to the home of the game heroine.

Her grandpa tells her that she's the only hope for the village. After that she leaves the house.

In this obscure Japanese RPG, you take on the role as Luru, a girl who has to save the world from destruction. The fighting system is a mix of Zelda and Alundra. In battle, you can call on Poms, small weird creatures that will help you in battle if you attack them. They can support you, or they can attack your enemy. Their attacks also depend on how much they like you so you have to stay friends with them. These poms also have their own village that you have to build and govern, a bit like sim city. Graphically, it looks very colorful but a bit old. Replay value is little, there aren’t many side quests."
"Gourmet Action Game: Manpuku!! Nabe Kazoku","","NTSC-J","Japan","Media Entertainment","Media Entertainment","2001-01-31","2","Yes","Action","E - Everyone","Manpuku!! Nabe Kazoku is something as unusual as an eating action arcade game. You face off against various opponents ranging from busty blondes and old men to bizarre things like a bear. You're faced with the task of filling your ""full"" bar up faster than your opponent by out-eating him/her/it using chopsticks and one big Nabe pot filled with food.

You control the chopsticks over a never ending Nabe pot in which food is constantly cooked. Pressing X makes you poke at the food to see if it's cooked properly, and O makes you eat it. If you get three of the same kind of food you get bonus points. Same goes if you eat the combination of food suggested by the chef of the current game. However, if you eat raw or undercooked food you get stunned for a short while and lose a little bit of your ""full"" bar, and you have to hit the buttons fast to recover.

The rounds are timed, and whoever gets the biggest meter at the end of the round wins the game.

There are bonuses such as ones that empty your current food combo, stuns the opponent and score multipliers. The occasionally pop up from under food you've eaten from the Nabe.

You can play the game by yourself or face off against a friend/foe in a vs. game."
"Kero Kero King [PSOne Books]","","NTSC-J","Japan","","","2002-04-24","1","No","Action | Adventure","E - Everyone","Kero Kero King (ケロケロキング) is the predecessor to Ribbit King, developed by Amedio and published by Media Factory. It was released exclusively in Japan on December 10th 2000 for the PlayStation.[4] All of the unique art in the game and in the many FMVs featured inside the game are done by Japanese illustrator Yosuke Kihara.[5]

The gameplay follows a very similar formula as its sequel Ribbit King as it is a golf based game but uses a frog instead of the ball, allowing you to tweak the direction and height of the frog while also collection points throughout the courses. The frog is also able to jump off spider webs and jump to flies adding variance to the gameplay especially in versus mode. The are a total of 10 courses in the game with each game taking 10 rounds to complete and the person with the highest score wins.[6]

The story of Kero Kero King is summarized on its front cover as follows: """"Kerof"" is the brand new exciting sports in the galaxy. The champion of the kerof is called ""kerokeroking"". But Nosukin, a little boy, is about to challenge him!!""[7] The story also has Nosukin meeting many unique characters in games of kerof which you can unlock and use in versus mode."
"Magical Drop III: Yokubari Tokudaigou!","","NTSC-J","Japan","Data East Corporation","Data East Corporation","1997-10-30","1","No","Action | Puzzle","Not Rated","Magical Drop III was ported twice to the Sony PlayStation. The first PlayStation port, Magical Drop III: Yokubari Tokudaigou!, and features a mode that attempts to play similar to the arcade version alongside the Saturn's ""special"" rebalanced mode.

Despite the ""arcade"" version visually mimicking the Neo Geo AES version (down to emulating the starting menu), there are several gameplay and graphical quirks that suggest that it is an adjusted version of the ""special"" mode rather than a direct port.

The choice between Arcade and Special mode is given to the player immediately upon booting the game, and the system must be reset to switch."
"Milano no Arubaito Collection","","NTSC-J","Japan","Victor Entertainment","Victor Entertainment","1999-07-01","1","No","Action","Not Rated","Young Milano's world involves performing odd jobs (milking cows, cashier at burger, washing dishes, bakery, harvest fruit, nurse, pizza delivery & drummer, etc.) for people using the money to get by for forty days (her mother have to go to the hospital and leave her on charge). The jobs are actually mini games with great variety.

After a hard days work you retire home where the correct course of rest and recouperation helps build your experience points opening up new lines of work. A popular title in Japan and quite a rare find. Milano can also buy new furnitures for improve his house like beds, wardroves, etc. to put the new furnitures the player can only do it during the days selecting Milano's house in the towns view.

After completing the game, the mini games are all opened and are playable in a new game mode in the main menu.

MINI GAMES:
- Milking Cows: The goal is to milk the flying cows to do that Milano have to avoid the obstacles and jump to milk them.
- Bakery: Move between ingredients and select the proper combination.
- Washing dishes: Pick a dish put in on the water, wash it and put in on a new pile, be quick since the piles of dishes are waiting and if they reach the end of the line the whole pile will broke.
- Harvest fruit: In this game the fruit falls from a tree and Milano have to be under where they fall to fill his bucket, she also will have to avoid a bee.
- Cashier at burger shop: The customers appear and Milano have to go at the back and select the meals that the customer wants after that give them to him, be quick since new customers appear.
- Nurse: Different patients awaits Milano's help, they will show a combination of buttons that have to be pressed (some of them in the proper order) to cure the patient.
- Pizza delivering: You drive a motorcycle and have to avoid all the obstacles in the road to reach the goal, there are some speed up lines to help Milano to get a better speed, be careful not to crash with things since the motorcycle will stop and you lose time.
- Drummer: Press the proper button where the button symbol reach the bottom line."
"Silhouette Mirage: Reprogrammed Hope","","NTSC-J","Japan","","Treasure","1998-07-23","1","No","Action","Not Rated","In an apocalyptic future, the Edo computer has gone beserk, dividing the world's inhabitants into two mutant classes, Silhouette and Mirage. Now, the watchguard computer safety system has sent forth the Messenger of Justice to travel to Edo and repair the damage before the world is lost forever. As the Messenger, Shyna Nera Shyna, blast, beat, and bash your way through seven wild and bizarre stages using friendly parasite weapons to aid your advance against wacky enemies, huge fully-animated bosses, and devilishly difficult obstacles. Providing the utmost in playability and replayability, the game wizards at Treasure, the brilliant minds behinds such international hits as Gunstar Heroes™, Dynamite Headdy™, Mischief Makers™, and Guardian Heroes™ have come up with another sure-fire classic that pushes the 2-D capabilities of your PlayStation® game console to its limit, and come up with a hit!"
"Suzu Monogatari","","NTSC-J","Japan","Capcom","Capcom","2000-06-01","1","No","Role-Playing","Not Rated","Card battle set in a world that everyone knows Banashi RPG. Suzumaru become children of God, the human world had dropped to five one aim is to recover the bell. To find the bell, when people hear about the town's card battle game. Tuesday Wednesday Thursday with a bill of three species of three types of cards can enjoy the battle freezing."
"Ten Made Jack - Odoroki Manenoki Daitoubou","","NTSC-J","Japan","Enix Corporation","","2000-03-23","1","No","Action | Adventure","E - Everyone","Jack and the Beanstalk is a folktale said by English historian Francis Palgrave to be an oral legend that arrived in England with the Vikings. The tale is closely associated with the tale of Jack the Giant killer. It is known under a number of versions.

In the Jacobs version of the story, Jack is a young lad living with his widowed mother and struggling in hard times. Jack is in love with the count's daughter and wishes to marry her. In desperation for money, Jack is sent by his mother to sell their only cow at the market, but along the way, he is apparently swindled by a man who offers him supposedly ""magic"" beans in exchange for the cow.

Jack took the beans but when he arrived home with no money, only a hand full of beans, his angry mother threw the worthless beans out the window and sent Jack to bed without supper for his foolishness.

As Jack slept, the beans germinated in the soil, and by morning a gigantic beanstalk grew in their place. When Jack saw the huge beanstalk, he immediately decided to climb it. He arrived in a land high up in the clouds that happened to be the home of a giant.

However, Jack was saved by the giant's wife and as he escaped from the castle, he took a bag of gold coins with him. However, this would not suffice to please the all-powerful count. Jack desired to seek out more treasures from the castle, to gain standing among his fiancee's family. He climbed once more up the beanstalk. This time he stole a hen that laid golden eggs. This would be sure to please the all-powerful count.

Jack, nearly caught by the giant twice, decided that none must know where he found this magical item, and the gold coins so he decided to go up the beanstalk. This time, a magical harp that played by itself, caught his eye. He stole it and then killed the giant in a murderous rage, for the all-powerful count must never know of his misdeeds. With the blood on his hands, he quickly climbed down the beanstalk and cut it. However, this was the giant's blood and could not be washed off of his hands. The all-powerful count was most pleased with these gifts, and so he disregarded Jacks' blood-stained hands. Jack married his beloved and knew riches for the rest of his days.

Ten Made Jack (Tenma de Jack - Odoroki Manenoki Daitoubou) is an intriguing release from Enix based loosely on the Jack and the Beanstalk fairytale. Jack must escape up the beanstalk as he is being pursued and must reach the goal within the time limit.

There are a host of enemies in the way though and flowers have to be rescued too. Water bottles are on hand to help the beanstalk grow in the right places, put out fires or delay the progress of enemies. A bit different, but special too.

The gameplay is really hard, in each level there is a main enemy that is a human character that will pursue the player around the level and can't be destroyed, and there are animal enemies around the level that can be used when they are knocked to knocked the human enemy for some few time, some animals keep appearing until you destroy a bird cottage that are near them, to complete each level the player has to reach to the goal.

 Manufacturer's description:

Comical 3D action to manipulate the hero Jack, aim the goal to climb the tree of strange beans towering up to heaven in order to escape from chasing come enemy. Aiming to top in a variety of actions and or dive the sky climb the stem, chasing come enemy while attacking throwing his head, trying to arrive at the Sanctuary of the goal within the time limit."
"Tokyo Wakusei Planetokio","","NTSC-J","Japan","","","1999-08-26","1","No","Action | Adventure","Not Rated","Tokyo Wakusei Planetokio is an surreal action adventure game that takes place on floating cities hefted by anti-gravity in which Osamu Sato provides the computer generated characters and scenery.

The game takes place in a near future in the city of Tokyo when the city is attacked by alien invaders that got a personal shield that allow them to receive no harm.

The story begins when Iken (a meal delivery boy that works in a ramen restaurant) is talking to Dr. Hokin in his basement laboratory (that can be accessed using the refrigerator that is in the restaurant). The Dr show him his new invention a gun that fire energy balls. Soon his boss tell him to deliver a meal, and as soon as he arrives at the deliver point a man collide with him and stole the delivery. The game begins them.

The gameplay is about going around the town talking to the characters and getting new items to advance to other parts of the game. In some places there are some TVs that explain the invasion that is happening during the adventure. There are places in the game when the character have to avoid being catched by robots, and the battle parts are turn based RPG since the player can choose between his items to use which one wants to use in each turn to attack the opponent.

CHARACTERS:
- Iken: The hero of the game and the main character.
- Boro: Iken robot.
- Naomi: The girl of the game.
- Dr Hokin: The scientific that lives in the bottom of the ramen restaurant and the inventory of the energy ball gun.

 Manufacturer's description:

Feels like ""digital puppet"" so to speak, 3D animation that spans more than 30 minutes in total, such as opening, fun unique tempo is a fusion of nostalgia and good taste. Of course there are boy friend Cara opinion, and Naomi-chan, is not lovable cuteness somewhere we collect enemy alien, full of charm of the character. In others see you not, that story is also a sight to see clearly blow."
