title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"15-in-1 Mega Collection: Backtracking Ten Years","","Region Not Set","","Image Co., Ltd.","Image","1992-01-01","1","No","Action","E - Everyone","Contains fifteen different games originally released for the VIC-20."
"1941: Counter Attack","","Region Not Set","","Capcom","Capcom","1990-02-01","2","Yes","Shooter","E - Everyone","The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). The game uses a vitality system instead of life system in which if the player is hit, it loses one point of vitality and the player is destroyed if hit with 0 vitality then the player is given the option to continue. Lightning attacks can be used by pressing the B button which sacrifices a portion of life energy. One is only able to perform three loops per level and a bonus is awarded at the end of the level for unused loops. Player 1 uses a P-38 Lightning and Player 2 uses a new plane: Mosquito Mk IV. The game shifts from the original Pacific Front setting with that of the Western Front, in the north Atlantic Ocean.

The game consists of six levels: North Atlantic Ocean Sky, European Sea Port, V3 Rocket Site, Brandenburg Gate, Open Plains and The Enemy Base. There are 6 bosses:Leviathan, German battleship Bismarck, V3 Rocket, Krote, Super Leviathan and Gotha (Horten Ho 229). Also, there are common enemies like: Ju 87 Stuka, Bf 110, Me 262 Schwalbe, Focke-Achgelis Fa 223, Sdkfz 251, Flak 88, Tiger I and U-boat."
"1943: Kai","1943: The Battle of Midway","Region Not Set","","Capcom","Capcom","1987-01-01","2","Yes","Shooter","","Developed and released alongside the Family Computer version, 1943 Kai: Midway Kaisen is an arcade game, an ""alternate"" version of the original 1943, released in 1987[3] only in Japan. Most of the graphics and sounds have been reworked, and the game has been made more ""extreme"" (laser-firing WWII planes and ships that run on ground). Further, the trademark P-38 has been replaced with a Boeing Stearman E75 N68828.

In 1991, this version was converted to the PC Engine as simply 1943 Kai, again Japan-only; this version itself contains many additional levels and original music.

The game is set in the Pacific theater of World War II, off the coast of the Midway Atoll. The goal is to attack the Japanese air fleet that bombed the American aircraft carrier, pursue all Japanese air and sea forces, fly through the 16 stages of play, and make their way to the Japanese battleship Yamato and destroy her. 11 of these stages consist of an air-to-sea battle (with a huge battleship or an aircraft carrier as the stage boss), while 5 stages consist of an all-aerial battle against a squadron of Japanese bombers with a mother bomber at the end.

As in 1942, players pilot a P-38 Lightning. Controls are also similar: button 1 fires main weapons, and button two performs two special actions: a loop maneuver like in 1942, or one of three special attacks in exchange for some of the player's fuel. Indeed, players now have only one life, in the form of a large ""fuel"" meter; constantly depleting, but refillable by collecting various powerups (chiefly ""Pow"" icons). In 2-player mode, when both players overlap their planes on screen, the energy bar can be transferred from the player with more fuel to the player with less. Destroying a complete formation of red enemy planes will result in a power-up, such as a health boost or a new main weapon.

There are cheat codes, different for every stage, ranging from holding down a fire button or pointing the joystick in certain direction, player(s) are rewarded with fully upgraded weapons."
"21-Emon","21エモン | MEZASE HOTEL OU!! | AIM TO BE A HOTEL KING!!","Region Not Set","","NEC Home Electronics, Ltd.","NEC","1994-12-16","4","No","Puzzle | Strategy","","Naturally a manga/TV anime tie-in, 21 Emon is one of those Japanese style board games that have never really made a big impact in the west. Four players (any combination of human and computer) take it in turns to roll dice and move around the isometric board, landing on various event squares. The ultimate aim is to build as many hotels as you can and make more loot than your opponents.

(From The PC Engine Software Bible website)"
"240p TestSuite PCE TG16-HuCard","","Other","","","","2011-01-01","1","No","Utility | Unofficial","Not Rated","240p Test Suite
===============================================================================
For full documentation and source code, please visit:
http://junkerhq.net/240p/
===============================================================================

The 240p test suite is a homebrew software suite for video game
consoles developed to help in the evaluation of upscalers, upscan
converters and line doublers.

It has tests designed with the processing of 240p signals in mind,
although when possible it includes other video modes and specific
tests for them.  These have been tested with video processors on
real hardware and a variety of displays, including CRTs and Arcade
monitors via RGB.

As a secondary target, the suite aims to provide tools for
calibrating colors, black and white levels for specific console
outputs and setups. 

This is free software, with full source code available under the GPL.

PC Engine/Turbo Grafx-16:
-------------------------
This version of the suite requires a flash cart, such as the Turbo Everdrive.
It has support for 224p and 240p, as well as the 3 horizontal resolutions:
256, 320 and 512. It must be noted that most games in 240p really use only 239
lines, so the suite also supports that video mode. It was developed using HuC
and ASM."
"5-in-1 Fami Collection: NES Collection Nr 1","","Region Not Set","","Image Co., Ltd.","Image","1993-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"6-in-1 Fami Collection: NES Collection Nr 2","","Region Not Set","","Image Co., Ltd.","Image","1993-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Adventure Island","Dragon's Curse","Region Not Set","","Hudson Entertainment, Inc.","Westone Co., Ltd.","1991-04-19","1","No","Adventure | Platform","E10+ - Everyone 10+","Life as a roaming adventurer is never easy. One minute you're shoving several feet of cold steel between the gaping jaws of some evil robot dragon, and the next thing you know, you've been transformed into a fire breathing lizard man. Such is the problem that you first encounter at the beginning of Adventure Island, Hudson Soft's conversion of the Master System game 'Wonder Boy III: The Dragon's Trap'. Taking more of its influence from the second game in the Wonder Boy series than the first, Adventure Island has a more balanced structure and more exploratory gameplay.

The main game is centred around a small village which acts as a sort of 'hub' to the surrounding levels. Each of these levels are gradually accessed over time with the acquisition of keys or new transformations. As the game progresses, you will find yourself transforming into five different creatures, which can (and need to) be switched between in special rooms. The lizard is the basic transformation and does little more than breathe fire at any passing fauna. Mouse man is a tiny little critter and aside from being able to fit under small obstacles, he can also run up and around special chequered walls and ceilings. Next up is a green amphibian that gives you the power to swim around freely, followed by a tiger man who swings his sword around in a wide arc, allowing you to break blocks above and below. Finally, there is the bird transformation which lets you fly around by repeatedly tapping the jump button.

As you progress, your quest will take you over many types of terrain from jungle to desert to the inside of a giant pyramid - but to help you out there is a password/backup save feature in a church in the main village. As you viciously hack up the cute little inhabitants of the island, you find that they considerately drop money and helpful items for you. The money is used in shops to upgrade your armour, or buy healing at the hospital, while the other items are special weapons that can be set from the pause menu. These include homing fireballs, ground based mini whirlwinds and arrows that shoot directly upwards (and are a blessing when you are trying to get rid of flame-dropping clouds)."
"Aero Blasters","Air Buster","Region Not Set","","Kaneko Co., Ltd.","Hudson Entertainment, Inc.","1990-01-01","2","Yes","Shooter","E - Everyone","The player controls a small craft through different levels with many enemies. Every level ends with a boss and some section speed up the gameplay, offering fast obstacle courses both horizontally and vertically scrolling. Flying orange pods release many power-ups at once, enhancing the ships with new or more powerful lasers, wing men and shields. The player can also hold the fire key to charge a blast that removes all enemy bullets from the screen and deals damage to all enemies. With an unforgiving difficulty, every hit is fatal, but the game can be continued from any points as long as there are lives and credits left. The game can be played with two players cooperatively."
"After Burner II","","Region Not Set","","NEC Home Electronics, Ltd.","Sega","1990-09-28","1","No","Shooter","E - Everyone","One of Sega's big arcade hits using their 'super scaler' technology, it was a bold move to try and convert this to any home machine. After Burner II is, quite simply, one of the most mindless shooters that you're ever likely to play: simply fly your F-14 into the screen, dodging missiles like crazy and letting all hell loose with your vulcan cannon. There is precious little strategy - even less than Space Harrier, and often luck plays more of a part than skill. The action is split up by the occasional bonus stage - a run through a canyon blowing up anything that dares to exist in front of you. Fuelling planes and landing strips also make a regular appearance."
"Air Zonk","","NTSC-U","United States of America","Turbo Technologies, Inc.","NAXAT Soft | 																Red Company","1992-10-01","1","No","Action | Shooter","E - Everyone","Air Zonk is a 1992 TurboGrafx-16 video game developed by Red Company and Naxat Soft and released by Turbo Technologies Inc. in the USA on October 1, 1992.

The powered-up Zonk gathers his friends to form Team Cool, and they set out to stop King Drool’s plan to conquer the world. Choose from 3 levels of difficulty and 3 types of Friend Modes. Shoot King Drool's cyber robots and avoid their attacks while collecting the Air Bones to unleash a variety of attacks. Enjoy unique moves such as combining with a friend to create an invincible hybrid form or blasting enemies with a charged attack. Air “Zonk” is filled with humor, like its wacky theme song that plays when you post a huge score or when your game is over."
"Aldynes: The Mission Code for Rage Crisis","","Region Not Set","","Hudson Entertainment, Inc.","Produce","1991-02-22","1","No","Shooter","E - Everyone","Aldynes: The Mission Code for Rage Crisis, is a horizontal scrolling shoot 'em up game developed by Produce and released in July 22, 1991 for the SuperGrafx only for Japan. The game has a unique option-based combat and features levels with large scaling effects or parallax scrolling effects.

Nearing the year 2020, the societies of mankind fall into global depression just as an alien invasion suddenly comes down on Earth; coming from a large mechanical planetoid, the aliens attack the Earth without reason or communication. With all defenses annihilated, the United Nations corresponds with NASA to make a powerful space fighter known as The Ortega under project name Aldynes. During that time, a particular space fighter pilot - known only by his call sign Fox-A - was killed in action; his bereaved girlfriend Hiroko soon discovered Project Aldynes and its near complete fighter. As the invaders attack the air force housing Project Aldynes, she hijacks one of the ships and throws herself into battle in hopes of getting her revenge."
"Alice in Wonderdream","Fushigi no Yume no Alice","Region Not Set","","FACE","Face","1990-10-01","1","No","Platform","","Obviously based on Alice in Wonderland, Fushigi no Yume no Alice is a cute and colourful platform romp. You adventure through forests, caves, castles and such, defeating the many enemies by letting out a loud scream that shoots across the screen. The scream can be powered up by holding down the button, but leave it too long and you'll get out of breath and stand there panting, defenseless for a few moments. Aside from your voice, you can also jump on enemies to dispatch them. As you progress through the stages (each with a boss at the end of course) you also gain magic powers in the form of books. By pushing RUN then selecting your power with BUTTON I, you get the chance to do such things as show hidden power-ups and become invincible for a short time."
