title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Alchemist Marie & Elie: Futari no Atelier","マリー&エリー～ふたりのアトリエ～","Region Not Set","","E3 Staff","Gust","2001-10-25","1","No","Strategy","Not Rated","After graduating from the Royal Academy of Witchcraft and Academy, Erie became a full-fledged alchemist and went to the academic city of Kentonis to reunite with her longing Marie. The two hit it off and vowed to pursue higher alchemy and returned to Saarburg. Erie was supposed to open her own workshop in Saarburg, but what was waiting for her to return was an empty workshop devastated by bandits! Erie stumbled from the start, but in exchange for receiving a request from the academy, she will be able to get financial support for the time being. Marie, who couldn't see it, also offered to cooperate ... Will they be able to fulfill their request? Marie and Erie start a new story! The first ""Atelier of Marie"" in the RPG ""Atelier"" series with alchemy as a motif, and the main characters Marie and Erie of the second ""Atelier of Erie"" will co-star for the first time at WSC! The purpose of this time is to create the ""primitive flame"", the item requested by the academy, within three years. Since the atelier is run by two people, Erie can take other actions such as collecting materials while Marie is preparing. In addition, ""combining with two people"" is also possible! It is important to divide the roles of the two and schedule them efficiently. Items that only Marie and Erie can do, new items, etc. will appear, and it is fun to complete the item picture book. In addition to the familiar characters from the series, new characters are also available!"
"Another Heaven: Memory of Those Days","アナザヘヴン～memory of those days～","Region Not Set","","Omega Micott Inc.","Omega Micott","2000-12-21","1","No","Adventure","Not Rated","Early summer of a year when Tokyo detectives were in a turmoil in a murder called ""Mad Cook."" Koichiro Hasegawa, a young detective at the Suginami police station, was following a series of arson murders called ""pyromania"" with Natsuko Nishitani, a detective from the Investigation Division 1 of the main office. Even in the midst of such an incident, Koichiro enjoyed exchanging emails as a hobby. Natsuko was surprised to see it, but she found a surprising point of contact between ""Mad Cook"" and ""Pyromania"" from the information provided by her email friend ""UG"". Koichiro, who is proceeding with the investigation, happens to meet an email companion, ""Makoto,"" who was present at the scene of the incident, but ""Makoto"" is burned to death. An email arrived from ""Makoto"" who should have died to Koichiro who was sad. I want to meet you. A new Anaza Heaven set in the city center appears in WSC with a completely original story supervised by the original author George Iida. Popular characters from movies and TV dramas will also appear in the game one after another, and will follow the incident in cooperation with the players. Multi-scenarios where the story changes greatly at the player's discretion, and multi-ending with more than 20 different endings. Equipped with a chart function that allows you to return to the scenario you have read once and play repeatedly, and check how far you have progressed."
"Arc the Lad: Kijin Fukkatsu","","Region Not Set","","Bandai Co., Ltd.","Tose Co., Ltd.","2002-07-04","1","No","Strategy","","Arc the Lad: Kijin Fukkatsu (Arc the Lad: Resurrection of the Machine God) is a Wonderswan Color game developed by Bandai and released in 2002 in Japan. Set after the main series, this game features similar combat and gameplay to the previous installments. Elc, from Arc the Lad II, returns as the main character as he discovers a girl sent from the past to his time because of a hostile robot takeover. Finia, the girl, Elc, and several of his friends return once again to save humanity."
"Battle Spirit: Digimon Frontier","BATTLE SPIRIT デジモンフロンティア","Region Not Set","","Bandai Co., Ltd.","Dimps Corporation","2002-12-07","2","No","Action","Not Rated","The second installment of the battle action game ""Battle Spirit"" where you control the Digimon yourself and have a one-on-one battle battle! Win or lose is decided by how many ""D spirits"" that pop out when attacking the opponent can be collected within the time limit. Six popular Digimon from ""Digimon Frontier"" are now available. The character can be mode-changed between human type and beast type. By collecting the ""Ancient Spirit"" that is sometimes mixed in the ""D Spirit"", Digimon evolve into an ""Ancient Body"". Great success as a super special move. Communication battles between swan and ""pendulum"" are also possible."
"Blue Wing Blitz","ブルーウィングブリッツ","Region Not Set","","Squaresoft","Squaresoft","2001-07-05","1","No","Role-Playing | Strategy","Not Rated","The nations on the ground have been under armed control for some time by the island ""Audia"" floating in the sky with the flying ship ""Airship"". However, the world was about to change into a new era when humans on the ground acquired the airship for the first time. With a single hope in mind, people living on the ground begin to aim for the far higher island of Odia with their own airships. To escape the long rule and regain the free sky ... The player becomes the main character Keed and fights against Odia by the appointment of the Prime Minister of the Republic of Esk. The game progresses in a turn-based manner, in which the player and the enemy move their own units in area units and fight with enemy and ally units that have entered the same area. Various missions occur, expressing a spectacular drama of ""Audia vs. the ground"" with powerful graphics. Equipped with customization functions such as aircraft modification and item development. Easy-to-read map structure and easy-to-understand status screen unique to portable devices make it enjoyable for beginners to experts."
"Cardinal Sins: Recycle Edition","","Other","","Self-Published","","2004-02-02","1","No","Action | Shooter","Not Rated","The game features three difficulty modes, Trial, Normal and Marathon. The ship has two weapon shot types. A standard forward shot, which I believe seems to be more powerful in a head on situation, and a spread shot that creates a cone-shaped pattern. This comes in useful when you have a barrage of enemies on both sides of the screen. There is also a shield which becomes vital (if you remember you have it) in tight situations. This replaces the more traditional 'bomb' usually found in the genre. You pass from stage to stage with increased waves of enemies and harder bullet patterns, and given an overall hit percentage at the end of each stage, amounting to higher scores."
"Dark Eyes: Battle Gate","ダークアイズ～バトルゲート～","Region Not Set","","Bandai Co., Ltd.","Nextech","2001-03-15","1","No","Strategy","Not Rated","The planet Fairhope, where two different races, Ogal and Infan, exist. Between the habitats of both races lies a giant mountain range shut range that circles the planet Fairhope, and there has been no long-standing interaction between the two races due to this natural obstacle. Although each race is biologically almost the same life form, as a result of developing in a completely different environment, it has nurtured a different culture and civilization. Eventually, the two races, who knew each other's existence, developed into a great war that bisected the entire planet ... An original game for WS created based on the war on the planet Fairhope, which is the setting of the PC net game ""Dark Eyes"". The player starts the game by selecting whether to play in the Ogal or Infan race. The game consists of three parts, the first part is a campaign within the race, the second part is a full-scale war of Ogal Infan, and the third part is a story after the war. With Wonder Gate, you can further expand the world of the game by dispatching your own characters as mercenaries via the net and influencing the progress of each connected person's scenario."
"Dicing Knight.","だいしんぐないと　ワンダースワン | Dicing Knight Period","Region Not Set","","Qute","Platine Dispositif","2004-05-31","1","No","Action | Role-Playing","Not Rated","Once this was a country of unlimited dreams and visions. But one day, an evil dragon appeared, killed their dreams and crushed their visions. The country was destroyed. Weeping, the princess of the country, Jung of R'lyeh, called upon a starving knight from the Otherworld to rescue them.

In this world the result of any action is determined by a roll of the dice.
Damage inflicted on enemies, damage received from them, the amount of healing from a potion ...
But note, the roll of the dice can be tampered with by using a magic item. It is not just a world of luck.
Survival or death, it all depends on the dots on the dice.
I wish you the blessing of Dice."
"Digimon - Anode & Cathode Tamer: Veedramon Version","デジモンアドベンチャ - アノード/カソード テイマー: ブイドラモン バージョン","Region Not Set","","Bandai Co., Ltd.","SIMS Co., Ltd.","2001-09-18","1","No","Role-Playing","Not Rated","At the very tail end of 1999, something very peculiar happened. At some point, Chimairamon and Mugendramon fused together in order to survive, resulting in Millenniumon. Millenniumon then imprisoned the Chosen Children, generated a time slip that resurrected many of the evil Digimon from Digimon Adventure, and was generally evil. Agumon escaped with Taichi's Digivice and tried to send it to different children. On New Year's Eve, he finally found a child willing to take up the Digivice and help him save Taichi and the others: an eleven year old boy with no Digimon partner or Digivice of his own, named Akiyama Ryou.

Veedramon Version combines the two Japan-exclusive games Digimon Adventure: Anode Tamer and Cathode Tamer in a colored version which previously was implemented in Digimon Adventure 02: D1 Tamers. It is in English language and mainly uses the North American dub names for all characters."
"Digimon Adventure 02: D-1 Tamers","デジモンアドベンチャー02 ディーワンテイマーズ","NTSC-J","Japan","Bandai Co., Ltd.","SIMS Co., Ltd.","2000-12-09","1","No","Role-Playing","Not Rated","Shortly after the events in Tag Tamers, Akiyama Ryo hovers over a sickly Ichijouji Ken. Ken notifies him of an online questionnaire of very suspicious origins, which Ryo answers. He is then abducted by one of the Four Holy Beasts (depending on Ryo's answer) in front of Ken and dragged to the Digital World to participate in the D-1 Tournament. It is revealed by Gennai and Piccolomon that the Tournament was staged by the Holy Beasts and that the winner will partner up with the Holy Beast the player chose in the questionnaire.

Ryo must complete various quests and win all 5 Ranks of D-1 Tournament that consist of Koushiro, Wallace, Mimi, Yamato, and Taichi as the respective final challenger."
