title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Anchorz Field","アンカーズ・フィールド","Region Not Set","","Sammy Corporation","Sammy Studios","1999-06-24","2","No","Strategy","Not Rated","A war was about to begin on a certain planet. However, the rule of war decided by the no-tenki inhabitants of this planet was to compete for positions with anchor machines. Players will use anchor machines to unify 6 continents and 46 countries ... This game is a camp game where you skip anchors and increase your position. If you return the anchor that you flew with the anchor machine to your position within 3 shots, that will become your territory. However, you have to quickly expand your position while watching the wind direction, terrain, and the movement of the enemy. A game with high puzzle characteristics that requires the ability and strategy to make full use of various anchor machines."
"Armored Unit","","Region Not Set","","Sammy Corporation","Sammy Studios","1999-11-18","2","No","Strategy","Not Rated","A robot simulation game where you fight using the robot weapon ""Armored Unit"". You have to use radar to find and destroy invisible enemies. Two modes, ""Story Mode"" and ""Duel Mode"". In ""Story Mode"", the purpose is to prevent the completion of the enemy's final weapon by making full use of the mobile weapon armored unit. ""Duel mode"" is a mode to play against friends using a communication cable, and you can fight against friends using the units obtained or modified by the user in ""Story mode""."
"Bakusou Dekotora Densetsu for WonderSwan","爆走デコトラ伝説 for WonderSwan","Region Not Set","","Kaga Tech","Human Club","1999-12-29","2","No","Racing","Not Rated","A racing game where you modify and power up your own truck. In the WS version, there is a ""national conquest mode"" that aims to be the best tracker in Japan while fighting trackers all over the country while remodeling the truck, and a ""communication confrontation mode"" that fights by betting each other's truck parts using a communication cable powered by. In addition, the ""Otoko no Hanamichi Mode"" that was in the PS version has been integrated into the ""National Conquest Mode"" to further enhance the RPG-like elements! In addition to the parts that can be bought at the shop, the collection is also enhanced by preparing rare parts that can only be obtained from a specific tracker. Now, a new Dekotra legend begins with WS!"
"Beatmania for WonderSwan","","Region Not Set","","Konami","Konami","1999-04-28","2","No","Music","Not Rated","A game where you can easily enjoy the feeling of DJ. It's an interesting operation feeling, but it is made so that you can freely choose from three types of button arrangements according to the user's preference. However, if you don't feel like scratching with the shosen button, use the included special turntable controller. If you use an adapter with headphones (sold separately), you can hear even more powerful beats. For WS, 10 famous songs such as ""SOUL"", ""FUNK"", and ""REGGAE"" are collected in green."
"Buffers Evolution","","Region Not Set","","Bandai Co., Ltd.","Koto","1999-12-09","1","No","Action","","Buffers Evolution is an Action game, developed and published by Bandai, which was released in Japan in 1999."
"Card Captor Sakura: Sakura to Fushigi na Clow Card","","Region Not Set","","Bandai Co., Ltd.","SIMS Co., Ltd.","1999-12-02","2","No","Role-Playing","","Card Captor Sakura: Sakura to Fushigi na Clow Card is a Role-Playing game, developed by Sims and published by Bandai, which was released in Japan in 1999."
"Chaos Gear: Michibi Kareshi Mono","","Region Not Set","","Bandai Co., Ltd.","Lay-Up","1999-06-10","2","No","Strategy","","Chaos Gear: Michibi Kareshi Mono is a Strategy game, developed by Lay-Up and published by Bandai, which was released in Japan in 1999."
"Cho Aniki: Otoko no Tamafuda","","Region Not Set","","Bandai Co., Ltd.","Masaya","2000-02-10","1","No","Role-Playing","","So far, shooting and fighting action has been the staple of the Cho Aniki series, but now it has advanced into the card battle game. A battle of muscle, protein and men, it will be waged in the WonderSwan. Bring the power to a maximum and discover love, sweat and muscle.

Returning to the music, is Mr. Koji Hayama, a man who has become legend for his original Cho Aniki score. It is time to use your brains and muscle !!"
"Chocobo no Fushigi NA Dungeon for Wonderswan","チョコボの不思議なダンジョン for ワンダースワン | Chocobo's Mysterious Dungeon for WonderSwan","Region Not Set","","Bandai Co., Ltd.","Tose Co., Ltd.","1999-03-04","1","No","Action | Role-Playing","Not Rated","The popular character Chocobo is now available as software for handheld game consoles! That popular game ""Chocobo's Mysterious Dungeon"" is now available as WS-only software. Unpredictable game development, tense dungeons, item search, automatic dungeon generation function that changes every time you play, etc., do not spoil the fun of the original version. In addition, the powerful screen effects, huge enemy characters, and the best sound of handheld game consoles are all the features of WonderSwan. Now, in WonderSwan, it's an adventure with a cute chocobo!"
"Chou-Denki Card Battle: Youfu Makai - Kikuchi Shuugyou","Youkai Makai | 妖符魔界","Region Not Set","","Kobunsha","Koubunsha","1999-12-16","2","No","Strategy","Not Rated","A game that reproduces the world of Hideyuki Kikuchi, a best-selling author who realistically depicts the fantasy world, in a card battle. Hideyuki Kikuchi's unique world view and story are reproduced on the game scenario, and you can enjoy the battle with a tense card battle game. Depending on the card the player has, the story itself will develop in various directions. Since it supports online battles, playing with friends will make it even more fun."
"Clock Tower for WonderSwan","","Region Not Set","","Kaga Tech","Human Club","1999-12-06","1","No","Adventure","Not Rated","Jennifer Simpson is a child from the fictional Granite Orphanage in Romsdalen, Norway. She and her friends, who are also orphans (Laura, Ann and Lotte) are adopted in September 1995 (the same month the game was released) by a wealthy recluse named Mr. Barrows, who lives in a mansion known as the ""Clock Tower"", named after its predominant feature.

WS version of ""Clock Tower"" that scared many players with SFC / PS. Since it is compatible with stereo headphones, you can use headphones to reproduce realistic sound effects and sounds! You can enjoy the horror of running on your spine and the sound of a horror movie anytime, anywhere. The memory of fear revives again ..."
"Crazy Climber","","Region Not Set","","Nihon Bussan Co., Ltd.","Nihon Bussan Co., Ltd.","1999-07-29","1","No","Platform","","Come one, come all! Watch the death-defying feats of a human fly - Crazy Climber! Help him scale the world's tallest buildings while avoiding tumbling girders, a marauding bird, and the villainous Mad Doctor. Hurry up! The show's about to start!"
"D's Garage21 K?bo Game: Tane o maku tori","","Region Not Set","","Bandai Co., Ltd.","Bandai Co., Ltd.","1999-12-22","2","No","Puzzle","","Tane o Makutori is a Puzzle game, developed and published by Bandai, which was released in Japan in 1999."
"Densha de Go!","","Region Not Set","","Taito Corporation","Taito Corporation","1999-03-04","1","No","Construction and Management Simulation","","Densha de Go! is a Simulation game, developed and published by Taito Corporation, which was released in Japan in 1999."
"Densha de Go! 2","","Region Not Set","","CyberFront Corporation","Taito Corporation","1999-10-07","1","No","Construction and Management Simulation","","Densha de Go! 2 is a Simulation game, developed by Taito Corporation and published by CyberFront, which was released in Japan in 1999."
"Digimon Adventure 02: Tag Tamers","デジモンアドベンチャー02 タッグテイマーズ","Region Not Set","","Bandai Co., Ltd.","SIMS Co., Ltd.","2000-08-03","1","No","Role-Playing","Not Rated","A mysterious story about why Ken-kun, also known as Digimon Kaiser, has entered the evil path. In addition to the conventional evolution, it also supports ""Armor Evolution"" and ""Jogres Evolution"", and new Digimon have joined, and more than 220 bodies have appeared. Players must play with both Ryo and Ken in a tag team to capture the digital world that exists in parallel. If you use a dedicated connector, you can battle with the conventional ""Digimon series"". If you use Wonder Wave, you can also use Digimon raised in D-One mode of PS software ""Pocket Digimon World"". In addition, jogress and digital exchange battle communication can be performed with ""New Digivice D-3""."
"Digimon Adventure: Anode Tamer","デジモンアドベンチャー～アノードテイマー～","Region Not Set","","Bandai Co., Ltd.","SIMS Co., Ltd.","1999-12-16","1","No","Role-Playing","Not Rated","The second in the Digimon series is an RPG that gathers friends while adventuring in the world of Digimon. By combining the collected Digimon, you can generate a special move called ""Variable"". Find the strongest Digimon and learn various ""Variable Techniques"" to create your own strongest Digimon unit! With a communication battle function that allows you to exchange Digimon with your friends and play against them."
"Digimon Adventure: Cathode Tamer","デジモンアドベンチャー カソードテイマー","Region Not Set","","Bandai Co., Ltd.","SIMS Co., Ltd.","2000-01-20","1","No","Role-Playing","Not Rated","Another version of ""Digimon Adventure Anode Tamer"" released in December 1999. There are a total of 169 types of Digimon that appear in this cathode tamer. Seven of them are original Digimon that appear only with cathode tamers. In addition to this, the appearance rate of Digimon is different from that of Anode Tamer, and the first enemy Digimon and boss characters are also different. There are changes in story development, and even users who already have an anode tamer can enjoy it. Since many Sea Digimon appear in the Cathode Tamer, you can enjoy it mainly by training attack-type units."
"Digital Monster Ver. WonderSwan","Dejitaru Monsutā Bashon Wandāsuwan | デジタルモンスタ","NTSC-J","","Bandai Co., Ltd.","SIMS Co., Ltd.","1999-03-25","2","No","Strategy","Not Rated","Digital Monster Ver. WonderSwan is a Japanese handheld version of the original Tamagotchi-like Digimon pet for the WonderSwan. It includes all of the original Digimon from the five different pet devices. In this game the player can have up to five different Digimon with them at a time. It even has computer controlled opponents to battle with. The game has the ability to connect to another WonderSwan through a special link cable. It can also hook up to the original pets through a Digimon ""dock N rock"" connector that comes packaged with the game. Digital Monster Ver. S: Digimon Tamers did much the same thing, only on the Sega Saturn."
"Digital Partner","デジタルパートナー","Region Not Set","","Bandai Co., Ltd.","Tom Create","2000-05-25","1","No","Role-Playing","Not Rated","Software that teaches words to Digimon while talking with them, and makes friends with them even more. Digimon fight using the words they remember, so the more words the player teaches, the stronger they become. The player can talk with two Digimon at the same time, and the Digimon can talk with each other, so the range of conversation is greatly expanded. There are 49 Digimon that appeared in the TV anime ""Digimon Adventure"" and 11 Digimon that are scheduled to appear in the new program ""Digimon Adventure 02"", for a total of 60 Digimon."
"Dokodemo Hamster","","Region Not Set","","BEC Co., Ltd.","BEC Co., Ltd.","2000-01-06","1","No","Strategy","","Dokodemo Hamster is a Strategy game, developed and published by Bec, which was released in Japan in 2000."
"Engacho! for Wonderswan","Engacho!(えんがちょ!) for ワンダースワン","Region Not Set","","Nihon Application Co., Ltd.","NAC Geographic Products Inc.","1999-10-28","2","No","Puzzle","Not Rated","Game genre ""stupid game"". A puzzle game in which the character designed by ""Uruma Rupi"" of ""Ugougo Luga"" becomes drooling or covered with poop while aiming for clearing. It's a stupid, gloomy, and unpleasant game that makes players feel uncomfortable when they're done, creating an addiction that makes them want to see the screen being done. Besides, as a title song and voice actor, it is supervised by Brother Korn. Gross and cuteness are produced coolly (!?) By his hands."
"Fever Sankyo Koushiki Pachinko Simulation for WonderSwan","","Region Not Set","","BEC Co., Ltd.","BEC Co., Ltd.","1999-12-09","","No","Sports","","The Sankyo Fever series' sole WonderSwan entry.

Fever Sankyo Koushiki Pachinko Simulation for WonderSwan is a Miscellaneous game, developed and published by Bec, which was released in Japan in 1999."
"Final Lap 2000","","Region Not Set","","Bandai Co., Ltd.","Soft Machine","2000-03-23","2","No","Racing","","Final Lap 2000 is a Racing game, developed by Soft Machine and published by Bandai, which was released in Japan in 2000."
"Fire Pro Wrestling for WonderSwan","","Region Not Set","","Kaga Tech","Shimada Kikaku","2000-08-31","2","No","Sports","","The greatest pro wrestling simulator is now on Wonderswan, allowing you to bring the action with you anywhere you go. Involve yourself in MASTER OF RING, the new management mode taking you through the ranks of wrestling, and create a wrestling legend with the edit mode."
"Fishing Freaks: BassRise for WonderSwan","","Region Not Set","","BEC Co., Ltd.","Bandai Co., Ltd.","2000-02-24","1","No","Sports","","Fishing Freaks: BassRise for WonderSwan is a Sports game, developed by Bandai and published by Bec, which was released in Japan in 2000."
"From the TV Animation:One Piece ~Mezase Kaizokuou!~","","Region Not Set","","Bandai Co., Ltd.","Bandai Co., Ltd.","2000-07-19","4","No","Adventure","","From TV Animation: One Piece is an Adventure game, developed and published by Bandai, which was released in Japan in 2000."
"Ganso JaJaMaru-kun","","Region Not Set","","Jaleco Ltd.","Jaleco Ltd.","1999-04-15","1","No","Action","","Ganso JaJaMaru-kun (元祖じゃじゃ丸くん?) is a remake of the video game Ninja JaJaMaru-kun released in Japan on April 15, 1999 by Jaleco for the WonderSwan. It is an enhanced version of the original Famicom game with better control, though it uses monochrome graphics due to being an original WonderSwan game"
"Glocal Hexcite","","Region Not Set","","Success Corp.","Gu Inc","2000-06-29","2","No","Puzzle","","Glocal Hexcite is a Puzzle game, developed by Gu Inc and published by Success, which was released in Japan in 2000."
"Gomokunarabe & Reversi: Touryuumon","","Region Not Set","","Sammy Corporation","Sammy Studios","2000-01-13","2","No","Strategy","","Gomokunarabe & Reversi: Touryuumon is a Miscellaneous game, developed and published by Sammy Studios, which was released in Japan in 2000."
"Goraku Ou Tango!","","Region Not Set","","Mebius","Mebius","1999-04-01","1","No","Puzzle","","Goraku Ou Tango! is a Puzzle game, published by Mebius, which was released in Japan in 1999."
