id,title,region,release_date,platform,detail_url
"109954","Snow Bros.","NTSC-J","1990-04-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=109954"
"29289","'89 Dennou Kyuusei Uranai","NTSC-J","1988-12-10","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=29289"
"113531","[Welcome To] Eville","NTSC-U","2013-03-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113531"
"80408","0-to-X","Other","2016-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=80408"
"317","10-Yard Fight","NTSC","1985-10-18","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=317"
"89224","10-Yard Fight [5 Screw]","NTSC","1985-10-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=89224"
"113144","100-in-1 Contra Function 16","Other","1990-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113144"
"105503","1007 Bolts","NTSC","2015-09-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=105503"
"113145","110 New Games","Other","1970-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113145"
"78467","128 in 1","1985-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=78467"
"122557","168 in 1","Other","1970-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=122557"
"113143","168-in-1 New Contra Function 16","Other","1990-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113143"
"4178","1942","NTSC","1986-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=4178"
"80600","1942","NTSC-J","1985-12-11","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=80600"
"100460","1942 [5 Screw]","NTSC","1986-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=100460"
"1018","1943: The Battle of Midway","NTSC","1988-10-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=1018"
"25554","1991 Du Ma Racing","NTSC","1991-06-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=25554"
"26385","1999: Hore, Mita koto ka! Seikimatsu","NTSC-J","1992-09-18","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=26385"
"100744","2 in 1 Geminim/Siamond","NTSC-U","2008-07-14","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=100744"
"76613","2 in 1 Lightgun Game: Cosmocop / Cyber Monster","NTSC","1993-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=76613"
"76614","2 in 1 Lightgun Game: Tough Cop / Super Tough Cop","NTSC","1993-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=76614"
"113146","2-in-1: Conan & Rygar","Other","1990-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113146"
"40025","2048","NTSC","2014-06-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=40025"
"88065","240p TestSuite Mini Nes","Other","2015-10-23","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=88065"
"113356","2600 AD","NTSC","2020-09-19","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113356"
"71594","2A03 Puritans","Other","2013-08-08","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=71594"
"75992","3 in 1 Supergun","NTSC","1993-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=75992"
"315","3-D WorldRunner","NTSC","1987-09-12","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=315"
"108548","3-D WorldRunner [5 Screw]","NTSC","1987-09-12","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=108548"
"74967","3-in-1 2p Pack","NTSC","2016-08-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=74967"
"74983","31 in 1 REAL GAME!","2016-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74983"
"75993","3D Block","1989-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=75993"
"131702","3dSen","Other","2025-06-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=131702"
"26384","4 Nin Uchi Mahjong","NTSC","1984-11-02","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=26384"
"76544","400-in-1 (200-in-1 Real Game X2)","1970-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=76544"
"129564","5-STAR","Other","2023-05-02","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=129564"
"86013","52 Games (Supervision)","1970-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=86013"
"131145","64 en 1","PAL","1991-12-20","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=131145"
"131144","64-in-1","Other","1999-12-06","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=131144"
"97070","7 Grand Dad","Other","1992-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=97070"
"326","720 Degrees","NTSC","1989-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=326"
"116061","76 in 1 (bootleg)","PAL","1996-01-19","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=116061"
"76166","777 Lucky Bingo","1989-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=76166"
"85442","7x1 Radical!","1994-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=85442"
"316","8 Eyes","1990-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=316"
"124306","8-bit ADV Steins;Gate","NTSC","2019-02-19","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=124306"
"106663","8-Bit Hero Trainer","Other","2015-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=106663"
"116202","8-Bit Slasher 4-in-1 Horror Demakes","NTSC","2023-06-13","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=116202"
"74968","8-BIT XMAS 2008","2008-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74968"
"74969","8-BIT XMAS 2009","2009-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74969"
"74971","8-BIT XMAS 2010","2010-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74971"
"74972","8-BIT XMAS 2011","NTSC","2011-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=74972"
"74973","8-BIT XMAS 2012","2012-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74973"
"74974","8-BIT XMAS 2013","2013-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74974"
"74975","8-BIT XMAS 2014","2014-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74975"
"74976","8-BIT XMAS 2015","2015-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74976"
"74977","8-BIT XMAS 2016","2016-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74977"
"74978","8-BIT XMAS 2017","2017-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74978"
"74979","8-BIT XMAS 2018","Other","2018-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=74979"
"74980","8-BIT XMAS 2019","Other","2019-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=74980"
"80853","8-BIT XMAS 2020","2020-11-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80853"
"102170","8-BIT XMAS 2021","NTSC-U","2021-11-10","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=102170"
"113142","8-BIT XMAS 2022","NTSC","2022-12-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113142"
"46442","8Bit Music Power","NTSC","2016-01-30","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=46442"
"80868","8Bit Music Power Encore","NTSC","2017-12-25","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=80868"
"46444","8Bit Music Power Final","NTSC","2017-03-31","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=46444"
"74981","8Bit Rhythm Land","2019-02-15","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=74981"
"80869","8Bit RIKI Illustrations","NTSC-J","2016-04-26","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=80869"
"80870","A Hole New World Soundtrack","2019-03-15","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80870"
"1019","A Nightmare on Elm Street","1990-10-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1019"
"105626","A Nightmare on Elm Street: Son of a Hundred Maniacs (Demake)","Other","1999-11-20","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=105626"
"20557","A Ressha de Ikou","NTSC-J","1991-08-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=20557"
"78343","A Winner is You: Sergio Elisondo Music","2016-10-03","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=78343"
"20558","Aa Yakyuu Jinsei Icchokusen","1992-12-25","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=20558"
"1501","Abadox: The Deadly Inner War","1989-12-15","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1501"
"1607","Action 52","1991-09-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1607"
"80871","Action 53 Volume 3: Revenge of the Twins","2018-06-06","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80871"
"80872","Action 53 Volume 4: Actually 54","2020-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80872"
"75998","Adam & Eve","1992-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=75998"
"1020","Advanced Dungeons & Dragons: Dragons of Flame","NTSC","1992-02-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=1020"
"1503","Advanced Dungeons & Dragons: DragonStrike","1992-07-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1503"
"1021","Advanced Dungeons & Dragons: Heroes of the Lance","1991-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1021"
"1608","Advanced Dungeons & Dragons: Hillsfar","1992-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1608"
"1505","Advanced Dungeons & Dragons: Pool of Radiance","1991-06-28","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1505"
"76525","Adventure","NTSC-U","2004-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=76525"
"32242","Adventure Island","NTSC-U","1987-09-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=32242"
"1509","Adventure Island 3","1992-07-31","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1509"
"109049","Adventure Island 4","NTSC","1994-06-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=109049"
"1023","Adventure Island II","1991-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1023"
"120120","Adventures of Bass 2","NTSC","2016-01-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=120120"
"1511","Adventures of Dino Riki","1987-02-10","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1511"
"113385","Adventures of Eldorin","NTSC","2019-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113385"
"328","Adventures of Lolo","NTSC-U","1989-04-20","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=328"
"1610","Adventures of Lolo 2","1990-04-20","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1610"
"1025","Adventures of Lolo 3","1991-08-09","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1025"
"1612","Adventures of Tom Sawyer","1989-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1612"
"60011","Aerobics Studio","NTSC-J","1970-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=60011"
"24721","After Burner","NTSC-J","1989-03-30","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=24721"
"2963","After Burner","1987-11-11","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=2963"
"106666","AfterWorld DELUXE","Other","2021-09-20","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=106666"
"20559","Ai Sensei No Oshiete: Watashi No Hoshi","1993-03-26","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=20559"
"48343","Aigina no Yogen: Balubalouk No Densetsu Yori","NTSC","1986-11-21","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=48343"
"1373","Air Fortress","1989-09-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1373"
"113388","Air-Sea Battle","NTSC-U","2004-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=113388"
"1026","Airball","1987-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1026"
"80873","AirGap2020 Commemorative NES Cartridge","2020-08-24","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80873"
"329","Airwolf","1989-06-19","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=329"
"32177","Airwolf (Kyugo)","NTSC","1988-12-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=32177"
"26386","Akagawa Jirou no Yuurei Ressha","1991-02-08","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26386"
"24826","Akira","NTSC","1988-12-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=24826"
"26387","Akuma-kun: Makai no Wana","NTSC","1990-02-24","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=26387"
